Running Env Steps,Reward Loss,Real Sto Return,Running Update Time,Running Reverse KL,Real Det Return,Itration,Running Forward KL
0,-71.71257019042969,263.73,0,23.2308,269.25,0,30.9892
5000,-286.2414855957031,278.78,1,44.9075,295.5,1,32.1048
10000,-298.1048583984375,275.37,2,48.9732,278.19,2,31.1868
15000,-303.9886474609375,279.47,3,34.8395,291.84,3,31.2407
20000,-287.1965026855469,325.3,4,74.4628,335.29,4,29.2857
25000,-315.57177734375,306.81,5,51.5277,314.69,5,28.7251
30000,-335.752197265625,292.82,6,17.3687,442.53,6,29.0807
35000,-642.2891845703125,319.3,7,52.1426,347.97,7,30.5208
40000,-603.8665161132812,465.14,8,58.3934,469.03,8,28.4276
45000,-528.9450073242188,477.45,9,39.1429,529.96,9,27.1578
50000,-491.1242370605469,502.16,10,28.5857,515.99,10,30.7033
55000,-914.6045532226562,653.33,11,113.0583,708.52,11,26.1273
60000,-873.1687622070312,692.84,12,125.6986,676.21,12,28.4457
65000,-99.11908721923828,2181.24,13,22.5936,2212.86,13,27.632
70000,-687.2650146484375,1489.33,14,56.601,2187.4,14,28.1855
75000,-768.3741455078125,1322.88,15,72.7531,1111.49,15,26.989
80000,33.1476936340332,1535.94,16,18.2576,2479.33,16,27.1766
85000,110.51848602294922,3010.53,17,15.9032,2997.38,17,23.973
90000,79.41343688964844,2306.19,18,16.7741,2683.11,18,24.821
95000,105.02189636230469,2726.64,19,16.364,2765.49,19,24.9922
100000,-920.3985595703125,1719.32,20,58.4033,3078.08,20,24.7319
105000,-1079.847900390625,1636.79,21,71.6518,2078.26,21,27.1095
110000,-648.8965454101562,2621.95,22,45.229,3398.19,22,25.9703
115000,-554.9782104492188,1734.52,23,50.9169,2811.2,23,25.6187
120000,-1060.93017578125,1642.41,24,53.5726,1981.44,24,27.1315
125000,-605.6796264648438,2587.2,25,42.5098,3172.28,25,25.7713
130000,-1647.8848876953125,937.31,26,142.6369,1125.04,26,26.6089
135000,-1127.7935791015625,1744.61,27,47.998,3082.19,27,26.5729
140000,39.79087448120117,3149.96,28,15.1723,3380.94,28,23.4157
145000,18.803203582763672,3120.39,29,15.4747,3296.4,29,22.9607
150000,-185.47549438476562,2278.58,30,16.8415,601.88,30,26.2139
155000,-176.39920043945312,1709.11,31,15.5197,3143.26,31,23.8366
160000,-267.4808349609375,2465.07,32,14.9691,2913.65,32,24.3393
165000,-257.76348876953125,3112.39,33,19.5306,3367.15,33,23.5649
170000,-130.32717895507812,3326.42,34,14.9461,3165.24,34,23.8329
175000,5.695781230926514,3404.89,35,14.7996,3388.09,35,24.0487
180000,-3.7158985137939453,1415.3,36,16.8237,2903.76,36,24.7224
185000,-284.6953430175781,1953.85,37,16.5107,2909.31,37,24.3414
190000,9.408437728881836,1654.71,38,15.7385,3416.79,38,25.1451
195000,-345.4653625488281,3115.91,39,20.1499,3458.08,39,22.617
200000,-135.84677124023438,2767.67,40,15.0707,3364.04,40,24.8952
205000,-790.7958374023438,2731.25,41,37.0626,3228.47,41,24.7458
210000,-2055.50390625,1737.31,42,90.2331,2845.32,42,26.1938
215000,-546.6061401367188,2928.33,43,24.764,3275.23,43,24.5846
220000,-496.5121154785156,2190.16,44,29.4867,3360.13,44,23.7513
225000,-720.7258911132812,2473.84,45,34.5952,3433.71,45,22.6587
230000,-2269.04541015625,1166.08,46,96.858,1910.55,46,26.5003
235000,-303.5177917480469,2649.67,47,17.4236,3386.62,47,23.6284
240000,-1747.9759521484375,1674.5,48,66.5839,2527.0,48,25.2982
245000,-1543.0283203125,2110.3,49,61.0548,2979.74,49,23.6974
250000,-2886.198486328125,1671.52,50,111.014,1651.24,50,26.1472
255000,-1732.917724609375,1834.3,51,68.5703,2540.67,51,25.9603
260000,-1903.831787109375,1732.66,52,65.8529,1081.32,52,25.3631
265000,-1422.5550537109375,2053.67,53,70.6302,2190.96,53,24.6387
270000,-1183.82373046875,2104.39,54,47.8852,2382.67,54,23.4495
275000,-1914.5660400390625,2337.77,55,66.5349,1969.11,55,24.7864
