Running Forward KL,Real Det Return,Real Sto Return,Itration,Running Reverse KL
29.5883,1326.26,1317.49,153,15.9354
26.2944,3525.83,3388.04,154,14.7023
29.6072,1439.92,1453.39,155,20.6856
27.3005,3541.32,2454.6,156,13.0463
29.7875,3464.76,1768.4,157,12.3405
26.0235,3449.31,3265.4,158,13.6502
28.7901,1179.94,1407.17,159,11.8161
26.2039,3482.87,2090.02,160,13.2004
28.2773,1139.93,1873.96,161,11.2224
26.1019,3494.59,3236.83,162,13.8047
29.3022,1029.03,1319.79,163,13.8467
30.3678,1263.54,1589.29,164,35.4686
27.5514,1336.28,2277.55,165,20.7113
27.7375,3478.5,1765.28,166,15.2974
26.3111,3515.71,2769.97,167,15.3526
25.4499,3483.22,3243.33,168,12.6194
27.304,3489.21,2663.25,169,16.2716
27.1679,2851.6,2141.29,170,16.5259
28.0855,3560.26,1639.02,171,18.0792
29.4039,2986.47,1936.54,172,17.7158
25.7738,3492.71,2659.04,173,12.7769
27.4412,1277.76,1496.64,174,14.4302
26.6188,3478.85,2961.91,175,12.2358
27.1518,2974.08,1958.35,176,13.7898
28.0869,3526.69,2261.78,177,16.7652
29.2061,3397.38,1771.92,178,21.1741
28.3306,1343.39,1897.97,179,13.5241
26.7688,3460.73,3243.06,180,12.2274
28.5539,3356.97,2718.08,181,12.6979
26.9335,2337.21,1803.43,182,12.6274
26.4943,3461.1,2514.24,183,11.7938
25.6777,3469.91,3154.74,184,11.8131
27.3869,1380.18,1685.25,185,13.8646
26.5505,2540.35,2202.81,186,12.6437
26.4954,3506.9,2938.35,187,13.6981
29.3776,3527.34,2233.05,188,12.3745
27.7416,3510.22,2531.07,189,12.3836
27.6224,2114.78,1827.69,190,12.8527
28.331,3493.56,2035.09,191,13.4187
27.6795,2977.09,1562.42,192,12.9701
25.2395,3517.67,2692.44,193,11.3735
28.0709,3545.64,2951.11,194,12.5796
28.901,1443.02,1483.04,195,13.1258
26.1424,3484.73,3495.6,196,12.8675
27.3117,3477.46,2512.6,197,11.7657
26.6533,3540.76,2497.85,198,11.6568
26.5547,3482.7,3419.42,199,13.2648
