Running Forward KL,Real Sto Return,Itration,Running Update Time,Reward Loss,Running Reverse KL,Running Env Steps,Real Det Return
158.3836,-211.89,0,0,143.25572204589844,10.9704,0,-47.31
158.2986,-108.89,1,1,-79.89059448242188,11.4382,5000,-11.98
158.1727,60.43,2,2,-303.23126220703125,11.6391,10000,-1.41
157.9806,200.61,3,3,-492.322509765625,11.7466,15000,173.19
157.7151,366.57,4,4,-780.6702270507812,12.391,20000,860.81
157.6753,478.18,5,5,-1021.4026489257812,12.515,25000,794.26
157.6432,591.07,6,6,-1259.5780029296875,12.9096,30000,970.61
157.7733,655.27,7,7,-1602.3236083984375,13.7604,35000,955.96
157.8104,811.55,8,8,-1836.2845458984375,14.4636,40000,1040.39
157.9838,845.59,9,9,-2048.35986328125,14.7289,45000,1228.3
157.9883,947.97,10,10,-2257.14990234375,15.222,50000,1318.27
157.8625,1008.09,11,11,-2418.638427734375,15.3568,55000,1370.85
157.9531,1080.04,12,12,-2546.544921875,15.6593,60000,1432.59
157.8238,1152.2,13,13,-2766.158935546875,15.9712,65000,1576.06
157.7011,1240.22,14,14,-3014.09814453125,16.0085,70000,1648.18
158.0565,1244.93,15,15,-3171.737548828125,16.2622,75000,1641.26
157.8207,1314.94,16,16,-3347.051513671875,16.4776,80000,1711.31
157.679,1321.79,17,17,-3601.790771484375,16.2289,85000,1757.54
157.6093,1376.46,18,18,-3731.173583984375,16.0362,90000,1781.6
157.7515,1430.51,19,19,-3935.36572265625,16.3966,95000,1821.04
157.5727,1437.88,20,20,-4184.69189453125,16.5522,100000,1867.09
157.6064,1490.69,21,21,-4275.62548828125,16.645,105000,1888.68
157.4295,1474.28,22,22,-4555.99365234375,16.1751,110000,1867.72
157.6522,1476.87,23,23,-4717.59521484375,16.2134,115000,1808.01
157.4397,1527.75,24,24,-4884.044921875,15.967,120000,1909.99
157.6918,1562.58,25,25,-5072.490234375,16.2553,125000,1951.47
157.4342,1594.26,26,26,-5293.9951171875,16.3736,130000,1992.74
157.5586,1598.77,27,27,-5405.38427734375,16.681,135000,2008.27
157.3816,1635.86,28,28,-5616.98876953125,16.3988,140000,2035.92
157.0919,1634.05,29,29,-5748.4638671875,15.8419,145000,2008.24
157.1106,1623.06,30,30,-5869.05859375,15.9205,150000,2005.34
157.4027,1665.8,31,31,-6121.57666015625,16.4691,155000,2017.03
157.1086,1588.46,32,32,-6264.27197265625,15.4486,160000,1938.04
157.0612,1663.26,33,33,-6453.31689453125,15.8215,165000,1999.27
157.35,1646.75,34,34,-6688.60986328125,15.8724,170000,1997.6
157.0381,1619.05,35,35,-6851.0625,16.1499,175000,1942.77
157.0313,1681.52,36,36,-7019.63134765625,16.0083,180000,2026.46
157.12,1596.55,37,37,-7254.4267578125,15.5695,185000,1964.21
157.3694,1628.32,38,38,-7406.279296875,15.9992,190000,2018.49
157.0525,1718.4,39,39,-7562.23193359375,16.2287,195000,2080.76
157.0913,1644.0,40,40,-7728.51708984375,16.1167,200000,2016.04
157.0945,1658.18,41,41,-7908.66259765625,16.1038,205000,2017.68
157.2001,1635.8,42,42,-8159.0048828125,15.581,210000,1990.15
156.8616,1698.98,43,43,-8257.8046875,15.7875,215000,2082.22
156.9264,1659.09,44,44,-8443.494140625,15.7004,220000,2020.4
157.0343,1697.79,45,45,-8625.7900390625,15.7566,225000,2032.97
157.0041,1685.16,46,46,-8901.0478515625,15.3993,230000,2038.71
156.9882,1756.79,47,47,-9011.1484375,15.8308,235000,2097.02
156.8117,1713.79,48,48,-9226.3974609375,15.5866,240000,2055.1
156.9503,1696.32,49,49,-9453.361328125,15.9296,245000,2072.88
156.9311,1731.95,50,50,-9588.0732421875,15.6794,250000,2096.64
156.734,1721.76,51,51,-9776.171875,15.8235,255000,2079.12
156.9169,1717.02,52,52,-10046.001953125,16.0168,260000,2087.73
156.9398,1726.31,53,53,-10178.1552734375,15.7383,265000,2056.89
156.9493,1722.96,54,54,-10417.0478515625,15.9176,270000,2067.54
156.8785,1713.25,55,55,-10584.85546875,15.2536,275000,1997.5
157.0348,1733.1,56,56,-10789.5009765625,15.829,280000,2120.06
156.9895,1745.14,57,57,-10906.7744140625,15.8433,285000,2113.07
156.8619,1777.54,58,58,-11242.142578125,15.897,290000,2115.08
156.817,1764.99,59,59,-11339.845703125,15.7618,295000,2122.39
156.9062,1752.39,60,60,-11505.4873046875,15.9438,300000,2081.59
156.8012,1700.45,61,61,-11714.5224609375,15.4105,305000,2076.81
157.0199,1715.79,62,62,-11938.662109375,15.6903,310000,2066.74
156.8919,1734.93,63,63,-12116.8701171875,15.6673,315000,2115.14
156.9801,1763.33,64,64,-12425.98828125,16.0454,320000,2114.18
156.9921,1753.59,65,65,-12597.3984375,15.8025,325000,2072.14
157.1037,1766.68,66,66,-12595.7861328125,15.7784,330000,2093.84
156.9156,1759.61,67,67,-12884.5869140625,15.7526,335000,2111.18
156.9131,1745.42,68,68,-12966.595703125,15.711,340000,2150.08
156.8415,1754.35,69,69,-13316.951171875,15.6823,345000,2059.22
156.7976,1755.49,70,70,-13445.314453125,15.6835,350000,2142.36
156.9199,1769.27,71,71,-13625.27734375,15.5538,355000,2120.44
156.9406,1758.38,72,72,-13891.3359375,15.5948,360000,2140.84
156.8886,1813.51,73,73,-14131.580078125,16.0983,365000,2160.25
156.9436,1798.2,74,74,-14200.0048828125,15.8827,370000,2152.92
156.8503,1795.14,75,75,-14435.087890625,15.733,375000,2166.53
156.7004,1811.02,76,76,-14700.439453125,16.0631,380000,2170.73
156.8009,1835.64,77,77,-14784.326171875,15.7256,385000,2170.8
156.9905,1773.58,78,78,-14984.2861328125,15.6432,390000,2129.63
157.1141,1758.65,79,79,-15233.6962890625,15.559,395000,2139.45
156.9251,1834.49,80,80,-15549.546875,15.9331,400000,2178.16
156.9052,1748.67,81,81,-15569.5009765625,15.2891,405000,2101.78
156.7254,1839.11,82,82,-15819.2041015625,15.9552,410000,2178.56
156.799,1780.28,83,83,-16064.2177734375,15.5736,415000,2118.59
156.9126,1788.86,84,84,-16302.876953125,15.5306,420000,2172.12
156.8628,1773.69,85,85,-16585.4765625,15.6169,425000,2110.92
156.8602,1816.58,86,86,-16543.38671875,15.7515,430000,2141.85
156.9043,1813.85,87,87,-16857.404296875,15.5626,435000,2158.73
156.983,1771.18,88,88,-17136.064453125,15.7891,440000,2158.8
