Real Det Return,Running Forward KL,Running Reverse KL,Reward Loss,Running Update Time,Real Sto Return,Itration,Running Env Steps
258.85,445.3547,259.146,-1056.5963134765625,0,332.4,0,0
208.38,423.7039,341.171,-1698.823974609375,1,343.42,1,5000
540.54,404.1498,266.7807,-1565.7608642578125,2,364.2,2,10000
280.48,425.1938,280.8656,-1838.8514404296875,3,307.03,3,15000
386.38,405.5067,267.8364,-3037.0703125,4,368.61,4,20000
559.6,405.267,254.7367,-3268.96923828125,5,391.82,5,25000
464.54,421.6812,261.1813,-3305.45556640625,6,441.45,6,30000
418.65,422.0367,248.2174,-3417.662109375,7,434.26,7,35000
415.25,412.9509,248.4837,-3789.03955078125,8,449.99,8,40000
669.61,391.6115,233.804,-3381.54443359375,9,479.68,9,45000
573.66,410.8374,259.3573,-3225.914794921875,10,518.1,10,50000
384.08,418.3181,269.9594,-3490.229736328125,11,414.99,11,55000
536.05,388.512,291.6482,-4914.31689453125,12,520.23,12,60000
560.5,391.9256,276.7217,-4403.29150390625,13,493.85,13,65000
588.9,395.363,274.4177,-4017.96142578125,14,559.59,14,70000
617.61,381.0306,268.7402,-4260.59912109375,15,639.41,15,75000
591.72,382.1275,263.271,-3696.640625,16,536.21,16,80000
569.75,405.7514,283.1547,-4042.389892578125,17,498.5,17,85000
563.04,387.9672,279.9737,-4611.27392578125,18,553.22,18,90000
480.49,381.8906,265.5888,-4604.67724609375,19,555.85,19,95000
677.34,384.3951,256.7783,-5312.14501953125,20,569.28,20,100000
653.36,381.7795,250.1251,-5119.27392578125,21,660.58,21,105000
718.62,388.6149,256.3708,-5142.740234375,22,647.17,22,110000
660.9,372.7671,256.3431,-5350.73583984375,23,713.01,23,115000
701.65,372.1051,255.3993,-5878.626953125,24,818.43,24,120000
577.25,397.3847,272.3554,-5425.6923828125,25,634.94,25,125000
540.07,401.8908,257.4145,-6222.328125,26,666.68,26,130000
715.71,394.6015,260.5583,-5445.8740234375,27,754.04,27,135000
769.68,372.7413,277.9756,-5976.0166015625,28,885.69,28,140000
741.7,373.2235,283.4164,-6487.31396484375,29,870.97,29,145000
800.15,375.6397,235.006,-5895.01220703125,30,839.63,30,150000
761.23,396.8139,257.7262,-6801.2587890625,31,815.47,31,155000
756.54,354.3904,224.9067,-5478.87890625,32,947.47,32,160000
745.35,388.3329,245.1144,-6746.4853515625,33,853.2,33,165000
799.17,369.3558,239.1182,-6656.91650390625,34,1036.24,34,170000
816.67,385.8957,232.0096,-6626.70703125,35,832.44,35,175000
755.99,352.1779,228.4377,-6300.2568359375,36,954.28,36,180000
652.22,364.4187,256.0057,-7599.10205078125,37,948.15,37,185000
760.39,360.9286,274.7799,-8063.97265625,38,919.84,38,190000
804.7,359.7282,237.3546,-6589.61572265625,39,1055.08,39,195000
594.29,370.995,270.6325,-8550.5234375,40,767.55,40,200000
862.05,359.255,218.0266,-7306.681640625,41,1317.77,41,205000
777.83,342.5423,199.2424,-5876.9365234375,42,1691.94,42,210000
897.22,361.8458,229.5503,-7482.1064453125,43,1176.43,43,215000
868.94,351.6541,210.7003,-7317.89697265625,44,1445.49,44,220000
893.3,346.1601,199.7792,-7027.39599609375,45,1164.9,45,225000
770.4,344.2097,213.3557,-7487.337890625,46,1134.59,46,230000
650.5,363.5529,209.5141,-7103.6318359375,47,1342.69,47,235000
788.72,363.7863,213.3794,-7133.0146484375,48,1212.87,48,240000
972.53,336.6792,185.083,-5930.6220703125,49,1408.75,49,245000
789.48,351.0292,199.4654,-6751.20263671875,50,1842.63,50,250000
913.4,347.4539,173.1633,-5915.05224609375,51,2205.18,51,255000
1271.93,343.5214,188.0435,-6185.97998046875,52,2336.74,52,260000
1203.79,341.7533,184.4068,-6047.57666015625,53,2182.24,53,265000
1066.76,338.7166,204.5597,-6883.830078125,54,2354.54,54,270000
743.13,335.1737,206.5446,-7318.95947265625,55,1592.46,55,275000
721.99,338.8946,207.3338,-7051.2470703125,56,1877.44,56,280000
1659.4,327.2205,152.7088,-4546.857421875,57,2328.18,57,285000
1398.43,351.5887,248.2276,-8469.765625,58,2005.65,58,290000
1300.3,323.6549,154.4549,-4689.14794921875,59,3694.0,59,295000
2932.14,327.6317,165.229,-5498.947265625,60,3774.49,60,300000
1141.76,325.7785,166.24,-6498.22900390625,61,3112.65,61,305000
1833.4,342.2693,168.4521,-6162.3623046875,62,2794.04,62,310000
1088.76,333.2314,175.4634,-7180.7822265625,63,1671.07,63,315000
1338.83,315.7166,144.44,-5094.3984375,64,3867.85,64,320000
1279.78,317.9115,110.9886,-2682.94189453125,65,4061.2,65,325000
1456.89,321.883,145.2205,-5231.3271484375,66,3168.76,66,330000
1532.2,315.1061,120.0137,-3532.116943359375,67,4147.55,67,335000
944.1,323.854,125.0841,-4015.875244140625,68,3444.52,68,340000
747.08,328.8873,167.2137,-6215.8115234375,69,2043.05,69,345000
2109.94,321.2592,129.5331,-5082.599609375,70,4591.63,70,350000
1756.08,319.4004,124.556,-3950.93212890625,71,3500.32,71,355000
1107.14,336.2255,170.6936,-6810.85205078125,72,3083.22,72,360000
1504.8,323.0469,110.0628,-3244.7333984375,73,3976.84,73,365000
1805.51,319.4317,117.657,-4049.3984375,74,4525.45,74,370000
2531.65,318.8952,115.1664,-3568.637939453125,75,4672.74,75,375000
2528.04,319.9562,146.7329,-5742.48046875,76,4477.39,76,380000
3735.28,321.1105,105.2783,-2956.30322265625,77,4433.47,77,385000
1208.52,330.3349,161.8745,-6332.45947265625,78,3477.01,78,390000
3121.19,313.4231,99.7263,-3029.64306640625,79,3905.18,79,395000
3004.52,314.5266,110.038,-4708.07666015625,80,4337.27,80,400000
3281.19,319.7158,121.5008,-5083.1826171875,81,4614.06,81,405000
3468.22,318.5306,98.2567,-3855.639892578125,82,4539.68,82,410000
1363.81,310.4639,92.6623,-3331.49365234375,83,4580.98,83,415000
4611.95,316.8855,101.024,-3913.689208984375,84,4082.23,84,420000
4593.55,321.1851,98.909,-4129.4794921875,85,4609.81,85,425000
3527.67,311.0466,111.417,-5532.599609375,86,4310.08,86,430000
4707.34,320.7488,117.917,-5476.0390625,87,4755.8,87,435000
3237.3,314.2712,103.4179,-4388.24560546875,88,4591.9,88,440000
3717.65,324.0726,114.6327,-4861.2138671875,89,4456.83,89,445000
2687.54,326.1995,118.6557,-5926.994140625,90,3696.89,90,450000
3357.67,323.5454,123.3495,-6858.4541015625,91,3277.91,91,455000
3438.76,319.2969,124.7169,-6461.6953125,92,4237.06,92,460000
4798.01,325.7051,113.7102,-5714.712890625,93,4807.38,93,465000
4186.52,313.6891,140.6558,-7582.7607421875,94,3643.58,94,470000
4793.74,311.3594,96.0222,-5140.57275390625,95,4547.5,95,475000
4485.26,314.1214,95.8648,-5168.87548828125,96,3273.85,96,480000
2696.51,332.428,194.5931,-9342.361328125,97,3321.96,97,485000
3997.23,318.0371,140.2423,-7589.27001953125,98,3808.95,98,490000
2623.62,321.1515,101.9187,-6251.41455078125,99,4458.74,99,495000
4679.07,310.8794,101.4428,-6395.40576171875,100,4115.96,100,500000
4603.57,318.8778,118.0573,-6322.0087890625,101,4758.96,101,505000
2331.58,317.0199,113.4243,-7186.017578125,102,4758.09,102,510000
3854.36,312.4418,91.9803,-6117.03759765625,103,4574.78,103,515000
4338.01,317.805,133.8125,-7740.591796875,104,4205.53,104,520000
4183.65,311.4561,93.2129,-6555.6337890625,105,4294.65,105,525000
4079.3,313.1061,92.8511,-6594.20166015625,106,4192.23,106,530000
2916.27,312.3014,132.5579,-7722.67529296875,107,3361.91,107,535000
2868.04,310.124,110.0807,-7764.1513671875,108,4436.19,108,540000
4760.68,317.6879,95.6491,-7238.0361328125,109,4433.47,109,545000
4812.34,318.1566,108.6181,-8272.484375,110,4633.49,110,550000
4706.61,314.4384,95.6445,-7139.328125,111,4584.78,111,555000
4394.75,314.6868,111.5885,-7832.76171875,112,4060.74,112,560000
4080.32,315.2066,113.0077,-8096.81689453125,113,3656.22,113,565000
4553.26,317.0041,105.4279,-7987.34765625,114,4644.25,114,570000
1875.44,305.5055,92.0088,-7815.20654296875,115,4665.89,115,575000
4061.03,312.5875,91.9006,-7804.27978515625,116,4678.07,116,580000
3546.37,318.2278,97.9054,-8403.2685546875,117,4345.99,117,585000
4141.34,314.6879,105.6641,-7695.17822265625,118,4694.83,118,590000
4039.48,310.0795,108.5056,-7690.5810546875,119,4236.67,119,595000
4194.61,314.6412,109.1633,-8943.126953125,120,3061.11,120,600000
4590.21,310.769,92.4216,-8271.525390625,121,4745.6,121,605000
4554.28,313.7839,116.9205,-9258.70703125,122,4078.36,122,610000
4207.76,314.3582,108.6899,-9074.720703125,123,4670.69,123,615000
3580.72,304.5788,87.777,-8773.1953125,124,3999.68,124,620000
4365.67,313.6664,95.3909,-9044.6552734375,125,4450.63,125,625000
3810.55,306.2516,97.3964,-9371.5361328125,126,4116.65,126,630000
3595.23,313.3879,110.905,-9610.025390625,127,4308.01,127,635000
3976.89,312.1783,117.8467,-10199.3681640625,128,3826.82,128,640000
2540.44,311.4008,95.9935,-10292.9189453125,129,4178.92,129,645000
2767.4,318.6465,120.6638,-10019.2744140625,130,4064.37,130,650000
3941.76,324.3634,127.0112,-11420.0498046875,131,3718.04,131,655000
2895.4,316.2325,115.6836,-10246.97265625,132,4430.68,132,660000
2768.52,336.6586,151.1217,-11850.19140625,133,3297.4,133,665000
4595.31,312.3861,101.9207,-10692.1943359375,134,4267.77,134,670000
3124.59,322.1024,102.4195,-11179.6171875,135,4156.6,135,675000
2532.83,312.8339,101.2646,-11038.6220703125,136,4414.31,136,680000
4319.11,327.3666,143.7305,-12058.5224609375,137,4287.17,137,685000
4603.9,316.67,127.5886,-11829.19921875,138,4138.14,138,690000
4147.21,304.4816,93.3387,-11714.0166015625,139,4869.44,139,695000
4615.36,308.1912,101.6724,-11273.6279296875,140,4376.4,140,700000
3442.14,314.2708,107.3047,-11292.8505859375,141,4565.2,141,705000
4187.63,314.4657,105.5086,-12348.15625,142,4396.61,142,710000
4013.04,317.7173,113.2682,-12299.5810546875,143,4593.84,143,715000
3868.07,304.4279,91.5254,-11998.7490234375,144,4617.75,144,720000
4211.04,310.8139,94.4096,-12781.6298828125,145,4798.8,145,725000
3008.52,312.0509,94.7034,-12933.025390625,146,4841.31,146,730000
3881.73,307.6733,103.7428,-12878.8232421875,147,4838.66,147,735000
2235.59,320.4294,106.6638,-13099.3388671875,148,4844.9,148,740000
