Running Forward KL,Running Env Steps,Running Update Time,Reward Loss,Real Sto Return,Itration,Real Det Return,Running Reverse KL
158.4901,0,0,304.80267333984375,-210.82,0,33.9,11.7097
158.4492,5000,1,26.531402587890625,-136.25,1,4.6,11.7634
158.24,10000,2,-77.83956146240234,6.54,2,587.71,11.6081
158.132,15000,3,18.135848999023438,124.59,3,664.01,12.1189
158.1209,20000,4,-60.63193130493164,268.82,4,766.12,12.3894
157.9256,25000,5,-101.27281188964844,374.56,5,813.21,12.6172
157.8181,30000,6,-102.16287231445312,533.51,6,968.41,13.2659
157.7739,35000,7,-255.45263671875,606.09,7,1128.09,13.3116
157.9439,40000,8,-374.52093505859375,695.72,8,1152.81,14.1623
157.9986,45000,9,-588.9810791015625,734.91,9,1246.18,14.6512
158.0502,50000,10,-663.2767333984375,939.15,10,1359.91,14.9837
158.0978,55000,11,-864.1220703125,987.8,11,1418.15,15.2513
157.976,60000,12,-957.5103759765625,1048.37,12,1441.37,15.916
157.9261,65000,13,-1169.5550537109375,1110.55,13,1504.01,15.9375
157.702,70000,14,-1378.41845703125,1126.8,14,1525.11,15.7731
157.7568,75000,15,-1558.0191650390625,1171.57,15,1572.83,16.0218
157.8181,80000,16,-1718.7850341796875,1261.86,16,1659.73,16.1726
157.658,85000,17,-1976.6181640625,1294.14,17,1705.82,15.7225
157.7174,90000,18,-2171.100830078125,1298.77,18,1728.35,15.8578
157.8523,95000,19,-2294.94873046875,1364.64,19,1768.84,16.5365
157.7304,100000,20,-2535.059326171875,1381.76,20,1783.66,16.2075
157.5976,105000,21,-2727.92236328125,1387.64,21,1794.08,15.9512
157.5762,110000,22,-3040.291748046875,1379.29,22,1816.9,15.9385
157.6248,115000,23,-3130.190185546875,1426.82,23,1839.72,16.0904
157.7834,120000,24,-3388.7666015625,1467.0,24,1857.82,16.3995
157.5728,125000,25,-3624.714599609375,1430.53,25,1813.21,15.4865
157.4438,130000,26,-3797.2998046875,1423.29,26,1845.72,15.5428
157.737,135000,27,-3899.58251953125,1491.02,27,1882.51,16.1644
157.5594,140000,28,-4150.8359375,1519.29,28,1914.38,16.2244
157.4728,145000,29,-4355.65771484375,1550.2,29,1920.5,16.0779
157.4576,150000,30,-4510.89111328125,1529.53,30,1914.52,16.1472
157.5042,155000,31,-4688.236328125,1553.37,31,1940.45,16.1254
157.6187,160000,32,-4883.20458984375,1604.82,32,1965.08,16.629
157.3674,165000,33,-5037.54443359375,1543.82,33,1915.63,15.7161
157.3944,170000,34,-5372.64404296875,1555.92,34,1927.3,15.9843
157.2084,175000,35,-5432.10546875,1575.46,35,1909.05,15.6201
157.2474,180000,36,-5655.12744140625,1604.6,36,1949.54,16.037
157.387,185000,37,-5839.45556640625,1578.44,37,1938.49,15.8177
157.401,190000,38,-5959.71533203125,1626.76,38,1963.1,15.6123
157.2762,195000,39,-6301.85595703125,1572.7,39,1887.67,15.6732
157.2993,200000,40,-6397.37353515625,1655.09,40,2010.9,16.0972
