Running Reverse KL,Real Sto Return,Real Det Return,Itration,Running Forward KL
11.4801,-175.02,-38.58,0,158.4244
11.8224,-54.23,10.06,1,158.5221
11.9303,122.26,747.27,2,158.1523
12.6557,295.76,733.95,3,158.0075
13.5425,469.72,913.59,4,157.9186
13.7292,598.04,958.22,5,157.9933
14.5601,637.11,1038.3,6,158.1865
13.9766,712.55,1036.14,7,158.0386
15.0369,816.11,1186.07,8,158.1936
15.8777,995.15,1350.53,9,158.0155
16.5503,1058.0,1412.91,10,157.9065
16.2726,1113.05,1508.15,11,158.1515
15.9728,1134.58,1542.39,12,157.9945
16.4795,1144.18,1562.16,13,158.0573
16.6686,1182.88,1592.49,14,158.1802
16.6222,1198.35,1611.65,15,158.2536
16.5796,1292.03,1652.28,16,158.1374
16.2349,1303.46,1675.13,17,157.8877
16.1954,1311.52,1712.03,18,157.8356
16.2335,1347.84,1733.92,19,157.8234
16.3841,1431.51,1844.57,20,157.7874
16.4895,1429.98,1824.43,21,157.8091
16.317,1447.38,1857.33,22,157.8579
16.5455,1451.96,1844.12,23,157.8926
16.308,1503.16,1894.88,24,157.6571
16.5589,1525.83,1881.28,25,157.6552
16.5625,1550.64,1913.2,26,157.6019
16.2919,1536.12,1915.3,27,157.678
16.6861,1607.59,1927.64,28,157.6164
17.1102,1595.43,1922.6,29,157.83
15.9803,1548.78,1867.21,30,157.6041
16.5156,1602.41,1969.83,31,157.4375
16.4469,1608.6,1917.37,32,157.6337
16.7305,1625.74,1982.2,33,157.6617
16.2761,1598.73,1904.45,34,157.5266
16.2529,1649.05,1968.12,35,157.3156
16.0812,1602.67,1919.27,36,157.4315
16.1495,1611.71,1985.34,37,157.5816
16.3492,1631.33,1985.32,38,157.4766
16.4617,1669.63,2047.6,39,157.5663
16.2075,1694.93,2058.09,40,157.185
16.4378,1687.51,2049.54,41,157.3739
16.3257,1651.81,1950.61,42,157.5824
16.73,1739.75,2111.06,43,157.1441
16.495,1736.69,2075.44,44,157.3106
16.6615,1698.58,2074.63,45,157.4551
16.1365,1688.12,2036.17,46,157.3254
