Reward Loss,Real Det Return,Real Sto Return,Running Update Time,Running Forward KL,Running Reverse KL,Itration,Running Env Steps
112.16690826416016,20.74,-214.26,0,158.5922,11.7294,0,0
-110.5404052734375,-263.84,-108.29,1,158.4481,11.7992,1,5000
-342.07330322265625,748.1,81.33,2,158.3907,12.3027,2,10000
-633.785888671875,822.63,444.6,3,158.0767,14.0458,3,15000
-871.9224853515625,904.77,567.61,4,158.1829,14.2137,4,20000
-1152.1448974609375,998.62,694.31,5,158.0432,14.6622,5,25000
-1292.0472412109375,1136.1,794.87,6,158.0294,14.8301,6,30000
-1513.34326171875,801.8,821.64,7,157.9704,14.7532,7,35000
-1668.7098388671875,1337.77,903.89,8,157.77,15.0124,8,40000
-1818.90087890625,1455.32,975.67,9,157.7557,15.2802,9,45000
-1996.1270751953125,1498.52,1005.14,10,157.9204,15.5583,10,50000
-2111.549560546875,1626.02,1145.66,11,157.4619,15.547,11,55000
-2417.25537109375,1595.96,1144.93,12,157.477,15.4895,12,60000
-2628.718017578125,1661.32,1199.51,13,157.72,16.0035,13,65000
-2777.74169921875,1685.25,1246.69,14,157.6707,16.1031,14,70000
-3021.047607421875,1689.51,1279.76,15,157.8178,16.2027,15,75000
-3170.933837890625,1669.95,1231.42,16,157.7369,16.0491,16,80000
-3382.46044921875,1736.33,1278.05,17,157.6751,16.0329,17,85000
-3637.521484375,1794.0,1369.2,18,157.6852,16.1892,18,90000
-3760.850341796875,1831.61,1398.96,19,157.8079,16.2168,19,95000
-4017.00537109375,1835.31,1431.48,20,157.7836,16.0941,20,100000
-4205.44091796875,1785.33,1428.36,21,157.6233,15.8684,21,105000
-4411.15576171875,1798.52,1473.03,22,157.6234,16.0809,22,110000
-4513.78564453125,1864.77,1475.81,23,157.3134,15.9661,23,115000
-4748.2275390625,1841.27,1511.28,24,157.4836,15.8253,24,120000
-4876.95458984375,1869.46,1506.83,25,157.3178,15.7215,25,125000
-5050.63232421875,1889.27,1562.75,26,157.2155,16.0138,26,130000
-5318.654296875,1915.62,1588.88,27,157.2857,15.8307,27,135000
-5479.42919921875,1807.75,1525.86,28,157.1863,15.4335,28,140000
-5591.8017578125,1953.74,1583.36,29,157.249,15.8255,29,145000
-5836.25341796875,1873.5,1606.2,30,157.1659,15.8554,30,150000
-5980.7138671875,1914.83,1597.39,31,157.0436,15.8273,31,155000
-6180.814453125,2000.66,1626.86,32,157.2438,15.7223,32,160000
-6365.515625,1989.78,1649.96,33,157.1009,15.788,33,165000
-6581.34619140625,1843.63,1598.84,34,157.0698,15.6226,34,170000
-6754.25537109375,1989.5,1648.46,35,157.1396,15.9977,35,175000
-6921.5576171875,2016.58,1662.3,36,157.1224,15.6038,36,180000
-7115.72607421875,2029.87,1668.84,37,157.0963,15.7663,37,185000
-7168.04150390625,1988.44,1633.64,38,156.9752,15.4468,38,190000
-7414.31494140625,1962.13,1657.75,39,156.9575,15.4513,39,195000
-7648.44091796875,2003.88,1647.76,40,157.305,15.7276,40,200000
-7821.03369140625,2081.54,1683.17,41,157.1751,15.6786,41,205000
-7970.3408203125,2007.65,1670.11,42,157.0852,15.4395,42,210000
-8095.078125,2091.65,1704.29,43,156.8875,15.7544,43,215000
-8325.22265625,1981.32,1678.13,44,156.8184,15.2947,44,220000
-8504.447265625,2038.39,1691.49,45,156.9782,15.4771,45,225000
-8665.587890625,2104.11,1729.55,46,156.8738,15.678,46,230000
-8863.109375,2122.24,1713.29,47,156.9569,15.6953,47,235000
-9051.58203125,2068.05,1731.23,48,156.7762,15.6306,48,240000
-9301.4560546875,2065.53,1744.72,49,157.0599,15.7738,49,245000
-9467.2607421875,2135.66,1740.12,50,156.8014,15.4287,50,250000
-9613.7734375,2115.45,1758.1,51,156.8754,15.7392,51,255000
-9917.0322265625,2108.36,1755.73,52,156.8423,15.7355,52,260000
-9993.212890625,2040.05,1732.58,53,156.9678,15.485,53,265000
-10232.9150390625,2060.54,1728.1,54,156.7556,15.3102,54,270000
-10419.06640625,2123.08,1753.73,55,156.867,15.6537,55,275000
-10620.3251953125,2086.73,1741.35,56,156.68,15.4572,56,280000
-10761.013671875,2125.74,1762.3,57,156.8035,15.6325,57,285000
-10988.6357421875,2181.5,1771.05,58,156.7119,15.381,58,290000
-11141.51953125,2141.79,1789.52,59,156.7728,15.5126,59,295000
-11346.513671875,2119.15,1750.76,60,157.0024,15.6715,60,300000
-11610.75,2140.38,1796.18,61,156.8321,15.9527,61,305000
-11928.1279296875,2174.0,1786.41,62,156.8537,15.8586,62,310000
-12116.640625,2190.26,1781.74,63,156.927,15.9661,63,315000
-12268.490234375,2177.95,1793.44,64,156.9402,15.8341,64,320000
-12378.2626953125,2169.38,1774.62,65,156.8246,15.6147,65,325000
-12636.9345703125,2061.46,1792.3,66,156.6704,15.5668,66,330000
-12798.8564453125,2155.53,1798.65,67,156.8713,15.675,67,335000
-13064.125,2194.77,1787.48,68,156.8254,15.7224,68,340000
-13230.2421875,2167.69,1787.07,69,156.8429,15.7867,69,345000
-13544.3828125,2149.78,1779.1,70,156.6935,15.5227,70,350000
-13681.201171875,2181.92,1814.68,71,156.7179,15.556,71,355000
-13888.1689453125,2125.87,1771.62,72,156.852,15.5412,72,360000
-14051.6279296875,2169.8,1809.9,73,156.8895,15.465,73,365000
-14309.5283203125,2131.81,1781.25,74,156.8322,15.6394,74,370000
-14532.546875,2195.95,1833.05,75,156.8462,15.8089,75,375000
-14729.4208984375,2142.09,1772.02,76,157.0396,15.3269,76,380000
-14887.482421875,2123.92,1773.78,77,156.655,15.4372,77,385000
-15056.3193359375,2243.03,1832.87,78,156.7059,15.4668,78,390000
-15290.7783203125,2206.19,1829.85,79,156.668,15.4672,79,395000
-15554.6572265625,2190.55,1843.36,80,156.7298,15.4527,80,400000
-15679.20703125,2078.41,1785.05,81,156.7289,15.1562,81,405000
-16075.9443359375,2186.9,1817.3,82,156.7612,15.5826,82,410000
-16147.2431640625,2220.6,1807.3,83,156.9668,15.4878,83,415000
-16465.8046875,2198.06,1812.07,84,156.6111,15.3545,84,420000
-16559.908203125,2167.12,1810.4,85,156.56,15.3839,85,425000
-16846.89453125,2218.94,1844.84,86,156.698,15.5193,86,430000
-17047.357421875,2187.11,1783.84,87,156.7363,15.3436,87,435000
-17306.23828125,2237.84,1823.28,88,156.5784,15.403,88,440000
-17470.046875,2197.3,1806.19,89,156.88,15.3085,89,445000
-17636.5234375,2173.63,1813.33,90,156.551,15.4369,90,450000
-17917.169921875,2231.71,1879.52,91,156.8391,15.8587,91,455000
-18124.79296875,2203.43,1815.63,92,156.6261,15.2299,92,460000
-18398.150390625,2232.88,1872.08,93,156.7653,15.6345,93,465000
-18653.02734375,2211.63,1828.42,94,156.819,15.4831,94,470000
-18956.1953125,2216.91,1847.33,95,156.6125,15.5782,95,475000
-19020.439453125,2199.88,1832.03,96,156.5492,15.1776,96,480000
-19235.275390625,2218.9,1853.5,97,156.6974,15.1927,97,485000
-19442.578125,2232.47,1811.8,98,156.6326,15.2262,98,490000
-19858.9453125,2207.19,1818.03,99,156.6708,15.5996,99,495000
-19973.826171875,2169.01,1831.0,100,156.8774,15.6073,100,500000
-20299.833984375,2249.02,1869.54,101,156.7364,15.7312,101,505000
-20445.759765625,2212.61,1828.81,102,156.6578,15.1653,102,510000
-20635.404296875,2229.85,1854.91,103,156.6947,15.381,103,515000
-20791.8671875,2222.85,1872.94,104,156.5664,15.4532,104,520000
-21018.9921875,2221.8,1873.84,105,156.7544,15.4411,105,525000
-21404.333984375,2234.66,1873.96,106,156.8258,15.5815,106,530000
