Real Sto Return,Reward Loss,Running Update Time,Itration,Running Forward KL,Running Reverse KL,Running Env Steps,Real Det Return
-203.39,27.021677017211914,0,0,158.4498,11.235,0,-7.59
-69.23,-14.832555770874023,1,1,158.4433,11.8579,5000,-14.45
78.55,-56.2800178527832,2,2,158.3593,12.2059,10000,625.95
315.24,-108.06694793701172,3,3,158.1495,13.0625,15000,777.7
525.56,-155.43429565429688,4,4,157.9044,13.8443,20000,984.35
637.35,-202.24578857421875,5,5,157.9075,14.5867,25000,1065.86
651.64,-256.72760009765625,6,6,158.1147,14.5488,30000,1098.9
794.65,-293.59912109375,7,7,158.0664,14.743,35000,1224.11
880.94,-332.2430114746094,8,8,157.9958,15.467,40000,1331.05
1004.33,-362.9947814941406,9,9,158.0248,15.9571,45000,1386.63
1007.93,-402.3913269042969,10,10,157.9542,15.6608,50000,1404.34
1136.7,-450.83087158203125,11,11,157.9102,16.4118,55000,1585.83
1159.25,-466.9955139160156,12,12,158.0001,16.4834,60000,1562.3
1214.23,-517.5025634765625,13,13,157.839,16.657,65000,1627.27
1255.36,-553.8125,14,14,157.8104,16.4842,70000,1639.44
1321.19,-590.5328369140625,15,15,157.7703,17.181,75000,1701.66
1302.26,-629.7887573242188,16,16,157.7036,16.6074,80000,1695.17
1325.03,-684.0227661132812,17,17,157.8876,16.5707,85000,1718.6
1402.53,-715.2433471679688,18,18,157.8618,16.8635,90000,1802.31
1376.04,-758.8491821289062,19,19,157.8132,16.7454,95000,1825.16
1469.59,-803.946533203125,20,20,157.5348,16.3766,100000,1811.91
1462.45,-848.8328247070312,21,21,157.5538,16.6973,105000,1866.93
1482.09,-888.6231689453125,22,22,157.6782,16.4378,110000,1874.01
1536.32,-924.7593994140625,23,23,157.689,16.712,115000,1899.17
1542.66,-961.3096923828125,24,24,157.5892,16.4079,120000,1897.34
1531.79,-997.46240234375,25,25,157.5635,16.602,125000,1911.71
1578.87,-1040.201904296875,26,26,157.515,16.3069,130000,1973.92
1592.63,-1085.167236328125,27,27,157.5272,16.2841,135000,1968.37
1613.05,-1117.2862548828125,28,28,157.5423,16.2712,140000,1957.54
1603.37,-1149.2647705078125,29,29,157.3077,15.9389,145000,1980.19
1608.68,-1184.976806640625,30,30,157.3563,15.9147,150000,1962.21
1593.66,-1222.4862060546875,31,31,157.1934,15.8539,155000,1993.2
1664.21,-1253.8380126953125,32,32,157.3553,16.3286,160000,2045.3
1637.49,-1297.2943115234375,33,33,157.4874,16.1909,165000,2029.49
1642.98,-1332.7178955078125,34,34,157.3197,16.1124,170000,1979.27
1662.06,-1366.24658203125,35,35,157.0938,15.8262,175000,2003.86
1641.98,-1404.623291015625,36,36,157.209,16.1066,180000,1997.18
1677.29,-1443.52099609375,37,37,157.3709,16.2339,185000,2036.92
1694.43,-1475.7857666015625,38,38,157.1575,15.9382,190000,2022.81
1629.06,-1509.92041015625,39,39,157.1362,15.654,195000,1946.49
1713.17,-1562.2532958984375,40,40,157.2639,16.213,200000,2026.67
1691.34,-1588.146728515625,41,41,157.179,15.7763,205000,2083.84
1661.15,-1633.3370361328125,42,42,157.2237,15.8818,210000,1916.39
1659.6,-1659.850341796875,43,43,156.8716,15.3402,215000,1995.54
1732.86,-1705.5218505859375,44,44,156.8393,16.1065,220000,2074.12
1730.54,-1752.321044921875,45,45,156.9852,15.9762,225000,2084.79
1687.62,-1784.1160888671875,46,46,157.12,15.8343,230000,1996.08
1738.26,-1827.1429443359375,47,47,156.996,15.8966,235000,2064.55
1697.51,-1857.84814453125,48,48,157.0788,15.5128,240000,1980.32
1712.17,-1894.654052734375,49,49,156.9848,15.9342,245000,2027.99
1671.55,-1924.9405517578125,50,50,156.94,15.6024,250000,1982.55
1751.13,-1988.0457763671875,51,51,157.1371,16.2456,255000,2112.44
1748.89,-2015.4246826171875,52,52,156.9817,16.0618,260000,2114.73
1723.97,-2048.42431640625,53,53,156.967,15.8477,265000,2067.3
1730.54,-2082.798095703125,54,54,156.974,15.9898,270000,2073.02
1751.66,-2121.662841796875,55,55,157.0437,15.9238,275000,2056.32
1696.44,-2166.045166015625,56,56,156.8451,15.5382,280000,2020.96
1744.76,-2209.92822265625,57,57,156.767,15.7094,285000,2106.88
1741.53,-2241.266357421875,58,58,156.7903,15.7055,290000,2118.26
1731.97,-2293.85302734375,59,59,156.9578,15.7115,295000,2066.69
1751.43,-2337.863037109375,60,60,156.9475,15.8673,300000,2117.28
1761.12,-2365.0068359375,61,61,156.7775,15.6384,305000,2109.98
1749.32,-2404.263427734375,62,62,156.9295,15.7844,310000,2117.81
1765.17,-2442.4814453125,63,63,156.8726,15.7433,315000,2105.22
1754.95,-2481.4267578125,64,64,156.9342,15.6008,320000,2083.3
1763.28,-2532.415771484375,65,65,156.9492,15.6388,325000,2094.51
1790.88,-2571.3095703125,66,66,156.899,15.6538,330000,2118.98
1759.17,-2611.89794921875,67,67,156.8476,15.636,335000,2089.25
1759.44,-2651.867431640625,68,68,156.808,15.7524,340000,2120.01
1741.58,-2689.4970703125,69,69,156.9041,15.5919,345000,2111.77
1768.62,-2716.4423828125,70,70,156.7488,15.4067,350000,2123.29
1743.23,-2758.8896484375,71,71,156.7222,15.6144,355000,2090.77
1779.59,-2801.29296875,72,72,156.6497,15.5297,360000,2171.14
1789.92,-2872.30908203125,73,73,156.9223,15.7598,365000,2191.03
1783.15,-2908.138671875,74,74,156.8569,15.5662,370000,2147.9
1756.4,-2943.9150390625,75,75,156.8871,15.3758,375000,2162.43
1777.7,-2997.057373046875,76,76,156.7328,15.5397,380000,2158.78
1797.28,-3034.674560546875,77,77,156.8823,15.7179,385000,2144.65
1752.62,-3063.335205078125,78,78,156.8059,15.4632,390000,2104.32
1798.6,-3116.654052734375,79,79,156.9444,15.6471,395000,2155.66
1791.66,-3160.27197265625,80,80,156.7156,15.438,400000,2174.51
1813.78,-3208.17138671875,81,81,156.7272,15.5912,405000,2174.48
1801.7,-3238.03369140625,82,82,156.8763,15.5524,410000,2144.25
1803.96,-3286.790771484375,83,83,156.7107,15.578,415000,2176.69
1821.71,-3317.027587890625,84,84,156.7641,15.5801,420000,2181.68
1807.52,-3396.120849609375,85,85,156.9264,15.7962,425000,2183.47
1781.18,-3430.999267578125,86,86,156.8701,15.4258,430000,2163.42
1815.61,-3470.640625,87,87,156.7862,15.6382,435000,2165.26
1797.76,-3516.327880859375,88,88,156.7933,15.4279,440000,2149.04
1820.48,-3541.920654296875,89,89,156.7911,15.4931,445000,2206.49
1803.55,-3594.201904296875,90,90,156.8142,15.4527,450000,2135.53
1833.28,-3662.6572265625,91,91,156.832,15.6805,455000,2179.06
1844.08,-3701.3857421875,92,92,156.6751,15.7019,460000,2203.94
1799.05,-3755.4375,93,93,156.8654,15.9723,465000,2110.41
1815.84,-3771.640869140625,94,94,156.7802,15.6798,470000,2160.3
1815.1,-3824.732666015625,95,95,156.8219,15.7743,475000,2200.67
1807.57,-3862.296630859375,96,96,156.7266,15.2466,480000,2157.02
1838.23,-3925.28173828125,97,97,156.7488,15.9733,485000,2202.06
1820.77,-3977.371826171875,98,98,156.8334,15.4216,490000,2192.44
1799.19,-4026.9384765625,99,99,157.092,15.8033,495000,2175.68
1813.97,-4081.98876953125,100,100,156.7839,15.6003,500000,2206.03
1815.45,-4098.01416015625,101,101,156.6953,15.4457,505000,2202.98
1831.99,-4166.61767578125,102,102,156.8268,15.3951,510000,2159.08
1821.23,-4207.42919921875,103,103,156.8897,15.7024,515000,2160.25
1785.94,-4233.99072265625,104,104,156.7429,15.3214,520000,2083.43
1818.0,-4272.61328125,105,105,156.6763,15.1324,525000,2137.33
1816.82,-4320.5732421875,106,106,156.6281,15.3122,530000,2142.67
1757.21,-4364.18701171875,107,107,156.7792,15.0824,535000,2110.59
1836.69,-4426.66259765625,108,108,156.8474,15.6138,540000,2203.85
1846.89,-4479.623046875,109,109,156.6878,15.4494,545000,2182.7
1825.63,-4528.28955078125,110,110,156.8362,15.5362,550000,2151.73
1824.13,-4587.27685546875,111,111,156.6762,15.6056,555000,2171.65
1844.29,-4601.17724609375,112,112,156.7335,15.5647,560000,2206.13
1852.8,-4690.93896484375,113,113,156.7609,15.3914,565000,2148.67
1795.94,-4738.96240234375,114,114,156.7995,15.2574,570000,2122.03
1818.5,-4799.84423828125,115,115,156.9014,15.6708,575000,2172.35
1820.68,-4821.37060546875,116,116,156.7334,15.5167,580000,2153.28
1828.25,-4877.72998046875,117,117,156.7602,15.5517,585000,2175.32
1842.64,-4915.8388671875,118,118,156.6558,15.2251,590000,2148.59
1814.8,-4963.34375,119,119,156.6751,15.0009,595000,2148.8
1817.62,-5030.1337890625,120,120,157.0012,15.6239,600000,2124.0
1854.3,-5099.08056640625,121,121,156.8664,15.8444,605000,2205.31
1861.3,-5116.21875,122,122,156.7384,15.3465,610000,2197.37
1824.89,-5180.53466796875,123,123,156.7372,15.5392,615000,2171.41
1832.24,-5259.67578125,124,124,156.7301,15.6154,620000,2193.45
1800.68,-5259.9677734375,125,125,156.7774,15.2248,625000,2072.93
1834.15,-5331.0947265625,126,126,156.5153,15.3127,630000,2201.33
1865.38,-5381.86572265625,127,127,156.6252,15.508,635000,2208.82
1820.07,-5475.73193359375,128,128,156.7074,15.5813,640000,2152.54
1857.85,-5489.55224609375,129,129,156.536,15.4375,645000,2219.85
1831.12,-5529.30029296875,130,130,156.6586,15.2609,650000,2174.09
1833.97,-5598.0029296875,131,131,156.7633,15.4451,655000,2166.65
