Running Forward KL,Real Det Return,Itration,Running Reverse KL,Real Sto Return
49.8388,316.6,0,23.4615,320.36
49.3927,281.05,1,18.0857,274.05
49.7527,365.97,2,25.9196,310.17
50.3861,465.64,3,14.8134,450.78
50.615,379.66,4,53.8794,390.15
49.1015,377.62,5,21.074,464.75
49.0968,564.3,6,16.0664,577.88
48.5671,1465.15,7,14.6586,953.96
48.6532,672.46,8,17.9838,603.36
47.4279,856.88,9,15.1667,680.01
47.4109,1636.15,10,28.321,1437.7
47.4502,1040.06,11,19.521,1027.26
46.601,1501.93,12,17.6429,1404.46
45.7026,1591.88,13,16.2798,1672.66
46.2987,844.92,14,19.8409,1636.99
45.1202,2867.02,15,16.3175,2106.43
45.2293,875.72,16,14.674,2463.62
45.6019,2670.99,17,14.6119,2739.58
46.7979,2673.99,18,17.9436,2704.28
45.1182,3008.53,19,19.7966,3043.43
45.3245,2954.42,20,16.5374,2892.18
44.8648,3085.57,21,17.0767,3016.27
44.8717,3142.06,22,17.4113,3040.82
45.1013,2849.67,23,15.1085,2980.95
44.789,2974.61,24,16.5371,3022.31
44.3263,3175.92,25,17.3524,3217.26
43.4484,3357.69,26,16.6006,3356.83
43.5399,3548.91,27,18.0517,3427.89
43.6225,3242.55,28,16.5084,3214.02
42.8362,3594.79,29,17.1544,3349.41
43.7321,3366.21,30,16.6798,2933.8
42.3913,3513.48,31,14.4114,3556.57
41.8212,3629.82,32,14.9874,3349.69
42.4791,3485.2,33,17.2704,3545.93
42.9933,3165.02,34,16.5645,2880.7
41.7698,3773.56,35,15.9275,3604.25
42.0777,3837.89,36,15.8307,3621.53
41.6326,3827.05,37,15.7947,3764.48
41.595,3723.94,38,15.0297,3718.41
41.148,3847.24,39,16.3627,3694.58
40.5202,3825.74,40,14.0265,3350.19
41.7928,3687.09,41,14.8413,3724.88
40.5178,3843.09,42,14.5565,3928.75
40.7191,3867.72,43,14.4034,3929.09
39.9429,4050.86,44,14.9653,4063.7
39.4681,4093.39,45,14.8331,3989.44
39.922,4201.07,46,14.6853,3865.81
42.0828,2250.82,47,73.1775,2178.48
40.4279,3976.48,48,14.8104,3955.35
39.7673,4324.54,49,15.5292,4072.25
40.0628,4203.06,50,15.4585,3864.28
39.3055,4311.17,51,14.1361,4213.28
40.4148,4214.18,52,13.5567,3752.57
39.9741,2849.32,53,14.146,3677.53
38.5283,4610.54,54,14.9014,4351.26
39.4815,4226.88,55,15.8226,3886.4
40.0161,4236.91,56,15.0934,4165.67
38.977,4329.79,57,14.2966,4167.48
38.8652,4265.69,58,14.7607,4154.11
38.584,4206.22,59,14.623,4144.34
38.218,4514.14,60,16.032,4376.28
37.9349,4429.72,61,14.7369,4358.2
39.8437,4162.28,62,13.1747,3783.88
38.2264,4485.85,63,14.1465,4295.85
38.5382,4455.39,64,16.4421,4361.08
37.8427,4332.86,65,14.688,4345.33
