Real Sto Return,Itration,Running Env Steps,Running Update Time,Running Reverse KL,Running Forward KL,Real Det Return,Reward Loss
-217.04,0,0,0,11.532,158.4814,-35.28,202.60804748535156
-93.03,1,5000,1,11.7421,158.3799,-0.05,166.53639221191406
108.39,2,10000,2,11.8645,157.9333,838.74,114.99290466308594
219.34,3,15000,3,11.3051,157.6619,792.32,74.59468841552734
354.91,4,20000,4,12.639,157.9181,811.19,40.125892639160156
481.53,5,25000,5,13.4359,158.1345,902.81,19.88294792175293
675.32,6,30000,6,14.3539,158.1472,965.64,-13.282150268554688
796.05,7,35000,7,14.929,158.0257,970.89,-38.74318313598633
820.86,8,40000,8,14.9103,158.2137,1198.18,-81.72488403320312
883.23,9,45000,9,14.7125,158.0699,1279.75,-119.17975616455078
953.84,10,50000,10,15.1893,157.7121,1307.26,-123.43415832519531
1070.07,11,55000,11,15.9276,157.9926,1235.11,-152.9971160888672
1019.48,12,60000,12,16.2844,157.8221,1575.53,-188.45118713378906
1054.87,13,65000,13,16.2363,157.9397,1534.78,-220.2246856689453
1183.66,14,70000,14,16.4905,157.7503,1607.99,-248.72100830078125
1239.64,15,75000,15,16.8165,157.8465,1646.44,-275.5737609863281
1235.36,16,80000,16,16.6193,158.1188,1640.56,-315.2307434082031
1270.77,17,85000,17,16.7642,158.0209,1654.47,-331.6966247558594
1318.92,18,90000,18,16.7792,157.919,1740.0,-351.78839111328125
1325.11,19,95000,19,16.7485,157.9329,1737.97,-385.9962158203125
1362.37,20,100000,20,16.6319,157.8495,1760.04,-429.0700988769531
1413.93,21,105000,21,17.0901,157.9695,1794.7,-444.7538146972656
1395.33,22,110000,22,16.5632,157.8689,1822.88,-485.0915222167969
1441.55,23,115000,23,17.0403,157.9062,1832.5,-516.5260620117188
1482.66,24,120000,24,16.7976,157.8307,1873.85,-542.4502563476562
1495.46,25,125000,25,16.6912,157.7554,1867.15,-572.2279663085938
1504.17,26,130000,26,16.8643,157.9614,1859.96,-611.3889770507812
1521.44,27,135000,27,16.7114,157.8962,1823.87,-644.150390625
1538.07,28,140000,28,16.9719,157.755,1922.47,-650.4610595703125
1552.43,29,145000,29,16.82,157.9042,1923.56,-699.1734619140625
1540.02,30,150000,30,16.3401,157.86,1894.89,-720.3201293945312
1561.78,31,155000,31,16.5788,157.8693,1948.82,-754.6124877929688
1553.82,32,160000,32,16.6245,157.6773,1885.08,-795.7332763671875
1575.97,33,165000,33,16.5304,157.7716,1927.14,-806.8023681640625
1595.05,34,170000,34,16.8414,157.6813,1957.03,-838.9104614257812
1604.14,35,175000,35,16.6239,157.5168,1962.25,-872.4285888671875
1620.8,36,180000,36,16.7002,157.55,1947.86,-910.37353515625
1621.66,37,185000,37,16.7254,157.6858,1953.68,-936.6260375976562
1627.78,38,190000,38,16.419,157.43,1960.58,-971.6581420898438
1633.91,39,195000,39,16.6338,157.5974,1999.5,-995.0608520507812
1645.05,40,200000,40,16.4858,157.4993,2010.7,-1032.2335205078125
1653.47,41,205000,41,16.5333,157.3924,2010.09,-1061.7574462890625
1626.78,42,210000,42,16.5969,157.6498,1982.48,-1088.96875
1670.14,43,215000,43,16.5269,157.4761,2000.56,-1125.2822265625
1680.87,44,220000,44,16.8808,157.3461,2020.01,-1147.748046875
1677.15,45,225000,45,16.702,157.5266,2046.32,-1177.7816162109375
1699.42,46,230000,46,16.6592,157.5192,2039.33,-1208.210205078125
1692.98,47,235000,47,16.7881,157.5071,2050.54,-1246.210693359375
1714.74,48,240000,48,16.6479,157.2107,2049.99,-1275.8907470703125
1659.99,49,245000,49,16.328,157.3752,2020.0,-1305.377197265625
1698.09,50,250000,50,16.5264,157.3992,2036.0,-1336.56201171875
1695.76,51,255000,51,16.3664,157.2624,2057.84,-1356.66845703125
1694.63,52,260000,52,16.6247,157.3902,2039.69,-1396.0020751953125
1694.57,53,265000,53,16.2156,157.2252,2023.3,-1435.9849853515625
1686.29,54,270000,54,16.3584,157.3995,2026.49,-1458.8463134765625
1688.04,55,275000,55,15.8035,157.0215,2018.2,-1490.279052734375
1672.78,56,280000,56,16.1181,157.2829,2046.85,-1523.3851318359375
1680.41,57,285000,57,16.0494,157.3898,2047.15,-1546.56689453125
1737.3,58,290000,58,16.5101,157.1967,2095.87,-1573.73779296875
1713.33,59,295000,59,16.244,157.368,2086.11,-1611.1243896484375
1740.9,60,300000,60,16.4097,157.3655,2120.77,-1647.36083984375
1736.43,61,305000,61,16.0623,157.1914,2104.82,-1662.890869140625
1730.3,62,310000,62,15.958,157.1152,2073.75,-1701.6365966796875
1720.37,63,315000,63,15.817,157.0838,2070.11,-1731.9306640625
1725.19,64,320000,64,16.0989,157.1245,2088.35,-1780.714599609375
1736.22,65,325000,65,16.1088,157.3086,2076.18,-1805.7745361328125
1713.62,66,330000,66,16.0721,157.2368,2100.35,-1845.1981201171875
1711.22,67,335000,67,15.7734,157.1101,2061.57,-1869.9747314453125
1677.18,68,340000,68,15.7018,156.9842,2006.84,-1882.697998046875
1780.8,69,345000,69,15.9895,156.8806,2138.3,-1926.7427978515625
1732.08,70,350000,70,15.8414,157.2229,2088.44,-1961.5982666015625
1769.62,71,355000,71,15.8882,157.0208,2084.8,-1995.3892822265625
1744.93,72,360000,72,15.8496,157.1315,2102.63,-2017.985107421875
1751.26,73,365000,73,15.9024,157.058,2093.65,-2061.728271484375
1739.77,74,370000,74,15.9717,156.9477,2101.55,-2095.7275390625
1764.97,75,375000,75,15.6611,156.9547,2105.79,-2127.4775390625
1770.79,76,380000,76,15.8984,156.9769,2128.96,-2153.8642578125
1744.01,77,385000,77,15.7005,156.9576,2101.12,-2193.844482421875
1740.36,78,390000,78,15.9946,156.9397,2084.42,-2218.3759765625
1786.73,79,395000,79,16.2487,157.1636,2127.79,-2254.084228515625
1749.03,80,400000,80,15.6439,157.1255,2092.3,-2289.337158203125
1793.48,81,405000,81,15.7276,156.8773,2150.05,-2320.958984375
