Itration,Running Env Steps,Running Forward KL,Running Reverse KL,Real Det Return,Reward Loss,Real Sto Return,Running Update Time
0,0,443.0192,243.3646,310.59,-4503.93115234375,335.52,0
1,5000,448.5158,281.0419,354.33,-4850.4921875,357.91,1
2,10000,428.4227,259.2127,257.19,-5760.12158203125,404.75,2
3,15000,412.4371,245.1878,246.76,-5641.61572265625,347.17,3
4,20000,424.554,256.6114,425.24,-5624.78271484375,359.26,4
5,25000,419.4672,297.3569,329.53,-5764.095703125,324.62,5
6,30000,412.9121,259.4043,326.64,-5971.98779296875,400.91,6
7,35000,402.6676,236.7313,554.85,-6129.427734375,470.97,7
8,40000,397.2319,235.9617,441.07,-6378.54052734375,552.23,8
9,45000,385.0984,232.7877,649.32,-6944.8193359375,473.92,9
10,50000,375.5602,219.4291,501.11,-6837.29736328125,509.75,10
11,55000,386.4376,252.4583,452.79,-7353.26123046875,501.85,11
12,60000,376.6655,234.4751,526.93,-7313.49755859375,606.76,12
13,65000,369.5624,252.4702,554.46,-7170.091796875,552.27,13
14,70000,380.507,265.3103,543.91,-7965.64501953125,516.01,14
15,75000,354.469,224.5864,455.01,-7491.98828125,582.22,15
16,80000,365.3233,229.9969,721.23,-8066.22998046875,606.33,16
17,85000,342.5074,220.6495,626.54,-8159.31982421875,700.48,17
18,90000,359.6416,234.4573,517.88,-8704.0908203125,687.66,18
19,95000,346.2247,225.8968,472.82,-8842.2861328125,639.27,19
20,100000,349.7976,239.7149,619.58,-9079.0869140625,666.84,20
21,105000,344.1518,222.4775,626.39,-8411.22265625,676.4,21
22,110000,351.965,232.8533,568.32,-8883.353515625,682.49,22
23,115000,338.6073,217.9003,786.82,-8716.6513671875,770.95,23
24,120000,344.7575,225.2148,556.24,-9044.1767578125,848.8,24
25,125000,334.7458,211.898,625.03,-8738.7177734375,799.23,25
26,130000,337.7541,215.8768,715.7,-9007.173828125,716.22,26
27,135000,348.7269,232.7305,651.73,-9360.4541015625,619.64,27
28,140000,341.3338,212.2473,710.52,-9696.84375,811.01,28
29,145000,339.367,225.8855,817.01,-9808.005859375,834.29,29
30,150000,332.516,206.7802,769.56,-9175.978515625,1213.51,30
31,155000,336.6179,205.0647,1070.71,-9454.44140625,1224.27,31
32,160000,329.9873,209.4056,881.34,-10031.2158203125,1035.77,32
33,165000,330.0034,192.4469,1025.02,-8866.17578125,955.44,33
34,170000,335.9223,216.5664,860.85,-9675.375,940.97,34
35,175000,339.5542,198.1902,1104.89,-9562.48828125,1023.96,35
36,180000,335.8913,209.7337,976.04,-9496.5,1140.67,36
37,185000,302.4398,170.1774,1443.66,-8829.6494140625,1576.71,37
38,190000,307.9523,176.3763,2522.63,-8778.31640625,1901.98,38
39,195000,307.3584,167.367,1326.52,-8392.48828125,1395.19,39
40,200000,282.6872,133.2913,1562.59,-7440.34033203125,2490.22,40
41,205000,310.3689,186.3433,1285.82,-9900.251953125,1813.74,41
42,210000,273.2999,116.1532,1283.95,-6516.58251953125,2016.57,42
43,215000,271.2403,115.3194,1481.74,-6907.619140625,2849.5,43
44,220000,273.316,142.2084,2207.2,-7753.50537109375,2209.61,44
45,225000,281.0266,167.2545,1483.74,-9223.71875,1901.72,45
46,230000,299.6417,188.7543,1407.22,-9807.75,1812.69,46
47,235000,297.0932,175.7774,1489.32,-8874.7080078125,1602.86,47
48,240000,293.3857,179.1581,1712.45,-9199.6533203125,2195.46,48
49,245000,279.757,151.6448,1902.69,-8477.46875,2428.03,49
50,250000,268.7531,132.478,1959.03,-7302.7744140625,2689.26,50
51,255000,271.2339,128.8766,1532.77,-6984.693359375,2665.49,51
52,260000,282.0454,206.6927,1335.73,-9209.8779296875,2637.83,52
53,265000,283.1663,149.511,2753.68,-8749.6845703125,2301.77,53
54,270000,263.1753,115.1025,2150.71,-6196.53076171875,2688.44,54
55,275000,275.2607,139.1426,3521.31,-8141.90185546875,3295.2,55
56,280000,257.4709,104.6928,2481.57,-5413.34619140625,3286.49,56
57,285000,260.5092,129.2949,3536.33,-6525.05029296875,3464.16,57
58,290000,291.7259,200.1931,3120.2,-10290.41796875,2763.09,58
59,295000,256.2107,98.3007,4057.28,-5660.861328125,4235.27,59
60,300000,255.4809,84.7711,3138.13,-4815.69677734375,3688.74,60
61,305000,251.4252,72.1179,3678.19,-4197.74609375,4121.66,61
62,310000,250.9324,78.4193,4998.65,-4165.849609375,4554.51,62
63,315000,259.4386,83.1956,3680.57,-4426.27734375,4287.38,63
64,320000,244.5881,82.6732,1992.67,-5364.5712890625,3622.76,64
65,325000,247.9179,82.6082,5088.74,-4474.4755859375,4790.4,65
66,330000,252.336,82.0061,2203.85,-4556.21240234375,4048.12,66
67,335000,255.8212,96.7678,4807.27,-6004.740234375,4179.18,67
68,340000,255.1732,78.2779,4554.41,-3439.915771484375,5007.99,68
69,345000,259.3421,104.1803,4567.68,-6517.1142578125,4385.57,69
70,350000,262.8757,103.5438,4133.06,-6400.888671875,4433.43,70
71,355000,255.784,75.4844,5082.3,-4482.740234375,5003.1,71
72,360000,262.5864,87.7728,3496.35,-5824.57373046875,4818.57,72
73,365000,252.0986,70.0085,4720.35,-4112.3037109375,4794.95,73
74,370000,256.4721,72.2122,5132.84,-4197.93701171875,4819.53,74
75,375000,258.4716,81.3311,4819.19,-5037.142578125,4528.47,75
76,380000,255.3561,74.949,2373.59,-5644.0517578125,4630.54,76
77,385000,261.5878,73.1963,5101.63,-4726.91357421875,5005.14,77
78,390000,255.0084,68.7763,5073.04,-4569.57421875,4985.21,78
79,395000,257.3543,65.07,2748.18,-4614.56201171875,4584.55,79
80,400000,253.2545,63.0165,5000.9,-4643.5126953125,5003.13,80
81,405000,257.2253,64.3819,4902.16,-4971.5068359375,4740.53,81
82,410000,254.4826,67.9728,4234.06,-4873.0205078125,4712.51,82
83,415000,255.4782,60.2567,4818.4,-5153.37890625,4952.32,83
84,420000,255.2948,62.5922,4655.49,-5153.685546875,4722.22,84
85,425000,255.9633,66.9919,5021.9,-5263.96435546875,4923.42,85
86,430000,261.2258,67.2521,4778.73,-5421.732421875,4830.89,86
87,435000,268.8291,64.9035,4683.08,-5396.50390625,4539.7,87
