Real Sto Return,Real Det Return,Running Forward KL,Reward Loss,Running Update Time,Running Env Steps,Itration,Running Reverse KL
-146.86,-5.97,158.7446,99.00969696044922,0,0,0,12.2458
-142.2,25.65,158.5738,-110.07781982421875,1,5000,1,12.0574
-35.25,65.92,158.5019,-326.555908203125,2,10000,2,12.3198
109.13,591.77,158.5563,-582.1018676757812,3,15000,3,12.8532
216.79,637.71,158.5881,-869.0782470703125,4,20000,4,13.7081
379.11,788.52,158.4291,-1145.1636962890625,5,25000,5,14.2552
489.27,876.04,158.3457,-1278.4898681640625,6,30000,6,13.9432
667.65,1009.63,158.166,-1552.3602294921875,7,35000,7,14.8431
710.03,1101.9,158.1119,-1711.332275390625,8,40000,8,14.5145
806.19,1265.76,158.3263,-1886.39404296875,9,45000,9,15.2059
826.66,1211.86,157.8522,-2022.6324462890625,10,50000,10,14.8578
963.64,1391.01,157.9609,-2210.176513671875,11,55000,11,15.7007
1032.36,1454.94,157.801,-2459.587158203125,12,60000,12,15.9532
1019.96,1430.84,157.9643,-2576.112060546875,13,65000,13,15.9206
1093.41,1463.72,157.8385,-2790.165771484375,14,70000,14,16.1442
1159.29,1569.75,157.8621,-2957.641845703125,15,75000,15,16.5124
1167.14,1575.41,157.6888,-3153.09375,16,80000,16,16.007
1219.16,1579.82,157.8384,-3390.402099609375,17,85000,17,16.5868
1315.94,1714.19,157.8365,-3565.029052734375,18,90000,18,16.657
1287.52,1695.35,157.8697,-3802.648681640625,19,95000,19,16.3462
1375.77,1782.29,157.591,-4026.845458984375,20,100000,20,16.2413
1388.03,1801.23,157.7221,-4306.1728515625,21,105000,21,16.0674
1414.07,1842.12,157.8183,-4454.46240234375,22,110000,22,16.4005
1429.39,1813.78,157.5995,-4602.85205078125,23,115000,23,16.2638
1485.98,1848.8,157.4226,-4754.35595703125,24,120000,24,16.0298
1495.23,1882.1,157.727,-5030.8408203125,25,125000,25,16.3128
1551.76,1953.9,157.586,-5262.986328125,26,130000,26,16.6897
1550.81,1942.09,157.7023,-5448.404296875,27,135000,27,16.4762
1576.48,1937.44,157.8875,-5607.3447265625,28,140000,28,16.4336
1544.73,1977.51,157.529,-5777.7529296875,29,145000,29,16.4853
1566.55,1948.69,157.707,-6003.39892578125,30,150000,30,16.5973
1571.09,1951.05,157.6139,-6185.0771484375,31,155000,31,16.3156
1658.98,2045.55,157.4177,-6354.7421875,32,160000,32,16.5706
1609.59,1990.76,157.4491,-6544.1796875,33,165000,33,15.9794
