Running Update Time,Running Reverse KL,Itration,Real Sto Return,Reward Loss,Real Det Return,Running Env Steps,Running Forward KL
166,26.5599,166,1010.58,-2508.8837890625,1011.06,830000,37.7593
167,45.3974,167,70.09,-2170.3740234375,69.82,835000,34.1836
168,24.1755,168,84.62,-2488.710693359375,85.42,840000,32.9179
169,21.1219,169,109.65,-1781.69970703125,108.5,845000,28.9969
170,40.7762,170,756.33,-2577.70458984375,878.92,850000,31.8068
171,54.8056,171,431.93,-2650.513671875,433.71,855000,38.5084
172,43.7038,172,82.31,-2705.781005859375,125.23,860000,38.5337
173,77.3778,173,188.2,-3065.740234375,188.25,865000,37.9196
174,51.8041,174,991.2,-2634.494140625,990.99,870000,39.0209
175,35.8396,175,989.39,-2623.91748046875,990.34,875000,37.1205
176,54.0335,176,1002.2,-2626.791259765625,1002.14,880000,38.6274
177,45.994,177,536.25,-2901.04443359375,420.25,885000,33.0411
178,38.4392,178,1038.52,-2781.124755859375,1038.75,890000,36.1346
179,27.2087,179,1019.62,-2746.702880859375,1017.59,895000,36.636
180,33.1554,180,1039.71,-2781.04052734375,1039.21,900000,38.0955
181,24.6941,181,1046.58,-2812.901123046875,1046.13,905000,36.3821
182,24.1142,182,1040.43,-2754.5322265625,1038.68,910000,37.3548
183,24.8856,183,1009.68,-2779.929931640625,1012.56,915000,38.1615
184,29.2398,184,1011.86,-2821.854736328125,1020.21,920000,36.5401
185,42.1713,185,996.69,-2915.71044921875,996.01,925000,36.8184
186,26.5101,186,1007.45,-2837.423095703125,1009.45,930000,37.4554
187,23.0615,187,1010.62,-2783.4677734375,1014.49,935000,36.8452
188,36.8499,188,1043.68,-2945.3232421875,1043.23,940000,36.5106
189,40.8615,189,991.3,-2947.0244140625,999.21,945000,38.0813
190,35.9305,190,5.89,-3198.421875,5.75,950000,36.1535
191,90.1963,191,108.43,-2370.159912109375,109.57,955000,32.7559
192,59.228,192,971.6,-3058.6923828125,971.62,960000,38.7157
193,57.8557,193,987.99,-3032.883544921875,987.83,965000,37.6753
194,35.2002,194,1006.04,-3072.162353515625,1006.29,970000,36.1111
195,34.7489,195,875.07,-3129.29345703125,923.35,975000,36.1561
196,45.5974,196,1017.8,-3146.41064453125,1017.63,980000,36.7964
197,39.1744,197,1026.23,-3127.26416015625,1027.31,985000,37.4362
198,59.2379,198,1019.43,-3062.056396484375,1019.37,990000,36.2572
199,72.776,199,476.22,-2660.9287109375,550.38,995000,33.0817
