Running Env Steps,Real Sto Return,Real Det Return,Running Forward KL,Itration,Running Reverse KL,Running Update Time,Reward Loss
0,-13.11,370.11,74.8435,0,25.3149,0,122.52207946777344
5000,-66.14,296.96,73.9664,1,26.3352,1,16.305198669433594
10000,8.31,391.83,73.4063,2,26.5827,2,-33.69401168823242
15000,-23.86,618.64,71.3732,3,26.5666,3,-121.93170928955078
20000,56.59,679.07,72.5911,4,28.2316,4,-166.95529174804688
25000,59.92,656.07,72.5551,5,28.2796,5,-251.7831573486328
30000,106.01,817.82,71.6624,6,28.2325,6,-311.3446350097656
35000,119.2,751.1,71.973,7,30.0857,7,-385.9682312011719
40000,110.98,864.31,68.7511,8,28.3346,8,-418.05291748046875
45000,134.83,1025.49,71.5568,9,29.6153,9,-505.7772216796875
50000,207.23,944.92,70.1414,10,30.3345,10,-549.8400268554688
55000,248.19,962.71,68.4809,11,29.7783,11,-625.7280883789062
60000,314.78,1021.54,65.1951,12,28.5135,12,-645.3771362304688
65000,260.97,982.3,67.5843,13,30.0868,13,-728.2857055664062
70000,277.33,1082.29,69.1273,14,30.0866,14,-794.4149780273438
75000,256.66,1014.85,68.3072,15,29.5693,15,-871.0291748046875
80000,260.33,757.07,67.679,16,29.7223,16,-921.6430053710938
85000,256.46,825.62,71.3539,17,31.0432,17,-1016.826171875
90000,259.78,751.5,67.0977,18,28.8916,18,-1020.5767211914062
95000,457.17,1072.71,66.5643,19,28.6996,19,-1084.75927734375
100000,289.16,982.61,64.6355,20,28.3019,20,-1121.7982177734375
105000,306.73,977.68,67.1949,21,28.961,21,-1231.4029541015625
110000,360.89,1028.12,65.9154,22,28.5703,22,-1264.0013427734375
115000,304.57,920.43,66.6227,23,28.5269,23,-1317.877685546875
120000,337.83,963.49,66.7436,24,29.1551,24,-1400.9063720703125
125000,331.58,1044.42,65.5827,25,27.9801,25,-1431.3177490234375
130000,344.51,1098.06,67.9483,26,29.1563,26,-1551.4097900390625
135000,364.38,1021.13,68.5328,27,29.3207,27,-1605.750732421875
140000,443.97,1106.86,64.3464,28,26.9116,28,-1560.4520263671875
145000,423.95,1150.74,65.9691,29,27.9768,29,-1677.3941650390625
150000,468.24,917.47,66.1697,30,28.5606,30,-1726.4344482421875
155000,404.06,1143.04,69.3763,31,29.1123,31,-1866.5155029296875
160000,533.12,1123.22,66.7674,32,28.0214,32,-1882.6053466796875
165000,335.02,896.53,65.6938,33,27.907,33,-1925.8837890625
170000,652.72,1279.29,66.0108,34,28.9393,34,-2002.8284912109375
175000,496.1,1117.56,65.9873,35,28.1907,35,-2065.656005859375
180000,833.56,1697.03,63.6974,36,27.6158,36,-1970.2650146484375
185000,758.45,1232.59,64.918,37,27.4996,37,-2078.1513671875
190000,649.08,1136.39,66.5463,38,27.6923,38,-2243.394775390625
195000,1271.32,1674.96,62.8525,39,28.4747,39,-2055.767333984375
200000,640.67,1348.92,66.1282,40,27.3382,40,-2384.293212890625
205000,1024.1,1645.57,62.1836,41,27.3959,41,-2175.88720703125
210000,897.04,2228.86,63.5269,42,27.3725,42,-2295.615966796875
215000,808.02,1475.08,61.9151,43,25.6696,43,-2283.25634765625
220000,1256.72,2219.78,63.7223,44,32.4209,44,-2049.13818359375
225000,890.84,1339.57,63.1559,45,28.3932,45,-2290.119140625
230000,1677.71,2037.99,62.4488,46,27.4481,46,-2358.756103515625
235000,1604.36,2358.07,62.9412,47,29.7307,47,-2364.412109375
240000,1059.2,1904.36,61.7796,48,28.8968,48,-2408.378662109375
245000,1184.67,1909.31,64.6804,49,28.1385,49,-2731.7001953125
250000,1190.03,1322.96,63.8898,50,29.3371,50,-2542.576904296875
255000,1150.66,1263.94,64.2447,51,34.2222,51,-2143.76611328125
260000,1735.1,1817.87,65.96,52,37.7026,52,-2414.106201171875
265000,2404.77,2285.84,67.7746,53,43.5166,53,-2012.177978515625
270000,1173.89,1629.19,65.415,54,31.5392,54,-2500.55859375
275000,1578.58,1430.9,66.1421,55,29.7811,55,-2760.1953125
280000,1892.22,2190.9,65.3648,56,33.4393,56,-2514.767333984375
285000,1365.04,1095.4,66.1247,57,34.0207,57,-2553.6337890625
290000,1123.86,2403.96,64.7208,58,35.2568,58,-2430.92529296875
295000,1332.36,1639.2,66.6642,59,29.7786,59,-3191.262939453125
300000,1732.92,1776.98,65.8079,60,34.3243,60,-2666.147216796875
305000,1334.32,1315.44,66.4865,61,35.7665,61,-2767.39013671875
310000,1128.13,1378.76,67.5085,62,38.3333,62,-2913.67578125
315000,2474.67,2591.73,67.3963,63,37.439,63,-2927.629150390625
