Running Reverse KL,Real Sto Return,Itration,Running Update Time,Reward Loss,Running Forward KL,Real Det Return,Running Env Steps
18.1437,324.79,0,0,-149.48423767089844,31.8636,332.43,0
19.5923,306.08,1,1,-226.38485717773438,30.3795,308.09,5000
19.4961,192.83,2,2,-327.1741638183594,30.6967,176.26,10000
49.2355,244.63,3,3,-365.41595458984375,31.0711,255.12,15000
108.2351,3.86,4,4,19.94269561767578,38.7332,3.54,20000
24.5093,275.64,5,5,-457.8684997558594,31.2001,351.56,25000
34.4555,1007.1,6,6,-656.1898803710938,37.8865,1007.78,30000
43.6907,275.49,7,7,-430.1039123535156,32.9402,245.94,35000
28.7759,330.03,8,8,-480.26519775390625,29.7238,314.19,40000
17.0206,353.2,9,9,-376.09814453125,28.8784,351.87,45000
19.0529,619.51,10,10,-578.8524169921875,30.982,368.75,50000
31.6306,983.62,11,11,-735.8564453125,37.3966,986.38,55000
33.554,778.0,12,12,-725.267333984375,31.6585,663.42,60000
18.1579,1068.75,13,13,-838.0137939453125,35.265,1025.99,65000
101.9994,7.54,14,14,-437.96221923828125,38.1758,7.34,70000
33.1277,991.36,15,15,-896.4610595703125,39.0159,990.92,75000
14.9963,360.85,16,16,-134.1822509765625,30.463,364.67,80000
14.8144,408.5,17,17,-339.42034912109375,28.7313,371.04,85000
35.547,1036.8,18,18,-1013.9912109375,37.7393,1037.85,90000
58.1226,345.82,19,19,-669.83447265625,29.6372,362.64,95000
57.7339,322.8,20,20,-815.4102783203125,32.4274,322.8,100000
39.1035,983.7,21,21,-1135.8900146484375,36.326,1019.51,105000
37.1145,295.93,22,22,-923.13232421875,31.4887,313.17,110000
31.2638,309.68,23,23,-1263.2769775390625,31.1142,336.18,115000
20.7816,927.83,24,24,-1093.4031982421875,31.0595,968.0,120000
17.7783,491.7,25,25,-448.85107421875,29.7523,425.09,125000
20.5257,329.61,26,26,-499.65509033203125,30.3478,318.9,130000
33.2561,238.86,27,27,-1059.5592041015625,30.6071,295.57,135000
26.1027,1028.84,28,28,-1479.2857666015625,34.5471,1028.63,140000
22.7254,283.61,29,29,-1388.6817626953125,30.3908,277.89,145000
40.7814,574.02,30,30,-1402.4691162109375,33.4018,502.15,150000
24.6731,1084.37,31,31,-1500.18310546875,34.0127,1062.11,155000
33.5336,979.51,32,32,-1618.3179931640625,32.7786,1048.42,160000
21.5286,1026.72,33,33,-1619.838623046875,34.1027,1044.22,165000
26.5973,1012.67,34,34,-1513.585693359375,32.0398,1108.81,170000
35.2003,1008.1,35,35,-1807.19677734375,38.3452,1005.58,175000
39.2508,1011.17,36,36,-1854.136474609375,38.2726,1011.39,180000
40.568,981.22,37,37,-1890.516845703125,38.753,991.26,185000
34.5471,1027.96,38,38,-1955.834716796875,36.3059,1027.85,190000
33.7232,1027.46,39,39,-1993.2529296875,36.9355,1024.8,195000
32.0586,98.95,40,40,-1928.64697265625,33.4144,99.66,200000
44.5284,1002.87,41,41,-2156.3515625,39.2427,1002.86,205000
54.4186,1007.25,42,42,-2231.124267578125,38.2631,1007.12,210000
64.1554,263.4,43,43,-1466.86279296875,30.5557,240.0,215000
37.6888,1028.19,44,44,-2286.922119140625,35.1157,1026.94,220000
31.4639,1034.23,45,45,-2190.861083984375,36.0032,1033.19,225000
45.5858,984.22,46,46,-2382.53076171875,38.0982,984.94,230000
34.2853,83.23,47,47,-2341.130615234375,34.5989,83.28,235000
32.9866,1013.99,48,48,-2351.681396484375,36.9566,1012.97,240000
39.5987,994.32,49,49,-2528.6923828125,37.5504,995.42,245000
82.4155,480.91,50,50,-1427.1658935546875,33.6662,452.38,250000
32.8049,1057.1,51,51,-2546.204345703125,37.0122,1056.11,255000
38.708,1038.5,52,52,-2600.5341796875,38.6508,1039.41,260000
39.3147,1007.4,53,53,-2737.08154296875,38.2643,1007.48,265000
41.4575,538.14,54,54,-1479.077880859375,35.279,369.23,270000
39.7145,1000.57,55,55,-2903.86962890625,38.6238,998.75,275000
49.5024,995.53,56,56,-2920.19970703125,39.0869,995.33,280000
74.3639,486.94,57,57,-1990.552001953125,30.8624,738.19,285000
38.4996,636.02,58,58,-2973.763427734375,38.0947,312.48,290000
65.8408,121.98,59,59,-1333.0015869140625,31.5728,128.04,295000
38.3622,1051.8,60,60,-2996.360595703125,37.8861,1051.73,300000
33.9721,1030.05,61,61,-3119.49755859375,37.7507,1031.92,305000
35.8975,141.98,62,62,-3104.358642578125,36.2701,141.37,310000
41.65,1015.46,63,63,-3237.65185546875,37.2303,1015.42,315000
59.2114,993.71,64,64,-3344.674560546875,39.1113,993.63,320000
45.9172,1023.83,65,65,-3393.849609375,37.7655,1024.2,325000
46.3787,1052.46,66,66,-3340.845458984375,39.151,1052.61,330000
38.8805,587.31,67,67,-3068.01904296875,34.6536,594.1,335000
42.6247,1017.49,68,68,-3514.287841796875,38.1076,1017.42,340000
37.8753,1022.81,69,69,-3633.80224609375,37.3582,1023.07,345000
35.9721,996.13,70,70,-3676.62158203125,38.8272,995.26,350000
43.1713,1006.18,71,71,-3679.90869140625,38.09,1005.61,355000
37.3395,1007.18,72,72,-3725.67578125,37.1574,1006.76,360000
49.0919,999.83,73,73,-3911.039794921875,38.7775,999.87,365000
37.748,1018.13,74,74,-3902.4599609375,38.1462,1016.38,370000
43.0393,1009.17,75,75,-3809.657958984375,37.5973,1035.81,375000
50.148,987.96,76,76,-4002.353515625,37.6844,987.88,380000
36.7896,1002.74,77,77,-4099.62255859375,36.3175,1002.85,385000
27.6194,761.15,78,78,-3561.671630859375,34.0755,822.19,390000
