Running Reverse KL,Real Sto Return,Itration,Running Forward KL,Real Det Return
269.0065,332.1,0,424.6157,317.61
246.6184,335.85,1,435.364,378.85
242.7597,340.39,2,418.9034,301.61
271.4999,351.73,3,416.6068,323.92
254.187,400.33,4,403.3632,467.91
286.3586,411.88,5,405.4576,427.62
304.4303,416.65,6,409.9549,434.46
322.6492,437.25,7,399.817,438.1
274.0446,491.75,8,387.4516,482.71
266.0911,450.09,9,394.2538,385.28
276.2128,523.8,10,378.5057,529.49
308.6184,477.56,11,384.8032,507.06
303.0777,479.73,12,370.5187,523.13
293.7576,524.92,13,363.6483,547.76
285.0552,510.72,14,372.1566,570.17
279.0383,560.01,15,362.5662,572.07
273.5324,555.52,16,366.7331,549.45
278.9542,527.44,17,357.5084,589.58
259.2052,591.07,18,348.5051,581.02
266.1839,489.89,19,373.3144,555.65
243.644,573.15,20,357.8843,565.83
226.7326,680.57,21,350.4145,653.88
246.4987,624.21,22,339.6832,580.62
252.9074,658.47,23,344.9618,721.24
238.8602,664.65,24,329.9255,744.7
250.6525,686.24,25,347.2179,751.3
290.4766,744.93,26,339.3245,847.37
273.4331,777.03,27,340.4025,734.24
294.9298,790.35,28,324.7563,800.95
255.4968,936.1,29,325.3192,808.34
283.6002,761.9,30,334.3297,673.03
296.8197,955.39,31,335.0016,1016.27
251.1939,943.32,32,340.3207,977.81
247.741,1004.45,33,325.9199,505.57
287.8971,955.45,34,332.0222,843.48
208.6077,1545.63,35,309.3207,787.66
262.7159,1253.27,36,311.9878,952.08
284.9291,1172.44,37,318.5392,921.31
287.6977,1118.71,38,321.5281,1381.81
245.1389,1245.98,39,332.2665,861.76
197.748,1925.47,40,311.049,1077.8
236.7983,1380.66,41,301.2582,791.11
211.3677,2039.67,42,299.194,2298.29
193.4922,2549.1,43,286.6073,1874.97
186.4722,2739.47,44,283.9005,1609.95
131.2731,2868.39,45,279.1073,1612.61
183.4766,1839.52,46,289.2285,1310.38
147.4455,1950.11,47,290.1998,945.68
162.8592,2352.88,48,281.4039,1593.82
187.1997,2264.24,49,290.1985,615.88
207.942,1975.31,50,305.4947,1359.81
228.9948,1778.73,51,315.7555,493.81
236.8601,1876.72,52,293.844,1328.43
181.4127,2010.22,53,303.0843,1537.6
137.132,3564.33,54,272.4497,2217.08
86.8774,3683.09,55,262.168,3293.62
154.479,3244.69,56,275.6054,1969.86
100.0916,3652.71,57,263.698,2906.1
139.2027,2801.67,58,269.8813,2662.85
104.0924,2991.37,59,260.4244,1320.95
239.384,2137.01,60,286.6591,581.41
166.0472,3220.81,61,291.0188,555.42
196.7936,2406.47,62,276.853,559.4
263.3524,2181.36,63,298.8403,530.98
79.5627,4234.64,64,261.5439,2699.0
177.9856,2597.06,65,296.3032,2063.66
246.6167,1539.47,66,297.2233,1389.8
185.1462,2420.09,67,281.7789,2022.79
207.5694,2383.55,68,279.7571,958.38
130.6368,3167.81,69,263.2708,1684.63
111.2583,4505.53,70,259.2466,1758.32
72.4291,3734.12,71,254.3078,1544.17
139.0538,2774.66,72,273.0418,1516.73
139.8618,3612.49,73,276.6054,1133.95
57.7071,4027.21,74,254.5823,3357.93
93.7972,3668.75,75,245.1727,1651.42
86.8358,4390.23,76,250.8387,1643.86
90.1495,3812.0,77,257.2672,2670.3
110.978,4423.26,78,246.1874,1714.17
141.825,3868.13,79,254.7425,1908.89
68.284,4680.1,80,244.2633,4616.21
57.3885,2680.36,81,245.8318,4716.51
83.0392,3916.85,82,244.4562,1884.07
72.5106,4343.71,83,244.0295,4866.76
66.8696,4032.69,84,243.2688,3929.49
51.1349,4353.1,85,235.2699,4506.12
68.0697,3632.58,86,250.986,4526.71
93.5109,4489.31,87,254.5116,3920.2
79.7517,4749.42,88,249.9018,3921.95
80.5924,4559.61,89,260.8028,4628.86
71.8723,4226.82,90,251.488,2687.0
48.9048,4837.37,91,238.1249,4710.08
58.3805,4858.92,92,243.561,4823.77
55.9766,4831.2,93,237.3437,4970.01
49.2908,4306.5,94,238.2915,4868.64
64.0017,4735.16,95,256.4086,3000.02
97.2738,4880.54,96,251.7755,4712.61
69.5832,4354.24,97,252.9175,4652.31
101.4481,3908.19,98,276.3619,3728.62
70.4606,4797.11,99,258.6235,4546.69
70.235,4110.18,100,254.9593,4758.1
55.9902,4894.35,101,244.4198,5253.87
61.0602,5091.28,102,250.3262,4863.3
70.567,4850.02,103,255.199,3919.71
78.985,3787.11,104,251.3357,3226.88
49.4833,4933.25,105,245.4879,5158.59
68.4859,5032.09,106,253.4507,5180.22
74.1323,3515.13,107,260.6265,5070.94
83.2495,5063.94,108,256.0183,5130.37
69.5368,5063.52,109,257.6541,5231.71
68.8916,4820.1,110,258.1178,4361.61
76.9072,4572.12,111,256.2612,4781.85
86.0203,4362.22,112,251.9821,2218.02
74.9515,3375.3,113,259.8033,4664.78
75.6923,3743.19,114,259.2584,5065.27
90.4657,4676.94,115,255.9369,5284.5
127.8685,3518.66,116,266.8202,5205.09
68.1984,5152.05,117,241.4512,5280.53
