Reward Loss,Running Update Time,Running Reverse KL,Running Env Steps,Itration,Running Forward KL,Real Sto Return,Real Det Return
4120.03466796875,0,279.7508,0,0,439.157,269.23,271.96
3768.350341796875,1,377.8165,5000,1,468.113,286.46,266.14
3550.205810546875,2,294.5026,10000,2,453.0095,327.78,338.7
3250.649658203125,3,256.543,15000,3,410.4422,406.78,388.46
3254.227783203125,4,261.5017,20000,4,418.5036,388.28,264.21
2837.18115234375,5,281.6524,25000,5,417.7126,387.17,356.27
2153.20458984375,6,324.2981,30000,6,434.0626,376.18,363.15
2240.015869140625,7,263.7457,35000,7,411.1582,433.01,606.29
2270.579833984375,8,261.1042,40000,8,412.096,431.49,370.37
1428.8785400390625,9,288.1033,45000,9,416.0053,412.24,430.13
1584.511474609375,10,267.836,50000,10,401.4599,424.97,515.93
999.5182495117188,11,323.3835,55000,11,421.5605,433.85,381.64
815.695068359375,12,305.0444,60000,12,394.8061,470.76,402.8
699.1861572265625,13,305.2428,65000,13,412.3849,449.82,440.92
297.0838928222656,14,286.2087,70000,14,412.0594,477.31,448.58
-40.43006896972656,15,272.5038,75000,15,404.6681,455.25,470.97
-194.67062377929688,16,266.3855,80000,16,388.7233,480.52,508.95
-455.2181701660156,17,269.9744,85000,17,414.0187,446.82,440.06
-1017.6820678710938,18,350.3552,90000,18,383.355,521.01,529.99
-588.2466430664062,19,303.7787,95000,19,380.8107,489.37,538.13
-580.5651245117188,20,264.7028,100000,20,379.9764,569.03,570.91
-814.9379272460938,21,248.1768,105000,21,376.4295,621.18,543.85
-1672.8040771484375,22,256.0561,110000,22,383.964,575.85,501.62
-1956.924560546875,23,250.536,115000,23,380.6193,694.94,537.27
-1964.5360107421875,24,246.0648,120000,24,369.1691,692.35,550.78
-2760.3916015625,25,244.0867,125000,25,362.8614,711.26,657.17
-2799.082763671875,26,252.606,130000,26,369.9103,679.52,756.34
-2473.114013671875,27,283.5125,135000,27,364.8639,723.75,853.07
-3065.09375,28,255.9103,140000,28,367.2215,799.99,762.83
-3144.38916015625,29,268.9136,145000,29,359.0185,779.42,931.7
-4225.70849609375,30,283.446,150000,30,357.2205,687.68,845.78
-3764.36376953125,31,277.0335,155000,31,371.773,646.45,653.06
-3620.249267578125,32,232.3586,160000,32,348.9331,914.95,949.5
-3639.210205078125,33,222.7943,165000,33,363.5567,900.76,741.39
-5249.79736328125,34,265.6213,170000,34,381.3685,777.54,565.58
-4881.8701171875,35,257.2996,175000,35,368.8122,741.42,624.06
-5305.1484375,36,277.9522,180000,36,384.1266,595.96,516.15
