Real Det Return,Real Sto Return,Itration,Running Reverse KL,Running Update Time,Reward Loss,Running Forward KL,Running Env Steps
205.73,202.06,0,20.6268,0,300.0478210449219,33.7843,0
244.35,255.68,1,26.2334,1,310.4210510253906,31.6716,5000
214.75,199.46,2,21.7199,2,339.7332458496094,31.6107,10000
245.85,273.25,3,39.6895,3,443.31439208984375,31.3314,15000
281.08,284.23,4,24.6078,4,313.73602294921875,30.8436,20000
352.88,340.45,5,48.3622,5,299.4153137207031,29.2235,25000
401.11,387.53,6,118.8515,6,490.3970031738281,26.3935,30000
310.56,332.92,7,26.5688,7,40.0970344543457,26.9155,35000
594.59,605.51,8,130.0716,8,385.9522399902344,24.798,40000
639.99,617.63,9,108.6045,9,313.76666259765625,26.3642,45000
807.21,805.44,10,116.9963,10,146.96934509277344,26.1214,50000
796.35,721.46,11,17.3257,11,-26.399797439575195,23.8281,55000
3065.06,2191.22,12,53.9483,12,-44.207645416259766,24.1109,60000
915.2,895.71,13,34.3935,13,-118.61133575439453,24.935,65000
3089.64,2488.94,14,22.8505,14,-104.11226654052734,24.6427,70000
1561.51,1199.87,15,50.6921,15,-201.98670959472656,25.2596,75000
1638.88,1064.2,16,61.613,16,-267.9554748535156,25.5967,80000
1775.88,1295.1,17,41.986,17,-304.6563720703125,25.1732,85000
1459.62,1320.2,18,59.1937,18,-336.7630920410156,24.9465,90000
1944.36,1649.8,19,45.9455,19,-333.3913879394531,24.8854,95000
2799.08,1905.21,20,47.5473,20,-293.75390625,24.6292,100000
1714.57,1763.72,21,56.214,21,-328.1507568359375,25.321,105000
3099.25,2213.19,22,25.841,22,-243.8334197998047,24.0262,110000
2759.05,2840.31,23,15.0947,23,-177.5802764892578,24.8181,115000
3048.14,2195.4,24,42.2746,24,-252.08273315429688,24.4248,120000
3105.13,2271.97,25,44.2772,25,-331.8988037109375,24.3943,125000
3136.87,3002.57,26,15.4046,26,-141.319580078125,23.9845,130000
2743.7,2057.32,27,83.4426,27,-528.9924926757812,24.6284,135000
3075.73,2223.75,28,42.4013,28,-457.0769348144531,24.4397,140000
1614.22,2011.75,29,35.1531,29,-588.2008666992188,24.457,145000
3207.81,2692.4,30,35.2595,30,-409.2983093261719,23.7738,150000
3155.0,2576.21,31,38.4111,31,-409.9593505859375,23.8751,155000
3170.99,2274.58,32,46.5273,32,-595.2735595703125,24.3218,160000
3069.04,3050.43,33,13.721,33,-199.75502014160156,23.1408,165000
3141.96,2068.25,34,37.8444,34,-591.0113525390625,23.9439,170000
3110.3,2846.7,35,29.9123,35,-426.2955017089844,23.2262,175000
3169.89,2531.77,36,31.1591,36,-465.8140869140625,23.5524,180000
3159.02,2383.2,37,25.096,37,-500.8642578125,23.4711,185000
3076.23,1763.3,38,40.4301,38,-736.2496337890625,23.9232,190000
3162.25,1873.59,39,43.3095,39,-844.9114990234375,23.85,195000
3187.02,1484.35,40,70.8947,40,-988.6929931640625,24.417,200000
3185.76,2282.09,41,34.5704,41,-547.6753540039062,23.1642,205000
3184.75,2468.12,42,28.1423,42,-564.8641357421875,22.9783,210000
3195.42,1578.01,43,52.0729,43,-913.1616821289062,23.9058,215000
3196.08,2174.78,44,30.4053,44,-725.3995971679688,23.7882,220000
3162.33,2594.52,45,40.8705,45,-721.4939575195312,23.0783,225000
3137.32,2475.13,46,25.5064,46,-536.4466552734375,22.8247,230000
3196.33,2419.89,47,17.2368,47,-377.7294921875,22.408,235000
3160.36,2659.2,48,48.7669,48,-839.1300048828125,22.8243,240000
3171.4,2192.41,49,35.2116,49,-733.403564453125,22.4816,245000
3141.21,2810.69,50,26.4682,50,-629.0375366210938,23.0249,250000
3155.06,2795.51,51,44.3962,51,-932.2235107421875,23.4343,255000
3158.12,2424.1,52,37.6568,52,-780.8539428710938,23.2724,260000
3187.42,2903.09,53,16.1058,53,-456.7648010253906,22.3738,265000
3191.04,2898.04,54,20.739,54,-693.9891967773438,22.6361,270000
3186.31,2344.68,55,42.6132,55,-1080.0831298828125,23.0111,275000
3062.5,3051.33,56,30.4963,56,-668.8264770507812,22.6321,280000
3169.09,2681.17,57,20.5825,57,-766.2711181640625,22.765,285000
3172.13,2629.82,58,23.7985,58,-675.9129028320312,22.3535,290000
3158.73,2704.04,59,15.8446,59,-591.9879150390625,22.3371,295000
3176.3,2678.23,60,17.8998,60,-691.3591918945312,22.3629,300000
3166.38,2507.57,61,25.9814,61,-1112.1619873046875,23.1183,305000
3170.78,2951.45,62,17.3467,62,-712.9780883789062,22.2416,310000
3131.33,2747.56,63,15.4707,63,-576.02392578125,22.3511,315000
3183.76,1867.85,64,26.5851,64,-1218.4981689453125,23.3393,320000
3200.62,2618.78,65,12.7736,65,-513.3701171875,21.8725,325000
3150.1,2508.85,66,16.2713,66,-748.6353149414062,21.9505,330000
3149.44,2973.18,67,26.3867,67,-762.477783203125,21.8183,335000
3165.73,2713.96,68,11.726,68,-518.5962524414062,20.8523,340000
3144.12,2564.56,69,21.4987,69,-785.0801391601562,22.5717,345000
3157.32,3162.59,70,16.4424,70,-599.4296264648438,21.4652,350000
3146.61,3086.85,71,16.4255,71,-777.93212890625,21.7914,355000
3185.88,3197.4,72,13.4002,72,-591.8583984375,21.1315,360000
3154.34,2553.81,73,21.698,73,-900.7972412109375,21.9815,365000
3193.4,2892.14,74,12.4055,74,-581.9610595703125,21.8596,370000
3184.21,3098.36,75,12.1051,75,-476.5773010253906,20.5534,375000
3155.86,3157.42,76,12.4317,76,-531.9389038085938,21.3985,380000
3204.0,3210.05,77,12.7351,77,-490.3395080566406,21.0904,385000
3201.04,2839.36,78,18.9967,78,-894.3222045898438,21.4123,390000
3212.51,3129.35,79,12.5473,79,-510.60333251953125,20.8885,395000
3218.58,2897.91,80,12.2762,80,-521.495849609375,20.7464,400000
3236.43,3239.56,81,13.051,81,-556.3164672851562,21.1345,405000
3219.21,3039.01,82,12.4263,82,-548.6654052734375,20.5964,410000
3228.63,2915.1,83,14.8942,83,-694.4077758789062,21.2321,415000
3232.12,3232.89,84,12.7036,84,-551.7696533203125,20.7887,420000
3232.16,3234.75,85,12.2617,85,-563.2161865234375,20.393,425000
3244.06,3245.53,86,12.6324,86,-522.8643798828125,20.5944,430000
3243.37,3239.13,87,12.1496,87,-561.8705444335938,19.6933,435000
3270.74,3272.38,88,11.4695,88,-495.6961975097656,19.2955,440000
3224.41,3234.45,89,12.6647,89,-568.6327514648438,20.5137,445000
3254.33,3252.26,90,12.2204,90,-486.6524963378906,19.4372,450000
3238.49,3236.57,91,11.9503,91,-520.974365234375,19.4129,455000
3238.88,3233.15,92,11.8179,92,-550.7936401367188,19.5768,460000
3246.63,3244.57,93,12.0108,93,-613.6768798828125,19.8272,465000
3231.99,3231.56,94,13.1345,94,-604.5813598632812,20.4771,470000
3266.08,3268.63,95,12.1051,95,-505.17352294921875,19.353,475000
3275.78,3274.39,96,12.3848,96,-587.2344970703125,19.8011,480000
3279.35,3227.68,97,12.2589,97,-566.1473999023438,19.9184,485000
3265.26,3272.55,98,12.4524,98,-563.1048583984375,19.8919,490000
3272.06,3273.36,99,12.3664,99,-587.190673828125,19.4674,495000
3285.01,3290.36,100,11.8026,100,-531.373779296875,18.3649,500000
3299.95,3298.5,101,11.5171,101,-502.9635009765625,18.7051,505000
3316.61,3322.65,102,11.726,102,-474.93463134765625,19.1069,510000
3354.64,3350.05,103,11.7422,103,-473.694091796875,18.5652,515000
3317.14,3311.39,104,11.82,104,-553.1724853515625,19.0692,520000
3315.55,3299.83,105,11.4694,105,-534.7457275390625,18.5119,525000
3298.24,3290.96,106,12.1685,106,-593.6434936523438,19.7532,530000
3365.05,3336.72,107,11.6628,107,-508.3707580566406,19.1042,535000
3346.89,3343.87,108,11.7265,108,-470.1919250488281,18.5759,540000
3331.45,3230.81,109,12.2142,109,-601.9850463867188,19.164,545000
3317.55,3253.66,110,11.118,110,-595.5595703125,19.0728,550000
3341.97,3329.91,111,10.8555,111,-494.1336975097656,18.2688,555000
3362.78,2953.6,112,11.0359,112,-535.9620361328125,18.5873,560000
3331.87,2956.69,113,10.536,113,-660.0449829101562,19.179,565000
3313.42,3313.72,114,11.2544,114,-631.4232788085938,18.5117,570000
3356.67,3180.71,115,10.8059,115,-510.0986022949219,18.1451,575000
3352.51,3327.13,116,11.0896,116,-546.8959350585938,18.2568,580000
3367.4,3297.7,117,11.4565,117,-601.4882202148438,18.4979,585000
3341.99,3330.24,118,10.3382,118,-575.5866088867188,17.8981,590000
3394.06,3154.69,119,10.0163,119,-480.26251220703125,16.9798,595000
3371.61,3252.81,120,18.9819,120,-843.3229370117188,18.3414,600000
3348.39,3339.59,121,10.8614,121,-562.0393676757812,18.0133,605000
3375.58,3357.47,122,11.25,122,-622.8818969726562,18.2888,610000
3386.51,3381.45,123,10.5698,123,-473.1591491699219,17.5507,615000
3352.66,3345.88,124,11.0839,124,-593.0418701171875,18.1607,620000
3372.0,3362.8,125,11.2813,125,-534.4595336914062,17.7368,625000
3368.29,3370.14,126,11.8817,126,-613.8267211914062,18.462,630000
3359.22,3349.59,127,11.4907,127,-598.6495971679688,18.6739,635000
3373.84,3382.36,128,11.971,128,-609.3243408203125,17.7473,640000
3357.21,3334.65,129,10.9569,129,-663.6941528320312,18.0066,645000
3367.02,3169.97,130,11.0349,130,-630.7300415039062,18.2035,650000
3349.97,3158.16,131,10.8855,131,-642.6510009765625,18.5181,655000
3352.64,3257.49,132,11.1365,132,-683.268798828125,17.7241,660000
3412.54,3104.03,133,10.2316,133,-557.1487426757812,17.4771,665000
3374.15,3273.76,134,9.6014,134,-700.311279296875,17.5796,670000
3361.66,3338.88,135,11.4276,135,-720.2406005859375,18.3008,675000
3384.25,3334.71,136,10.3854,136,-617.6760864257812,17.3411,680000
3377.91,3356.53,137,10.6628,137,-609.5709228515625,17.3854,685000
3362.23,3085.69,138,10.473,138,-649.818115234375,17.9293,690000
3346.32,3154.87,139,10.5744,139,-676.3650512695312,18.0895,695000
