Running Forward KL,Real Sto Return,Real Det Return,Itration,Running Env Steps,Reward Loss,Running Reverse KL,Running Update Time
31.6028,329.73,337.68,0,0,-18.359378814697266,21.4378,0
32.0792,289.4,277.3,1,5000,-148.28414916992188,28.5062,1
31.9991,284.18,274.69,2,10000,-213.72593688964844,28.813,2
31.6179,302.06,299.4,3,15000,-262.1704406738281,26.9873,3
31.0211,309.85,315.73,4,20000,-262.2661437988281,25.9614,4
31.5814,322.85,324.95,5,25000,-345.437255859375,28.4766,5
31.525,325.08,327.51,6,30000,-394.47711181640625,27.7185,6
31.2521,335.19,341.42,7,35000,-445.51953125,26.9953,7
30.4077,342.7,347.69,8,40000,-487.9631652832031,25.0084,8
26.4892,423.18,450.18,9,45000,-496.55914306640625,23.3615,9
27.1811,427.06,440.12,10,50000,-392.2056579589844,18.3034,10
26.2549,569.22,146.82,11,55000,-495.7973327636719,18.9283,11
27.2518,575.93,581.99,12,60000,-581.3460083007812,21.0583,12
25.6239,1953.36,2258.11,13,65000,-318.7307434082031,14.4073,13
26.7594,671.79,473.37,14,70000,-393.08990478515625,15.309,14
24.9395,2353.62,2706.09,15,75000,-273.9155578613281,14.3383,15
24.4843,1050.73,1032.53,16,80000,-287.10577392578125,12.6994,16
24.5774,936.22,1132.71,17,85000,-597.025634765625,14.4607,17
22.6249,1831.29,3005.26,18,90000,-140.16790771484375,14.2611,18
23.8036,1711.31,1944.32,19,95000,-608.99853515625,15.4033,19
23.5149,2216.59,1899.73,20,100000,-451.9819641113281,14.6639,20
22.4345,1869.66,2907.71,21,105000,-484.4957275390625,13.3567,21
23.4069,1219.59,1270.41,22,110000,-698.3718872070312,14.8023,22
22.9664,1600.8,1815.58,23,115000,-671.8651123046875,13.5067,23
22.7544,2341.25,3158.64,24,120000,-457.1941223144531,13.3903,24
23.149,1455.65,1837.2,25,125000,-716.8212890625,13.5624,25
23.0762,1575.63,2556.18,26,130000,-665.6165161132812,13.9106,26
22.4293,1798.08,2227.07,27,135000,-707.4677124023438,13.8788,27
22.4976,2337.63,2945.0,28,140000,-518.1024780273438,12.9375,28
23.0343,2243.44,3103.26,29,145000,-612.3836059570312,13.8748,29
22.6024,1939.1,3050.54,30,150000,-434.2217712402344,12.0703,30
23.1662,1943.21,2900.34,31,155000,-474.5874328613281,13.1403,31
23.0155,2186.44,3147.95,32,160000,-443.3293151855469,12.8169,32
21.7399,2691.27,3030.88,33,165000,-432.1824951171875,12.2379,33
23.3043,1436.71,1913.8,34,170000,-651.6649780273438,16.791,34
24.4439,1318.1,2770.72,35,175000,-658.029541015625,19.7432,35
22.5638,2889.67,3200.69,36,180000,-416.37213134765625,13.5094,36
21.8921,2136.01,3042.1,37,185000,-448.6296691894531,11.7035,37
22.7158,2066.8,3072.66,38,190000,-474.52276611328125,13.3225,38
23.248,1601.92,1823.39,39,195000,-318.10980224609375,14.0144,39
22.0698,3025.75,3099.14,40,200000,-475.1123352050781,13.7768,40
21.8664,3020.27,3130.33,41,205000,-478.159423828125,13.9999,41
23.0089,2400.64,3161.29,42,210000,-685.8311767578125,16.657,42
23.5413,1685.6,3208.9,43,215000,-784.7061157226562,18.8396,43
21.3882,3128.89,3104.19,44,220000,-548.849365234375,13.5071,44
21.0445,2916.99,3147.75,45,225000,-561.2620239257812,16.2035,45
22.4839,1799.09,3158.6,46,230000,-694.3685302734375,19.8943,46
21.2853,3090.0,3124.2,47,235000,-575.403076171875,13.7374,47
21.3717,3133.47,3155.35,48,240000,-584.69677734375,14.6784,48
21.2858,3182.46,3142.97,49,245000,-586.1851196289062,13.9676,49
21.7343,3017.51,3138.56,50,250000,-709.7374267578125,14.2507,50
21.4221,3230.09,3215.38,51,255000,-510.8974304199219,14.1942,51
21.7133,2313.71,3231.41,52,260000,-603.4887084960938,17.5067,52
22.1586,3130.59,3141.8,53,265000,-661.43017578125,14.5672,53
21.3283,2903.32,3216.16,54,270000,-535.9558715820312,14.2108,54
21.7103,3153.46,3271.53,55,275000,-473.7405090332031,14.1197,55
21.3561,3134.85,3172.64,56,280000,-652.087890625,13.719,56
20.9968,2978.65,3156.56,57,285000,-618.8888549804688,12.7453,57
20.1713,3082.19,3217.97,58,290000,-509.1988830566406,13.261,58
21.2694,3265.06,3275.46,59,295000,-574.3016357421875,14.1735,59
20.7467,2815.32,3297.24,60,300000,-306.8722839355469,14.1665,60
20.3101,3282.79,3277.87,61,305000,-537.7008056640625,12.8857,61
20.6736,2941.95,3297.64,62,310000,-542.91748046875,13.167,62
20.0048,3258.65,3273.3,63,315000,-579.6166381835938,13.2104,63
20.1228,3100.37,3328.75,64,320000,-478.4960632324219,14.2845,64
19.425,3110.73,3356.16,65,325000,-494.3812255859375,12.9536,65
19.2056,3346.17,3362.84,66,330000,-436.4501647949219,12.773,66
19.7526,2902.19,3284.15,67,335000,-630.8628540039062,11.9401,67
19.3956,3150.69,3338.09,68,340000,-538.1559448242188,12.7413,68
19.0086,3257.4,3350.62,69,345000,-507.9600830078125,12.5143,69
19.9286,3109.11,3354.41,70,350000,-557.797119140625,13.3102,70
19.4821,3286.46,3341.97,71,355000,-537.3654174804688,12.978,71
19.4784,3294.27,3363.66,72,360000,-552.8070068359375,12.7313,72
19.4143,3030.85,3330.7,73,365000,-556.9127197265625,12.1475,73
18.7644,3324.66,3356.36,74,370000,-592.9447631835938,12.059,74
19.194,3259.95,3372.53,75,375000,-532.812744140625,12.612,75
19.5167,3023.81,3314.78,76,380000,-672.8189697265625,12.4591,76
19.4146,3149.83,3346.69,77,385000,-608.6534423828125,14.2542,77
18.7213,3325.3,3351.92,78,390000,-572.384033203125,11.501,78
