Reward Loss,Running Update Time,Real Det Return,Itration,Running Reverse KL,Real Sto Return,Running Env Steps,Running Forward KL
47.94289016723633,0,159.14,0,25.5935,-47.68,0,74.6204
30.943254470825195,1,368.95,1,25.5948,-32.69,5000,74.1701
25.981067657470703,2,253.93,2,25.551,-36.94,10000,73.4839
12.694927215576172,3,383.48,3,26.9501,-1.98,15000,73.3454
2.9467008113861084,4,497.53,4,26.7227,1.65,20000,72.8541
-9.244717597961426,5,563.5,5,28.9262,8.23,25000,74.4439
-15.329431533813477,6,615.85,6,29.17,56.89,30000,73.4849
-26.482303619384766,7,717.39,7,29.4932,45.05,35000,73.521
-38.43153381347656,8,743.69,8,30.1298,91.21,40000,73.1588
-50.04903793334961,9,707.88,9,30.2281,155.17,45000,72.4298
-58.382747650146484,10,618.38,10,30.9256,97.46,50000,72.3777
-71.98930358886719,11,613.33,11,30.9734,112.13,55000,74.3906
-81.98517608642578,12,627.8,12,31.2734,165.33,60000,71.2724
-95.88825988769531,13,733.11,13,32.0135,172.65,65000,72.0882
-111.9884033203125,14,699.5,14,30.0136,142.95,70000,71.4759
-121.2945556640625,15,822.21,15,30.3573,174.82,75000,71.7474
-132.1817626953125,16,639.49,16,29.384,153.02,80000,70.5583
-147.62429809570312,17,803.6,17,30.2626,141.02,85000,71.2952
-165.244873046875,18,751.72,18,30.8247,148.94,90000,73.4538
-169.46185302734375,19,823.56,19,30.4615,246.13,95000,70.7581
-178.7107391357422,20,919.88,20,29.7396,207.64,100000,69.843
-201.400634765625,21,823.71,21,30.7514,193.26,105000,71.5775
-208.95506286621094,22,1050.35,22,30.1993,245.82,110000,71.385
-225.2485809326172,23,903.19,23,29.7731,233.65,115000,71.1752
-235.1396942138672,24,719.84,24,30.211,197.19,120000,69.8766
-243.74449157714844,25,837.94,25,28.5764,244.35,125000,68.3873
-259.3127746582031,26,971.09,26,30.0258,232.17,130000,69.7626
-277.5847473144531,27,739.76,27,30.2942,144.56,135000,71.8232
-281.4064636230469,28,775.95,28,29.9586,186.09,140000,70.7588
-300.4150390625,29,870.32,29,30.0087,239.48,145000,70.3054
-304.02191162109375,30,1064.2,30,29.6655,310.99,150000,68.2716
-315.572509765625,31,908.23,31,29.7533,210.78,155000,68.9207
-334.4275207519531,32,1007.64,32,30.4971,264.9,160000,71.2226
-352.7812805175781,33,950.35,33,30.0982,259.72,165000,69.7659
-360.7123107910156,34,844.33,34,29.9142,295.56,170000,70.4614
-369.02227783203125,35,941.65,35,30.3438,270.77,175000,68.7677
-390.0665588378906,36,999.45,36,30.4079,285.96,180000,70.9329
-395.9413757324219,37,879.63,37,29.8375,367.56,185000,67.6573
-411.2921447753906,38,872.66,38,29.7952,151.62,190000,69.6848
-430.7890625,39,715.32,39,30.1082,192.73,195000,69.9363
-445.8342590332031,40,802.8,40,30.1723,220.34,200000,70.8126
-463.6003112792969,41,702.36,41,31.2755,196.35,205000,71.9172
-477.63323974609375,42,918.65,42,30.1007,252.44,210000,70.9209
-497.6871032714844,43,863.6,43,30.2166,238.27,215000,71.787
-505.4541931152344,44,648.82,44,30.2019,227.61,220000,68.2463
-515.97412109375,45,746.46,45,29.8948,210.04,225000,69.6969
-539.2210083007812,46,757.83,46,30.2998,376.33,230000,71.9362
-551.0194091796875,47,964.32,47,30.2572,317.03,235000,71.1069
-561.8763427734375,48,995.56,48,30.6242,244.16,240000,70.5895
-582.011962890625,49,742.54,49,30.3153,230.81,245000,71.1844
-587.2965698242188,50,977.39,50,30.8489,317.56,250000,69.0763
-572.8892822265625,51,1030.41,51,27.0114,322.22,255000,63.5193
