Itration,Running Reverse KL,Reward Loss,Real Det Return,Running Env Steps,Running Forward KL,Running Update Time,Real Sto Return
0,14.4224,156.85569763183594,273.55,0,49.9433,0,373.22
1,17.6335,8.792054176330566,345.29,5000,49.8491,1,304.59
2,13.5471,350.63641357421875,121.49,10000,49.1426,2,139.06
3,21.1068,246.85125732421875,378.68,15000,49.7939,3,347.72
4,45.2071,-120.0573959350586,368.81,20000,49.7428,4,380.33
5,38.6237,-242.72564697265625,371.49,25000,49.5536,5,321.93
6,20.2497,-443.2164001464844,772.82,30000,48.747,6,619.52
7,20.785,-518.6334838867188,449.24,35000,49.1469,7,473.8
8,14.3357,-103.9387435913086,1438.89,40000,48.8158,8,1184.71
9,14.8452,-249.15745544433594,754.99,45000,48.74,9,723.67
10,20.1451,-281.3793029785156,2522.82,50000,48.3356,10,925.65
11,28.7021,-478.83984375,780.61,55000,48.5591,11,963.63
12,15.556,-372.83538818359375,2045.43,60000,48.4591,12,1478.42
13,17.2422,-340.82061767578125,1772.51,65000,47.9929,13,964.96
14,16.4273,-233.7187042236328,2409.59,70000,48.0763,14,2243.38
15,13.9225,-280.8265075683594,1838.31,75000,47.6238,15,1648.05
16,14.7267,-333.6623840332031,2051.9,80000,45.9312,16,1445.97
17,15.7538,-266.8785705566406,1586.51,85000,47.1696,17,2479.43
18,14.0581,-296.2856750488281,3234.55,90000,45.7373,18,1787.71
19,18.2919,-92.14583587646484,3061.67,95000,45.9767,19,3018.49
20,16.3206,-224.44639587402344,3148.12,100000,46.2785,20,2170.14
21,17.8084,-139.8104705810547,3163.64,105000,46.2756,21,2911.94
22,14.5867,-451.0435485839844,1081.87,110000,46.5143,22,1651.46
23,17.0748,-372.86590576171875,3134.21,115000,45.7774,23,2553.82
24,13.1207,-582.2672729492188,1211.47,120000,44.4377,24,1500.45
25,20.3714,-201.98097229003906,3317.68,125000,46.5943,25,3322.53
26,19.0153,-170.0466766357422,3323.44,130000,46.7879,26,3005.21
27,17.5024,-414.4986267089844,3518.89,135000,45.3327,27,3352.85
28,20.5421,-208.7921142578125,3401.21,140000,46.349,28,3464.71
29,20.0129,-288.2147521972656,3451.93,145000,45.4891,29,3493.17
30,20.6964,-361.0718078613281,3508.36,150000,45.6816,30,3650.39
31,18.5803,-326.81610107421875,3858.42,155000,43.3752,31,3817.54
32,18.9115,-351.5180969238281,3683.38,160000,45.386,32,3620.78
33,19.2691,-507.81396484375,3696.84,165000,44.8141,33,3676.45
34,18.8439,-494.0080261230469,3675.39,170000,44.745,34,3637.23
35,17.5954,-451.2516784667969,3767.54,175000,44.8507,35,3686.68
36,17.1947,-588.1065673828125,3435.28,180000,44.1873,36,3548.74
37,17.815,-529.5966186523438,3933.34,185000,43.909,37,3861.94
38,16.1467,-697.9232177734375,3773.12,190000,42.4881,38,3074.95
39,19.2983,-614.354736328125,3600.03,195000,44.397,39,3667.94
40,18.4106,-656.0247802734375,3655.29,200000,44.2363,40,3729.66
41,18.1427,-639.9869384765625,3992.64,205000,42.879,41,3913.61
42,18.8191,-820.0728759765625,3821.28,210000,44.1196,42,3822.56
43,19.099,-691.9017333984375,3774.25,215000,44.4876,43,3771.36
44,16.5899,-806.734619140625,3867.14,220000,43.5076,44,3712.55
45,16.8311,-764.7008666992188,3918.06,225000,42.8528,45,3861.35
46,15.0701,-933.282470703125,3987.35,230000,42.5803,46,3283.2
47,16.401,-913.6293334960938,4010.68,235000,42.4762,47,3866.07
48,16.0178,-890.72607421875,4164.42,240000,42.7003,48,3394.2
49,18.6095,-853.9389038085938,3924.66,245000,43.9918,49,3871.53
50,17.8556,-858.9371337890625,3979.69,250000,43.6599,50,3851.47
51,17.4323,-874.1456298828125,3934.6,255000,43.014,51,3930.46
52,17.4285,-953.6712036132812,4003.94,260000,43.1088,52,3931.99
53,17.3261,-958.157470703125,3944.13,265000,43.3872,53,3929.41
54,16.1905,-1102.198486328125,4017.65,270000,42.029,54,3788.07
55,13.6431,-1087.7919921875,4041.65,275000,42.7025,55,2868.15
56,16.7783,-1058.8782958984375,3938.84,280000,42.0123,56,3746.13
57,13.3903,-1296.36767578125,4053.72,285000,41.8985,57,3633.16
58,16.921,-1193.1866455078125,3974.51,290000,42.3725,58,3409.85
59,15.7127,-1219.1846923828125,3990.58,295000,41.9465,59,3871.98
60,14.5176,-1239.848876953125,4098.93,300000,42.0314,60,3851.26
61,13.8433,-1402.7862548828125,4093.23,305000,42.4045,61,3600.57
62,12.0346,-1385.9307861328125,3876.71,310000,42.2986,62,3699.86
63,15.1901,-1350.253662109375,4043.75,315000,42.9067,63,3432.84
64,15.2406,-1283.3433837890625,3957.1,320000,41.3232,64,3981.99
65,15.1178,-1480.173583984375,3965.37,325000,42.0708,65,3965.58
66,15.6408,-1397.36572265625,3852.39,330000,42.97,66,3880.38
67,14.6956,-1487.293701171875,3973.97,335000,40.9589,67,3903.55
68,13.8108,-1639.3074951171875,3850.81,340000,42.084,68,3549.55
69,16.2666,-1495.8424072265625,4292.11,345000,41.661,69,4043.27
70,15.2286,-1611.32666015625,3932.62,350000,42.8316,70,3705.66
71,16.3553,-1676.188720703125,3563.18,355000,41.54,71,3726.14
72,16.2882,-1514.7064208984375,4146.23,360000,41.4669,72,4127.9
73,15.3845,-1520.7764892578125,3204.36,365000,40.8167,73,3822.58
74,15.2285,-1710.4716796875,4218.15,370000,41.6181,74,3947.43
75,15.6017,-1735.0855712890625,4325.65,375000,40.6735,75,4280.95
76,16.3448,-1676.3997802734375,4254.48,380000,41.3638,76,4244.43
77,14.6541,-1710.8182373046875,4214.41,385000,40.7077,77,4158.45
78,15.887,-1787.3414306640625,4242.98,390000,40.7693,78,3861.9
79,15.7512,-1848.6697998046875,4190.8,395000,41.3454,79,4217.51
80,12.9122,-1824.7938232421875,971.37,400000,42.5737,80,3010.51
81,12.1649,-1819.791748046875,782.89,405000,41.4357,81,1302.01
82,14.5212,-1936.091796875,4231.54,410000,40.1487,82,4123.01
83,14.173,-2019.2147216796875,4198.32,415000,40.5216,83,4139.89
84,13.0925,-1907.3873291015625,4323.49,420000,40.465,84,4085.83
85,15.6312,-2055.7060546875,4331.09,425000,41.3266,85,4312.88
86,15.4459,-1951.0594482421875,4316.76,430000,41.1082,86,4249.25
87,15.3702,-2028.474365234375,4340.22,435000,39.7476,87,4300.28
88,16.0145,-2081.2060546875,4356.17,440000,41.5463,88,4098.19
89,17.1799,-2085.981201171875,4337.92,445000,40.6997,89,3770.73
90,15.0467,-2053.97265625,4359.24,450000,40.1332,90,4312.62
91,14.6602,-2055.741455078125,4586.93,455000,38.6851,91,4407.75
92,14.5011,-2118.609619140625,4464.32,460000,39.1826,92,4258.94
93,14.8599,-2133.801513671875,4323.36,465000,40.4329,93,4063.25
94,16.8312,-2301.009033203125,4352.07,470000,42.0082,94,4225.61
95,15.1191,-2203.03515625,4252.96,475000,40.7671,95,4169.22
96,15.2005,-2444.597412109375,3175.87,480000,40.8087,96,3401.46
97,15.5416,-2170.98681640625,4599.81,485000,39.526,97,4327.85
98,15.154,-2262.580322265625,4320.29,490000,41.2789,98,4285.46
99,14.0123,-2333.054443359375,4314.5,495000,39.3224,99,4234.5
100,14.8928,-2495.007568359375,4471.82,500000,39.8849,100,4197.75
101,14.9203,-2731.423583984375,299.43,505000,41.527,101,1964.3
102,13.9924,-2412.32568359375,4571.57,510000,40.5368,102,4059.7
103,17.5767,-2430.8828125,4453.35,515000,41.6797,103,4200.23
104,14.1466,-2474.5673828125,4433.46,520000,39.4884,104,4299.44
105,15.258,-2529.964111328125,4399.29,525000,39.4163,105,4307.34
106,14.1449,-2418.75244140625,4502.26,530000,38.9934,106,4394.55
107,15.1462,-2791.4521484375,1153.83,535000,40.2542,107,3664.73
108,15.6988,-2922.25439453125,979.68,540000,40.2146,108,4210.96
109,15.7025,-2649.554443359375,4560.55,545000,40.0142,109,4221.61
110,15.252,-2684.106689453125,4599.84,550000,39.7528,110,4379.15
111,15.7004,-2592.038330078125,4438.16,555000,39.9536,111,4395.3
112,14.07,-2657.944091796875,4406.59,560000,39.5523,112,4338.21
113,15.0557,-2575.347900390625,4520.16,565000,39.5571,113,4456.52
114,14.4592,-2652.457275390625,4461.79,570000,39.2077,114,4359.34
115,13.1886,-2648.15380859375,4435.96,575000,38.5981,115,4401.38
116,12.6092,-2858.36083984375,3880.46,580000,39.6852,116,3803.66
117,12.4162,-3107.35205078125,4591.91,585000,39.6421,117,4233.56
118,14.0554,-2756.22021484375,4382.78,590000,39.0163,118,3961.53
119,13.1088,-3010.55517578125,1603.45,595000,39.7532,119,3030.81
120,14.351,-2916.496337890625,4556.43,600000,39.2962,120,4408.18
121,13.6333,-3040.363525390625,4545.64,605000,39.8035,121,4294.85
122,12.9935,-2896.696533203125,4641.87,610000,38.8141,122,3601.43
123,12.9569,-2995.016357421875,4538.28,615000,39.3539,123,4451.57
124,13.6977,-2800.902587890625,4513.77,620000,38.5183,124,4492.27
125,12.5262,-3013.4072265625,4687.44,625000,38.3863,125,3935.41
126,13.5625,-2919.429931640625,4608.64,630000,37.8463,126,4453.75
127,13.3703,-3001.1826171875,4455.45,635000,39.3929,127,4386.87
128,14.1871,-3116.195556640625,4433.7,640000,39.787,128,4415.3
129,14.195,-3193.063720703125,4684.17,645000,38.9625,129,4458.39
130,12.5388,-3077.168701171875,4600.19,650000,38.5333,130,4434.15
131,13.209,-3265.796142578125,3337.06,655000,39.7379,131,3362.06
132,15.0905,-3308.19775390625,4502.1,660000,39.0689,132,4410.36
133,13.4903,-3270.7431640625,4623.39,665000,38.425,133,4530.12
134,13.0056,-3156.693603515625,4639.53,670000,37.7794,134,4170.16
135,12.7321,-3229.579833984375,4686.83,675000,38.0032,135,4533.68
136,13.0351,-3246.412109375,4580.9,680000,38.5391,136,4436.74
137,14.3299,-3486.5791015625,4569.67,685000,39.279,137,4462.74
138,13.3337,-3422.452880859375,4674.82,690000,38.1312,138,4520.54
139,13.2513,-3615.74169921875,4553.73,695000,38.2702,139,4462.67
140,13.711,-3369.68408203125,4675.8,700000,38.256,140,4552.39
141,13.9989,-3476.11376953125,4542.78,705000,38.641,141,4463.87
142,14.8072,-3733.475830078125,4652.53,710000,39.1994,142,4293.88
143,13.1814,-3606.400146484375,4799.83,715000,37.9614,143,4117.56
144,13.9165,-3609.010986328125,4809.59,720000,39.1683,144,4314.13
145,12.6837,-3600.62646484375,4729.22,725000,38.9053,145,3862.0
146,13.7348,-3797.2421875,4608.83,730000,39.2826,146,4296.52
147,13.2302,-3629.079833984375,4576.07,735000,38.4271,147,4509.04
148,14.3365,-3749.21142578125,4598.1,740000,38.4559,148,4540.59
149,13.899,-3977.68408203125,4692.37,745000,39.8612,149,3898.82
150,13.1195,-3710.958740234375,4663.75,750000,38.3667,150,4441.66
151,13.7709,-3831.763916015625,4759.93,755000,38.295,151,4566.2
152,14.4024,-3953.97412109375,4600.39,760000,39.1102,152,4466.5
153,12.9166,-3898.024658203125,4643.16,765000,38.3468,153,4247.15
154,12.9622,-3866.01025390625,4760.99,770000,38.0848,154,4385.61
155,12.6592,-3596.257080078125,4559.55,775000,37.1514,155,4419.93
156,12.6913,-3869.51904296875,4694.03,780000,37.9456,156,4353.73
157,13.2304,-4090.867919921875,4630.88,785000,38.5136,157,4413.86
158,13.8593,-4225.140625,4449.64,790000,40.1933,158,4109.17
159,12.7509,-3983.40478515625,4681.75,795000,37.422,159,4556.52
160,14.0077,-4272.52978515625,4761.55,800000,38.4379,160,4145.93
161,12.9038,-4057.6181640625,4651.41,805000,37.1648,161,4501.48
162,13.149,-4182.68017578125,4831.09,810000,37.4605,162,4469.03
163,11.2165,-3768.374755859375,4677.31,815000,38.8579,163,4004.72
164,11.6338,-4138.91015625,3942.03,820000,40.4148,164,3309.99
165,13.7743,-4254.93701171875,4807.96,825000,37.9369,165,4324.32
166,13.634,-4302.2333984375,4673.27,830000,38.1155,166,4539.31
167,14.821,-4462.482421875,4720.11,835000,38.6009,167,4399.81
168,13.7582,-4557.85888671875,4711.96,840000,38.6157,168,4537.13
169,14.8199,-4501.14697265625,4775.71,845000,37.758,169,4629.02
170,11.8818,-4558.6240234375,4653.83,850000,38.2816,170,4540.39
171,13.9991,-4459.564453125,4786.86,855000,36.8318,171,4497.72
