Real Sto Return,Running Reverse KL,Running Update Time,Real Det Return,Running Forward KL,Running Env Steps
16.84,12.8967,0,14.38,102.1801,0
700.1,25.3569,9600,1004.75,102.7657,100000
944.03,16.8296,19600,997.11,104.5972,200000
810.46,17.1801,29600,1000.63,104.6154,300000
