Real Sto Return,Running Reverse KL,Real Det Return,Running Forward KL,Itration,Reward Loss,Running Env Steps,Running Update Time
-196.77,11.6782,-9.68,158.5892,0,-290.8099365234375,0,0
-113.9,11.2765,67.64,158.1927,1,-356.7823791503906,5000,1
95.37,12.0492,792.22,158.1657,2,-454.9096374511719,10000,2
339.95,13.2685,1006.64,158.1624,3,-591.1790161132812,15000,3
480.61,13.5722,1007.82,157.7289,4,-633.355712890625,20000,4
633.21,13.7273,876.32,157.8138,5,-695.3798828125,25000,5
710.83,14.6538,751.32,157.8099,6,-716.3856811523438,30000,6
892.49,14.9319,943.31,157.902,7,-783.1083984375,35000,7
937.71,15.45,1151.56,158.0071,8,-826.4617919921875,40000,8
1007.74,15.8428,1289.67,157.8628,9,-849.2967529296875,45000,9
1121.31,16.6346,1516.03,157.8497,10,-902.1961059570312,50000,10
1142.67,16.6087,1555.79,157.9583,11,-944.9379272460938,55000,11
1103.12,16.2061,1530.62,157.9332,12,-953.8321533203125,60000,12
1208.17,16.5885,1601.0,157.706,13,-1019.6234130859375,65000,13
1234.37,16.3101,1653.45,157.7633,14,-1062.2181396484375,70000,14
1306.0,16.4877,1732.13,157.8629,15,-1101.9208984375,75000,15
1243.91,16.2396,1751.78,157.7344,16,-1128.8714599609375,80000,16
1355.46,16.1314,1740.67,157.7305,17,-1164.3121337890625,85000,17
1343.9,16.3149,1808.24,157.6318,18,-1204.19189453125,90000,18
1433.11,16.1594,1838.73,157.8288,19,-1228.631103515625,95000,19
1429.24,16.293,1796.0,157.8184,20,-1254.759765625,100000,20
1461.94,15.9278,1868.71,157.654,21,-1317.880126953125,105000,21
1487.77,16.4703,1847.2,157.9107,22,-1324.930419921875,110000,22
1490.75,16.0977,1892.21,157.5171,23,-1383.02734375,115000,23
1557.95,16.5601,1866.01,157.6465,24,-1405.2763671875,120000,24
1532.87,16.0559,1862.65,157.6609,25,-1437.23291015625,125000,25
1553.37,16.4906,1881.34,157.5753,26,-1454.422607421875,130000,26
1544.89,16.3676,1876.04,157.6717,27,-1514.2073974609375,135000,27
1600.47,16.0803,1928.05,157.4069,28,-1549.8160400390625,140000,28
1589.35,16.0358,1905.23,157.4262,29,-1579.8204345703125,145000,29
1604.82,16.5971,1936.83,157.4389,30,-1603.300537109375,150000,30
1641.77,16.7151,2007.62,157.1739,31,-1666.3331298828125,155000,31
1624.99,16.1857,1927.63,157.5366,32,-1687.8839111328125,160000,32
1649.44,16.502,1963.62,157.3871,33,-1754.06396484375,165000,33
1662.06,16.2164,2018.62,157.1244,34,-1786.5389404296875,170000,34
1604.03,16.0203,1958.83,157.4872,35,-1837.93359375,175000,35
1629.61,15.9156,1990.32,157.2428,36,-1869.1060791015625,180000,36
1685.25,16.309,2017.46,157.4187,37,-1891.3201904296875,185000,37
1666.66,16.2477,2025.5,157.2068,38,-1946.7989501953125,190000,38
1654.03,15.9386,2023.98,157.2892,39,-1992.7879638671875,195000,39
1650.9,16.1259,1975.93,157.4084,40,-2005.67431640625,200000,40
1707.37,16.3027,2044.28,157.2357,41,-2063.662353515625,205000,41
1698.31,16.0953,2049.04,156.9945,42,-2097.0810546875,210000,42
1688.07,16.2597,2038.25,157.1521,43,-2126.078125,215000,43
1686.82,16.0241,2028.32,157.1678,44,-2179.19921875,220000,44
1690.61,16.5472,2059.58,157.3199,45,-2220.022216796875,225000,45
1726.54,16.0124,2090.5,157.0671,46,-2258.685546875,230000,46
1719.88,16.0441,2075.57,157.1874,47,-2291.399169921875,235000,47
1709.61,16.5238,2067.71,157.1951,48,-2386.0,240000,48
1703.73,15.7853,2055.31,157.0332,49,-2397.524658203125,245000,49
1761.4,15.9699,2109.61,157.1404,50,-2419.678955078125,250000,50
1737.69,15.9787,2048.17,157.2191,51,-2465.876220703125,255000,51
1684.15,15.7156,2014.38,157.0047,52,-2508.94775390625,260000,52
1704.68,15.9557,2018.66,156.879,53,-2536.982177734375,265000,53
1724.46,16.0507,2078.85,157.0349,54,-2589.134765625,270000,54
1743.85,15.8592,2070.94,156.9363,55,-2640.892578125,275000,55
1723.08,15.8389,2101.31,157.0214,56,-2668.827392578125,280000,56
1704.8,16.0513,1992.74,156.9413,57,-2713.364990234375,285000,57
1767.84,16.2419,2112.93,157.0209,58,-2734.51708984375,290000,58
1752.09,15.9543,2046.77,156.9953,59,-2780.4384765625,295000,59
1730.99,15.9461,2121.5,156.9173,60,-2829.208740234375,300000,60
1792.49,16.078,2134.85,156.8752,61,-2876.03173828125,305000,61
1731.99,16.0183,2098.22,156.9563,62,-2904.7255859375,310000,62
1765.17,15.5932,2090.6,156.7225,63,-2946.215087890625,315000,63
1773.23,16.3444,2145.19,156.8214,64,-3028.448974609375,320000,64
1743.39,15.8435,2084.19,157.107,65,-3037.99658203125,325000,65
1752.45,15.8016,2036.79,156.9962,66,-3068.662841796875,330000,66
1746.91,15.685,2076.27,156.9771,67,-3122.545166015625,335000,67
1744.53,15.634,2068.85,157.0486,68,-3169.82080078125,340000,68
1820.32,16.2413,2176.35,156.8616,69,-3239.577392578125,345000,69
1801.21,15.814,2163.19,156.83,70,-3271.8349609375,350000,70
1765.93,15.6589,2124.4,156.7962,71,-3302.44580078125,355000,71
1726.62,15.4671,2068.88,156.9754,72,-3349.124267578125,360000,72
1803.61,16.3982,2172.31,156.8835,73,-3386.521484375,365000,73
1771.73,15.7336,2090.16,156.8953,74,-3411.111328125,370000,74
1793.08,16.1303,2133.28,157.0547,75,-3483.749267578125,375000,75
1764.39,15.4045,2083.53,156.9102,76,-3512.04736328125,380000,76
1807.76,15.8374,2195.9,156.8298,77,-3596.72802734375,385000,77
1832.96,15.9421,2163.97,156.6584,78,-3613.717041015625,390000,78
1804.4,15.5853,2143.47,156.7432,79,-3652.671630859375,395000,79
1819.85,15.6489,2168.06,156.8636,80,-3718.5615234375,400000,80
1818.42,15.563,2221.8,156.8729,81,-3757.49853515625,405000,81
1766.05,15.3807,2127.05,156.796,82,-3777.029296875,410000,82
1824.57,15.7258,2122.26,156.5645,83,-3841.822509765625,415000,83
1817.15,15.9899,2179.85,156.7588,84,-3882.719482421875,420000,84
1860.26,15.998,2187.55,156.9201,85,-3927.244384765625,425000,85
1843.0,15.8345,2179.17,157.001,86,-3951.745361328125,430000,86
1824.24,15.6934,2176.9,157.0268,87,-4035.77099609375,435000,87
1824.39,15.6963,2182.2,156.8121,88,-4055.498046875,440000,88
1794.64,15.4867,2140.87,156.8195,89,-4102.5576171875,445000,89
1818.85,15.1732,2159.45,156.8085,90,-4152.38134765625,450000,90
1839.3,15.7407,2177.93,156.7396,91,-4203.45703125,455000,91
1771.0,15.5512,2077.84,156.8581,92,-4226.0263671875,460000,92
1884.97,15.939,2240.19,156.7066,93,-4348.9208984375,465000,93
1833.34,15.4897,2185.57,156.8395,94,-4327.2041015625,470000,94
1839.02,15.4611,2216.52,156.6994,95,-4382.9638671875,475000,95
1825.41,15.5849,2196.61,156.6701,96,-4422.21826171875,480000,96
1823.84,15.6254,2152.08,156.7968,97,-4494.35205078125,485000,97
1825.3,15.5168,2157.9,156.7461,98,-4539.40771484375,490000,98
1879.01,15.8809,2223.54,156.8222,99,-4581.36962890625,495000,99
1829.48,15.5861,2123.51,156.9262,100,-4618.318359375,500000,100
1846.68,15.6867,2228.48,156.6513,101,-4698.72021484375,505000,101
1882.04,15.6752,2192.15,156.6931,102,-4714.97265625,510000,102
1874.69,15.8625,2258.19,156.8866,103,-4786.84423828125,515000,103
