Reward Loss,Running Reverse KL,Running Env Steps,Real Det Return,Running Forward KL,Running Update Time,Itration,Real Sto Return
353.17132568359375,21.5253,0,311.85,30.8653,0,0,272.3
220.83538818359375,25.1661,5000,290.87,30.4138,1,1,332.23
174.40823364257812,22.5763,10000,190.51,31.7198,2,2,253.56
194.4831085205078,22.4366,15000,263.93,31.2938,3,3,313.2
150.95957946777344,19.9937,20000,372.48,30.2084,4,4,369.92
419.9309997558594,26.8895,25000,230.8,31.2415,5,5,228.69
20.189558029174805,33.8178,30000,1003.07,39.2427,6,6,1004.57
370.4302978515625,19.9925,35000,238.2,30.5557,7,7,237.33
-52.171478271484375,30.097,40000,259.23,31.1083,8,8,298.29
-229.89418029785156,60.2979,45000,225.54,31.9927,9,9,240.07
-230.82569885253906,64.0116,50000,185.04,33.7402,10,10,169.88
-143.54837036132812,27.4483,55000,310.71,31.5097,11,11,294.55
-135.11834716796875,39.4776,60000,103.09,31.998,12,12,192.67
-225.76954650878906,18.6009,65000,1091.15,33.0194,13,13,1085.35
-219.81838989257812,28.0723,70000,721.12,30.7338,14,14,759.49
-334.9222412109375,25.9117,75000,1068.48,31.2059,15,15,990.14
-261.1108093261719,20.8454,80000,346.17,33.2468,16,16,377.57
-368.46673583984375,18.7706,85000,1679.43,28.8653,17,17,1265.41
-255.84815979003906,29.4686,90000,487.19,30.0863,18,18,448.1
83.29289245605469,33.145,95000,293.25,32.0161,19,19,292.34
-470.722900390625,41.7878,100000,324.83,29.8937,20,20,325.39
-128.40936279296875,30.3854,105000,493.44,28.978,21,21,477.77
-606.1519775390625,42.99,110000,930.41,30.9716,22,22,729.91
-272.550048828125,19.0577,115000,788.32,29.022,23,23,893.12
-413.53826904296875,20.3404,120000,238.81,33.1589,24,24,258.53
-479.65118408203125,18.5813,125000,2134.23,28.4477,25,25,2113.35
-526.9951171875,24.2397,130000,192.52,27.0692,26,26,330.85
-647.2216796875,21.6106,135000,1591.51,31.9544,27,27,1448.12
-815.4037475585938,29.5054,140000,274.3,32.0143,28,28,275.12
-190.03826904296875,18.1837,145000,296.59,30.9476,29,29,302.99
-676.7242431640625,66.5255,150000,236.46,30.0616,30,30,241.27
-552.4092407226562,16.554,155000,1698.53,27.7323,31,31,1083.3
-971.8602905273438,39.1931,160000,528.87,29.3527,32,32,581.32
-1073.803466796875,48.5135,165000,280.04,30.6425,33,33,279.5
-884.7379760742188,119.9677,170000,416.89,31.2191,34,34,425.69
-814.4345092773438,28.0607,175000,309.49,30.2434,35,35,378.96
-1326.4820556640625,51.6325,180000,280.17,31.1936,36,36,291.31
-600.417724609375,18.648,185000,604.05,29.838,37,37,870.13
-1028.2943115234375,20.294,190000,1002.72,28.452,38,38,945.43
-784.276611328125,47.3284,195000,80.58,30.9944,39,39,80.05
-743.3568115234375,17.1533,200000,164.19,29.3484,40,40,286.91
-735.249755859375,16.3757,205000,1616.41,29.914,41,41,1447.01
-1092.0032958984375,23.5295,210000,637.68,29.5028,42,42,660.19
-1575.093505859375,38.787,215000,1012.26,37.4963,43,43,1009.82
-1544.1607666015625,44.0078,220000,218.7,31.0922,44,44,84.16
-1621.841796875,38.7003,225000,1014.25,36.7472,45,45,1013.6
-1647.8319091796875,32.1512,230000,1039.05,34.3704,46,46,1038.14
-1548.944091796875,61.332,235000,332.06,32.9577,47,47,335.29
-1420.41748046875,26.0872,240000,286.53,31.3327,48,48,779.82
-1864.7659912109375,34.7905,245000,1029.95,37.3794,49,49,1028.17
-1924.50634765625,34.8336,250000,1019.77,40.1585,50,50,1021.33
-1963.738525390625,42.8677,255000,999.39,40.5859,51,51,999.05
-2032.214111328125,46.4728,260000,988.12,39.4157,52,52,988.47
-2087.901123046875,55.3908,265000,998.09,39.6339,53,53,998.31
-2145.473388671875,53.9128,270000,1008.92,40.4456,54,54,1009.15
-1395.1290283203125,23.569,275000,1513.62,32.1364,55,55,1398.04
-1770.508056640625,26.9312,280000,370.78,31.8304,56,56,375.82
-2140.410400390625,22.587,285000,869.86,33.7696,57,57,939.06
-1086.2130126953125,20.7783,290000,2016.26,30.1251,58,58,1996.12
-1673.56591796875,27.5997,295000,1285.22,31.5481,59,59,1172.4
-2484.346923828125,50.4682,300000,996.33,39.5962,60,60,996.74
