Running Update Time,Running Env Steps,Reward Loss,Itration,Real Det Return,Running Forward KL,Running Reverse KL,Real Sto Return
0,0,2148.664306640625,0,350.6,49.202,13.9202,338.26
1,5000,1084.054443359375,1,398.33,49.4566,14.7754,371.69
2,10000,1064.9808349609375,2,344.46,50.1202,16.5778,377.86
3,15000,2193.39794921875,3,440.45,50.3253,22.9074,364.78
4,20000,1065.6087646484375,4,438.62,49.4895,19.2936,332.51
5,25000,2106.5771484375,5,340.39,49.338,13.0936,367.23
6,30000,1555.33642578125,6,441.93,48.8359,12.4011,429.67
7,35000,1456.24560546875,7,413.63,48.9506,12.9967,438.86
8,40000,1373.357177734375,8,386.08,49.1082,12.6905,415.8
9,45000,1674.775146484375,9,383.44,49.4365,13.0793,440.36
10,50000,1402.1417236328125,10,437.73,49.1619,13.0186,421.96
11,55000,1440.6024169921875,11,490.28,49.2688,12.9875,449.82
12,60000,1777.6209716796875,12,384.38,49.4564,13.5698,412.51
13,65000,1891.2811279296875,13,414.77,49.3339,15.1152,411.28
14,70000,1711.225830078125,14,588.02,48.9072,14.64,476.84
15,75000,1640.989013671875,15,652.52,49.0092,13.0345,544.14
16,80000,1731.3021240234375,16,527.59,48.2434,13.4415,476.57
17,85000,1868.599365234375,17,521.1,48.7467,13.6418,506.59
18,90000,1566.9312744140625,18,501.75,48.9477,14.5293,485.84
19,95000,1870.3157958984375,19,513.2,48.94,19.1805,518.25
20,100000,1640.2208251953125,20,564.89,49.0326,14.8686,544.71
21,105000,1380.227294921875,21,545.4,48.9073,14.3905,516.22
22,110000,1117.908935546875,22,480.05,48.7114,13.2989,480.43
23,115000,839.2674560546875,23,630.7,48.1563,13.1948,562.27
24,120000,861.6539916992188,24,550.53,47.5706,13.5159,534.66
25,125000,913.2979125976562,25,580.34,47.8233,14.2828,529.45
26,130000,845.1258544921875,26,581.39,47.6322,13.3285,588.87
27,135000,861.3517456054688,27,623.77,47.9639,14.1068,607.87
28,140000,778.044921875,28,627.01,46.9137,13.629,636.75
29,145000,286.84271240234375,29,707.5,48.0369,15.8465,640.45
30,150000,525.5376586914062,30,700.47,47.8439,13.802,703.0
31,155000,-90.18901062011719,31,682.62,47.8202,20.9415,660.5
32,160000,118.1026382446289,32,991.87,46.5116,24.6569,859.24
33,165000,266.08123779296875,33,806.36,47.103,14.0063,730.05
34,170000,-79.07427978515625,34,768.45,46.7808,17.4192,858.63
35,175000,-64.00726318359375,35,790.31,47.1936,13.8886,843.08
36,180000,-62.09340286254883,36,635.99,47.3039,12.4092,679.23
37,185000,-119.32823181152344,37,687.99,46.2551,16.8222,820.99
38,190000,-178.70794677734375,38,1424.27,46.4617,13.193,1040.88
39,195000,-221.4442596435547,39,944.86,46.316,17.8527,1141.8
40,200000,-393.8216552734375,40,1299.04,46.927,27.3586,907.93
41,205000,-356.6064453125,41,867.12,46.2295,13.7465,1111.3
42,210000,-375.9036865234375,42,2138.81,45.8475,13.6097,1359.62
43,215000,-235.82496643066406,43,2685.22,44.8222,14.7785,2136.92
44,220000,-281.026123046875,44,2413.44,44.5842,15.5652,2106.81
45,225000,-444.18017578125,45,1287.21,44.7135,12.8415,1853.24
46,230000,-530.9158325195312,46,2122.17,45.2839,13.5834,1966.06
47,235000,-404.9415588378906,47,2398.18,44.7844,13.576,2201.77
48,240000,-631.9652709960938,48,2653.45,44.5433,13.6616,2372.88
49,245000,-549.9732055664062,49,2960.24,44.8598,14.7741,2479.98
50,250000,-675.1541137695312,50,1984.37,44.4105,13.0575,2349.78
51,255000,-898.4680786132812,51,1029.81,44.7307,12.7861,1831.46
52,260000,-609.3681030273438,52,2713.07,43.9848,13.4821,2692.82
53,265000,-664.7398071289062,53,3681.65,43.557,14.37,2855.3
54,270000,-827.0466918945312,54,3135.58,43.0144,13.7868,3281.45
55,275000,-765.2303466796875,55,3712.96,43.7439,14.829,3116.43
56,280000,-686.4404907226562,56,3015.87,43.6427,15.0284,3036.94
57,285000,-856.1109008789062,57,3363.46,43.815,13.652,3416.04
58,290000,-775.1300659179688,58,3797.72,42.9116,16.7544,3608.34
59,295000,-777.5296020507812,59,4028.21,43.5635,16.5768,3858.94
60,300000,-690.3071899414062,60,3960.16,43.1347,17.9927,3848.0
61,305000,-676.8157348632812,61,4122.06,42.8001,19.2816,3988.36
62,310000,-806.504150390625,62,3885.94,42.9511,16.3861,3741.19
63,315000,-811.147216796875,63,3578.27,43.7296,16.9504,3658.96
64,320000,-809.7008056640625,64,3769.76,43.6206,17.6302,3866.63
65,325000,-697.9614868164062,65,4051.11,43.1166,19.7365,4013.79
66,330000,-953.4483032226562,66,3675.85,43.3986,18.0018,3787.32
67,335000,-837.5686645507812,67,3959.54,43.2048,18.9951,3968.77
68,340000,-952.93798828125,68,4111.32,42.8738,16.5343,4045.33
69,345000,-920.1819458007812,69,4276.83,42.5469,18.8443,4138.86
70,350000,-873.025146484375,70,4140.05,42.396,17.5151,3926.05
71,355000,-969.9707641601562,71,4187.19,42.7906,19.4643,4051.61
72,360000,-816.0317993164062,72,4333.13,42.8501,18.9369,4208.28
73,365000,-971.8049926757812,73,4110.86,42.821,18.1322,3848.12
74,370000,-972.801025390625,74,4161.02,42.9997,19.7307,3921.49
75,375000,-894.6992797851562,75,4289.89,42.1953,17.1656,4084.07
76,380000,-970.2139282226562,76,4286.54,43.3468,19.1329,3861.5
77,385000,-1071.8428955078125,77,4383.26,42.4705,17.652,4148.86
78,390000,-1037.652587890625,78,4352.2,41.8921,16.5272,4252.85
79,395000,-1063.7349853515625,79,4240.68,41.6718,16.2905,4135.13
80,400000,-959.88818359375,80,4274.35,42.7378,18.5423,3863.47
81,405000,-997.0309448242188,81,4408.24,42.8627,20.4043,4339.36
82,410000,-1069.0096435546875,82,4405.58,42.558,16.9345,4181.54
83,415000,-1015.4563598632812,83,4457.21,43.0044,19.3978,4220.49
84,420000,-1119.543701171875,84,4388.55,42.5873,19.045,3930.49
85,425000,-1059.9410400390625,85,4404.38,41.2432,17.7548,4142.32
86,430000,-1011.3858032226562,86,4533.04,42.5991,19.2648,4098.58
87,435000,-966.88525390625,87,4321.57,40.9982,16.9035,4026.3
88,440000,-1186.5408935546875,88,4519.47,42.3993,18.7285,4269.01
89,445000,-1097.945068359375,89,4511.05,42.4776,17.979,4482.5
90,450000,-1089.93994140625,90,4437.55,40.3691,15.9533,4161.81
91,455000,-999.967529296875,91,4455.54,41.0883,16.3894,4341.81
92,460000,-1193.7340087890625,92,4367.68,41.8077,17.1244,4208.89
93,465000,-1064.6383056640625,93,4554.08,40.652,16.2164,4394.74
94,470000,-988.5882568359375,94,4661.68,41.1077,18.7235,4570.56
95,475000,-962.6275634765625,95,4673.56,42.3973,20.0422,4557.52
96,480000,-1066.7412109375,96,4577.92,42.1151,19.8617,4552.14
97,485000,-1013.3983154296875,97,4714.8,42.9751,19.3386,4475.4
98,490000,-1253.03125,98,4571.91,41.3323,17.0054,4497.6
99,495000,-1190.6265869140625,99,4615.59,41.034,18.037,4507.43
100,500000,-1216.301513671875,100,4631.07,41.3629,17.0442,4499.39
101,505000,-1157.2977294921875,101,4634.23,42.6544,18.326,4270.93
102,510000,-1165.5428466796875,102,4658.51,42.4382,18.8982,4598.23
103,515000,-1491.0762939453125,103,4712.35,42.239,14.5337,4230.44
104,520000,-1411.4476318359375,104,4442.2,41.9007,17.1586,4446.11
105,525000,-1200.5687255859375,105,4722.68,41.3116,17.5061,4499.93
106,530000,-1224.687255859375,106,4718.01,41.7259,18.217,4575.7
107,535000,-1305.349609375,107,4654.46,42.7205,18.7623,4603.53
108,540000,-1452.4500732421875,108,4672.91,42.1254,16.5395,4640.22
109,545000,-1278.9627685546875,109,4672.32,41.2619,16.7901,4574.74
110,550000,-1308.5118408203125,110,4663.17,41.9306,16.8412,4361.97
111,555000,-1313.9927978515625,111,4614.75,41.9898,17.1555,4608.17
112,560000,-1451.048828125,112,4676.43,41.1367,18.1306,4535.46
113,565000,-1368.16259765625,113,4662.62,41.199,17.689,4559.8
114,570000,-1430.0797119140625,114,4652.8,42.1818,18.7808,4614.31
115,575000,-1404.9951171875,115,4550.38,41.3497,17.1234,4498.69
116,580000,-1600.8780517578125,116,4591.71,41.8016,17.4251,4494.51
117,585000,-1594.6649169921875,117,4733.48,41.2995,16.3638,4350.42
118,590000,-1637.367919921875,118,4664.84,41.5268,16.6116,4043.21
119,595000,-1588.61474609375,119,4629.66,40.9119,16.7331,4572.41
120,600000,-1810.3443603515625,120,4649.85,41.3351,14.9845,4059.22
121,605000,-1624.3365478515625,121,4715.44,41.3939,17.4431,4479.87
122,610000,-1586.82421875,122,4656.91,42.1042,17.4914,4509.67
123,615000,-1657.0023193359375,123,4682.17,41.4086,18.1857,4433.47
