Real Sto Return,Running Update Time,Running Env Steps,Itration,Running Reverse KL,Reward Loss,Running Forward KL,Real Det Return
-116.86,0,0,0,28.0147,-0.4382133483886719,76.2746,341.65
-44.27,1,5000,1,26.8426,-9.004600524902344,73.5809,343.92
-21.74,2,10000,2,30.4189,-31.136587142944336,73.8282,381.85
-20.36,3,15000,3,29.385,-38.812557220458984,73.2196,503.36
1.75,4,20000,4,31.6154,-55.12959671020508,73.1644,740.38
68.08,5,25000,5,29.6133,-72.98097229003906,72.3678,683.26
62.45,6,30000,6,30.3885,-81.2626953125,72.3126,732.92
76.89,7,35000,7,31.0308,-93.48595428466797,73.0664,695.01
142.68,8,40000,8,31.3238,-107.6509017944336,73.8402,700.05
87.61,9,45000,9,29.9914,-114.97193145751953,69.2609,468.0
177.45,10,50000,10,31.6824,-139.20431518554688,73.4367,453.23
139.31,11,55000,11,31.1627,-146.41696166992188,72.7452,675.17
141.96,12,60000,12,31.2635,-164.03170776367188,72.3832,652.2
156.32,13,65000,13,30.1626,-164.4232177734375,71.0876,714.26
195.1,14,70000,14,30.4725,-178.22552490234375,70.3283,734.11
262.92,15,75000,15,27.3779,-171.16033935546875,64.2451,775.61
135.72,16,80000,16,28.6158,-197.7385711669922,66.3989,870.08
122.83,17,85000,17,29.8404,-214.73533630371094,69.387,491.69
185.56,18,90000,18,29.6401,-230.9104461669922,69.6073,793.67
276.23,19,95000,19,27.6063,-227.65353393554688,64.0066,688.5
201.02,20,100000,20,28.1841,-247.37008666992188,65.6959,849.08
332.79,21,105000,21,27.6469,-252.06419372558594,64.0582,1122.8
192.64,22,110000,22,29.6067,-278.9423522949219,67.9107,901.05
368.49,23,115000,23,27.8049,-282.0123291015625,66.115,840.55
306.3,24,120000,24,27.3255,-287.3028259277344,64.5223,745.16
229.36,25,125000,25,28.4839,-312.3668518066406,65.3837,786.65
272.87,26,130000,26,28.0414,-322.6683654785156,66.6129,715.05
372.67,27,135000,27,28.883,-343.1222229003906,66.1536,1192.01
685.56,28,140000,28,26.4988,-327.7002868652344,60.6886,1992.49
417.76,29,145000,29,27.0966,-351.5512390136719,62.3537,1268.44
415.35,30,150000,30,25.6534,-347.6137390136719,61.1194,1146.57
530.23,31,155000,31,26.3472,-369.087646484375,61.0715,1457.68
493.69,32,160000,32,26.7789,-388.47052001953125,62.4445,1005.55
456.27,33,165000,33,26.3073,-378.31842041015625,60.1628,1341.61
494.54,34,170000,34,25.1324,-399.96234130859375,61.2789,972.02
587.89,35,175000,35,23.3185,-366.432373046875,56.5648,1574.41
701.73,36,180000,36,23.6118,-361.13818359375,54.4839,1942.15
737.61,37,185000,37,23.1551,-408.5482482910156,56.3107,1167.07
1208.42,38,190000,38,23.0125,-333.2669372558594,51.8098,2266.57
654.57,39,195000,39,24.2298,-447.70623779296875,59.3358,1413.81
1025.37,40,200000,40,21.6435,-349.60662841796875,52.2716,1571.17
824.94,41,205000,41,22.0549,-365.5610656738281,54.8791,1610.87
1012.42,42,210000,42,22.3618,-394.62713623046875,55.1602,1711.62
1623.02,43,215000,43,23.5854,-373.36669921875,53.5419,2717.09
2094.11,44,220000,44,34.1913,-271.8592224121094,54.556,2520.93
2256.86,45,225000,45,23.6397,-307.8766174316406,49.8893,3124.18
1876.64,46,230000,46,23.3042,-426.52313232421875,56.231,2352.38
1301.65,47,235000,47,21.0986,-415.2788391113281,53.2121,2220.0
1331.95,48,240000,48,22.8759,-477.1829833984375,56.1975,1797.92
1802.08,49,245000,49,23.6455,-371.90216064453125,53.7098,2915.88
1528.9,50,250000,50,21.3737,-405.5498352050781,51.9792,2583.49
