Real Sto Return,Running Forward KL,Running Update Time,Running Reverse KL,Real Det Return,Reward Loss,Running Env Steps,Itration
-53.55,73.4489,0,25.9632,440.64,50.59932327270508,0,0
-93.85,75.5268,1,26.6818,523.25,6.89394474029541,5000,1
-82.39,74.0373,2,26.8099,334.81,-43.89211654663086,10000,2
-11.27,70.9743,3,26.8143,366.18,-106.75948333740234,15000,3
61.99,72.2017,4,28.0179,618.53,-145.598388671875,20000,4
41.08,71.4504,5,27.2597,686.39,-191.64398193359375,25000,5
107.42,71.5415,6,28.2382,602.37,-230.27981567382812,30000,6
101.84,70.6892,7,28.8313,686.12,-302.3364562988281,35000,7
165.66,69.4785,8,28.3347,703.12,-352.13751220703125,40000,8
159.37,69.058,9,28.172,662.08,-400.9150085449219,45000,9
141.37,69.4908,10,28.5099,657.79,-470.9567565917969,50000,10
237.67,66.027,11,27.6417,871.57,-521.081298828125,55000,11
194.78,69.0589,12,28.5127,798.65,-572.535400390625,60000,12
311.2,68.861,13,28.8397,775.67,-632.3209838867188,65000,13
234.29,68.104,14,28.1197,838.52,-665.800537109375,70000,14
581.71,64.7087,15,27.0079,1255.0,-709.7063598632812,75000,15
254.12,64.4632,16,26.6089,1068.39,-742.0323486328125,80000,16
282.65,67.0852,17,27.9348,1092.55,-839.266357421875,85000,17
419.41,68.9955,18,29.1321,1041.63,-906.01708984375,90000,18
328.39,67.517,19,28.1392,945.89,-956.8069458007812,95000,19
299.52,65.7779,20,27.6343,993.36,-998.2420043945312,100000,20
452.54,62.4421,21,25.7933,1141.68,-1006.2188110351562,105000,21
500.19,63.2099,22,26.2594,1185.01,-1094.5771484375,110000,22
455.35,65.7734,23,28.1915,1118.52,-1168.1201171875,115000,23
471.9,62.9124,24,25.7041,1095.01,-1203.5714111328125,120000,24
454.13,63.001,25,25.9608,1381.37,-1234.6673583984375,125000,25
433.34,63.5803,26,25.8129,1002.82,-1309.565185546875,130000,26
593.94,60.7242,27,24.4637,1392.05,-1262.535888671875,135000,27
536.45,63.6395,28,25.7002,1156.94,-1395.1981201171875,140000,28
434.13,62.026,29,24.5178,1085.37,-1422.3763427734375,145000,29
