Running Reverse KL,Real Sto Return,Running Env Steps,Real Det Return,Reward Loss,Running Update Time,Running Forward KL,Itration
21.1331,203.26,0,208.52,-253.74513244628906,0,38.7584,0
19.1189,223.05,5000,225.89,-305.5481262207031,1,38.5294,1
15.2072,268.07,10000,268.91,-279.434814453125,2,37.2004,2
15.7679,296.9,15000,292.01,-253.6523895263672,3,37.4791,3
22.1817,287.7,20000,269.69,-325.5735778808594,4,36.6745,4
15.4507,302.34,25000,299.75,-282.3536376953125,5,36.2235,5
21.1966,321.01,30000,326.39,-301.4836120605469,6,35.8894,6
34.7062,403.82,35000,444.88,-291.0624084472656,7,33.7352,7
47.6633,434.29,40000,390.65,-285.1793518066406,8,33.5758,8
18.4289,515.39,45000,532.85,-320.86346435546875,9,33.3339,9
17.6871,360.57,50000,534.12,-373.0402526855469,10,35.4876,10
30.4725,471.26,55000,467.89,-326.60546875,11,34.3199,11
24.3432,569.55,60000,556.54,-339.7378234863281,12,33.6302,12
25.6364,769.87,65000,752.41,-334.250732421875,13,32.7214,13
25.4971,782.44,70000,728.47,-340.14837646484375,14,33.1991,14
39.8122,911.78,75000,935.55,-319.09136962890625,15,33.0749,15
31.7066,838.61,80000,823.75,-346.9070739746094,16,32.6906,16
43.1395,950.26,85000,997.58,-338.50836181640625,17,32.2151,17
47.0491,1247.64,90000,1221.91,-319.2537536621094,18,31.2904,18
57.5109,961.47,95000,981.9,-371.1483154296875,19,30.8193,19
20.4305,1697.93,100000,2225.47,-292.1388244628906,20,31.457,20
23.3569,785.97,105000,24.62,-346.6040344238281,21,31.9127,21
24.8267,2966.87,110000,3296.69,-148.25022888183594,22,29.5453,22
20.0211,2930.3,115000,2856.27,-98.82411193847656,23,29.9488,23
35.6376,1215.55,120000,2023.94,-197.50645446777344,24,30.3761,24
44.6556,1154.92,125000,1413.05,-380.83026123046875,25,31.923,25
45.2038,1353.22,130000,1393.83,-361.9988098144531,26,30.9062,26
35.0782,1803.4,135000,2341.98,-294.8550720214844,27,29.3174,27
15.7408,3241.54,140000,3345.14,-35.671173095703125,28,28.8042,28
29.5087,772.15,145000,733.51,-389.9137268066406,29,30.8148,29
26.3981,1305.08,150000,1407.78,-383.242919921875,30,28.5833,30
28.7934,1797.62,155000,2699.4,-336.5694885253906,31,29.828,31
18.2342,3302.71,160000,3303.46,-51.48881530761719,32,30.8555,32
17.0865,3384.48,165000,3384.37,-20.38884162902832,33,29.7069,33
30.4064,2519.46,170000,3398.8,-195.63134765625,34,29.2085,34
17.3,3346.93,175000,3348.68,-42.412696838378906,35,30.6187,35
15.7294,2907.11,180000,779.47,-105.22478485107422,36,28.9543,36
16.2215,3335.96,185000,3354.32,-32.451927185058594,37,28.9043,37
17.0214,2346.27,190000,3356.04,-219.2234649658203,38,28.2394,38
15.2334,3106.33,195000,3252.43,-60.241817474365234,39,29.1949,39
14.3763,3169.71,200000,3206.57,-104.0969467163086,40,28.4108,40
18.1496,2122.13,205000,3452.3,-267.66912841796875,41,29.6876,41
16.711,3042.35,210000,3425.27,-102.7263412475586,42,28.8828,42
15.6732,3287.59,215000,3266.16,-55.35638427734375,43,27.8952,43
24.7652,1896.59,220000,3384.6,-380.9060974121094,44,28.6156,44
14.8142,3164.78,225000,3286.97,-87.69715118408203,45,29.1979,45
17.4588,3182.4,230000,3444.66,-129.64523315429688,46,29.4305,46
15.9472,2877.48,235000,3460.63,-161.9713592529297,47,30.0305,47
17.0174,2138.41,240000,3460.52,-233.5509033203125,48,29.4893,48
16.7068,3314.74,245000,3424.07,-35.28624725341797,49,29.9373,49
14.7023,1547.6,250000,2714.69,-403.55133056640625,50,30.1088,50
19.5357,3365.87,255000,3449.5,-113.88534545898438,51,29.6019,51
34.1412,1614.77,260000,3490.64,-426.2939147949219,52,29.1526,52
16.2293,3401.21,265000,3398.49,-27.779281616210938,53,29.0852,53
23.0262,2148.44,270000,3433.54,-366.41217041015625,54,29.3493,54
16.3576,3422.36,275000,3427.94,-27.567028045654297,55,28.9064,55
14.8834,3380.42,280000,3415.25,-92.34130096435547,56,28.7948,56
18.6766,2444.28,285000,3419.21,-232.96192932128906,57,29.7046,57
32.2392,1477.04,290000,2252.51,-510.9237976074219,58,29.8907,58
16.6465,3373.39,295000,3382.67,-42.50985336303711,59,29.7411,59
14.9951,2722.01,300000,3413.89,-203.4932098388672,60,28.6018,60
15.7754,3437.82,305000,3443.22,-26.9775390625,61,27.7305,61
16.2611,3438.66,310000,3430.04,-29.095232009887695,62,29.1078,62
14.4912,2737.79,315000,3440.8,-223.0851593017578,63,28.8401,63
14.7628,3358.78,320000,3442.75,-57.317317962646484,64,27.7588,64
14.5159,3356.1,325000,3466.85,-49.87627410888672,65,27.7128,65
14.4496,3358.47,330000,3476.07,-45.322776794433594,66,26.7275,66
14.0417,3317.36,335000,3383.38,-82.03959655761719,67,28.4452,67
15.7671,3417.88,340000,3440.54,-42.38706970214844,68,27.8297,68
14.3622,2341.7,345000,3493.8,-274.73419189453125,69,29.4919,69
13.9617,3176.36,350000,3368.2,-99.398193359375,70,27.5624,70
17.0941,2102.91,355000,3461.48,-391.4758605957031,71,28.3402,71
13.1134,2583.05,360000,3442.04,-235.11451721191406,72,27.733,72
15.9808,2185.62,365000,3477.79,-394.04345703125,73,29.4393,73
13.9974,2894.82,370000,3456.1,-172.74462890625,74,28.9587,74
14.8572,3328.9,375000,3460.87,-161.77474975585938,75,28.6339,75
15.1022,1871.1,380000,3486.96,-422.3579406738281,76,29.0136,76
14.7667,2970.73,385000,3378.19,-194.60105895996094,77,29.8606,77
15.4854,3415.22,390000,3442.06,-66.96599578857422,78,27.862,78
17.8815,2208.77,395000,3507.72,-425.1033935546875,79,29.437,79
15.232,3393.62,400000,3419.29,-57.000099182128906,80,27.5446,80
