Itration,Running Update Time,Real Sto Return,Reward Loss,Real Det Return,Running Env Steps,Running Forward KL,Running Reverse KL
0,0,429.36,-371.1948547363281,454.09,0,48.826,13.6281
1,1,261.06,-721.9857177734375,381.04,5000,49.1379,13.3715
2,2,265.05,-535.3463745117188,360.34,10000,49.6933,13.1408
3,3,339.51,-909.5427856445312,347.41,15000,49.5413,13.2973
4,4,319.05,-1131.517822265625,280.45,20000,49.1943,14.2626
5,5,317.09,-913.076171875,299.23,25000,49.3631,14.3047
6,6,327.07,-1066.2108154296875,315.38,30000,49.2822,15.9313
7,7,275.75,-1081.3062744140625,314.27,35000,49.0053,14.3815
8,8,349.74,-1117.351806640625,355.4,40000,48.6066,14.6836
9,9,798.08,-805.7373657226562,1050.52,45000,47.4239,13.5075
10,10,764.31,-648.9405517578125,1514.05,50000,47.6132,15.6576
11,11,746.4,-919.8262329101562,841.51,55000,47.7482,17.5754
12,12,1668.91,-635.3333740234375,1397.16,60000,46.1137,15.5811
13,13,771.02,-1070.6307373046875,855.32,65000,47.2721,17.1431
14,14,983.11,-958.3748779296875,1605.34,70000,46.8991,16.1023
15,15,926.44,-1458.7530517578125,1350.23,75000,47.7691,15.478
16,16,850.31,-1436.90185546875,986.66,80000,47.3777,14.0175
17,17,862.18,-1802.354736328125,971.24,85000,46.8438,13.6585
18,18,1252.78,-1656.5872802734375,2258.78,90000,46.8834,14.2933
19,19,669.5,-2402.750732421875,986.61,95000,47.2408,15.9772
20,20,916.14,-1482.87841796875,1229.11,100000,46.4839,23.6962
21,21,1833.56,-1339.599365234375,1807.08,105000,46.3541,17.8069
22,22,1290.59,-1198.804443359375,1762.93,110000,46.1758,18.8653
23,23,1264.56,-1340.50439453125,1768.33,115000,46.5619,20.2443
24,24,1507.26,-1209.093017578125,1922.61,120000,45.7974,17.0448
25,25,1869.31,-1115.8116455078125,2143.91,125000,45.8201,18.3829
26,26,1441.66,-1163.3291015625,1817.07,130000,46.5544,23.6424
27,27,1422.81,-1298.486572265625,1599.37,135000,46.9803,22.2294
28,28,1978.48,-1024.3446044921875,1769.13,140000,45.3283,20.7849
29,29,1250.51,-1350.40966796875,1383.86,145000,46.9138,21.0693
30,30,1506.8,-1289.73974609375,1067.37,150000,45.8415,17.2693
31,31,943.49,-1435.8900146484375,1488.8,155000,46.1662,16.4994
32,32,1537.79,-1761.490966796875,1477.97,160000,46.5593,16.4937
33,33,1216.1,-1885.18603515625,798.89,165000,46.4636,15.625
34,34,1059.3,-1754.886474609375,967.4,170000,46.2871,16.0175
35,35,1457.12,-2103.19140625,1741.78,175000,45.6932,14.1192
36,36,1250.13,-2435.15185546875,1739.93,180000,46.5706,24.0273
37,37,1592.27,-1959.874755859375,3167.79,185000,44.9323,14.438
38,38,2865.86,-1233.9647216796875,3319.72,190000,45.4786,17.8097
39,39,2021.45,-1962.0992431640625,3106.22,195000,45.1273,18.331
40,40,3215.54,-1207.7518310546875,3405.54,200000,45.4783,23.0286
41,41,2861.55,-1754.247802734375,3286.56,205000,44.7732,18.3552
42,42,2702.3,-1347.375,3460.49,210000,45.2901,20.0402
43,43,1954.24,-1851.84375,1565.17,215000,45.4625,24.7833
44,44,3113.89,-1275.0697021484375,3579.24,220000,44.7661,20.7611
45,45,2095.7,-2563.26123046875,2306.13,225000,43.953,18.587
46,46,3494.75,-1264.7947998046875,3641.88,230000,44.5733,19.5418
47,47,3477.33,-1142.374755859375,3661.12,235000,45.4628,22.817
48,48,3513.22,-1337.1395263671875,3342.04,240000,44.943,19.6174
49,49,3313.95,-1637.74072265625,3620.95,245000,44.5832,18.6457
50,50,2878.18,-2601.766357421875,362.36,250000,44.7198,17.9629
51,51,2440.13,-1932.5614013671875,3107.52,255000,43.2023,20.189
52,52,3604.0,-1349.2236328125,3653.77,260000,45.3606,22.152
53,53,3301.59,-1779.4378662109375,3667.24,265000,43.9965,18.7016
54,54,2395.38,-2267.14990234375,2953.05,270000,44.708,18.8798
55,55,3523.1,-1467.26416015625,3693.24,275000,44.9008,20.6596
56,56,3665.05,-1516.97412109375,3671.51,280000,44.8862,19.0901
57,57,3679.11,-1596.3963623046875,3634.03,285000,44.5951,20.4151
58,58,3771.78,-1663.9730224609375,3861.06,290000,44.805,20.3014
59,59,3676.29,-1854.624755859375,2568.18,295000,44.9772,18.8112
60,60,3101.25,-1783.5980224609375,3596.75,300000,44.2857,17.4538
61,61,3647.3,-1755.9447021484375,3693.66,305000,43.5726,19.3419
62,62,3713.26,-1835.23193359375,3705.18,310000,44.2279,18.6748
63,63,3515.49,-1908.7406005859375,3667.18,315000,45.378,19.9784
64,64,3755.43,-1813.4952392578125,3787.84,320000,44.7271,20.9321
65,65,3500.07,-2037.9635009765625,3678.67,325000,45.0182,23.7409
66,66,3635.74,-2325.3359375,3923.95,330000,44.2026,25.5264
67,67,3828.92,-1867.772705078125,3846.26,335000,44.4916,21.6446
68,68,3814.82,-1962.35205078125,3807.79,340000,44.716,22.1202
69,69,3713.6,-1970.3243408203125,3794.3,345000,44.459,19.3201
70,70,3880.0,-1954.093994140625,3880.57,350000,44.7874,22.3347
71,71,3785.73,-2101.650634765625,3682.94,355000,44.3186,18.5602
72,72,3896.31,-2044.307373046875,3977.3,360000,44.1627,18.9748
73,73,3899.92,-2056.012939453125,3959.45,365000,44.4739,21.1156
74,74,3822.42,-2165.029296875,3894.08,370000,44.1854,19.0189
75,75,3809.21,-2062.037353515625,4008.33,375000,44.4355,20.4114
76,76,3875.59,-2071.890380859375,3854.67,380000,44.3085,20.5025
77,77,3864.02,-2203.508544921875,3896.35,385000,44.5161,20.689
78,78,3857.71,-2230.4453125,3823.77,390000,43.7265,19.6087
79,79,1828.79,-2966.773193359375,2469.51,395000,45.3435,36.7926
80,80,3569.41,-2284.887939453125,3729.93,400000,44.4894,21.1233
81,81,3790.46,-2403.603271484375,3859.7,405000,44.5757,21.9613
82,82,3898.37,-2347.8583984375,4002.19,410000,43.8323,21.418
83,83,3990.14,-2270.4287109375,3832.89,415000,44.4495,21.6465
84,84,3912.7,-2393.37255859375,3965.3,420000,44.0211,20.8837
85,85,2969.29,-2975.738525390625,3772.05,425000,45.1033,32.6489
86,86,3727.09,-2842.27197265625,3879.15,430000,44.1361,18.7069
87,87,3903.28,-2498.02392578125,3938.78,435000,44.0546,20.111
88,88,3585.66,-2721.4453125,3797.74,440000,44.5329,19.2843
89,89,3994.66,-2451.965576171875,4017.06,445000,44.4131,20.796
90,90,4014.49,-2598.47802734375,4003.28,450000,44.3211,19.8143
91,91,3931.68,-2750.843505859375,3966.15,455000,44.1889,19.6121
92,92,2914.59,-2659.30517578125,3959.25,460000,44.4944,23.7901
93,93,4028.98,-2683.489501953125,4048.89,465000,43.9211,20.6357
94,94,3971.55,-2826.627685546875,3974.63,470000,44.4792,20.9471
95,95,4072.64,-2658.525634765625,4104.8,475000,43.6831,20.3733
96,96,4085.45,-2760.328369140625,4101.81,480000,44.1198,22.7308
97,97,3894.87,-2810.842529296875,3919.31,485000,43.7831,19.2901
98,98,4062.16,-2565.19873046875,4093.45,490000,44.1974,21.4913
99,99,3958.09,-2884.476318359375,3990.84,495000,44.1224,20.7166
100,100,4010.57,-2898.208984375,4043.83,500000,43.7934,21.2461
101,101,3997.57,-2921.05517578125,4013.61,505000,44.039,20.1296
102,102,4045.63,-2888.77587890625,4089.62,510000,44.0837,19.9329
103,103,3995.15,-2899.784912109375,4031.12,515000,43.6023,19.1807
104,104,4067.72,-2846.945556640625,4078.24,520000,44.3035,21.8348
105,105,3973.95,-3049.69970703125,4073.21,525000,43.9435,19.9361
106,106,3991.44,-2701.313720703125,4033.8,530000,43.9926,21.4472
107,107,3976.96,-3305.921142578125,3985.47,535000,45.0355,20.4839
108,108,4066.07,-2944.849853515625,4089.22,540000,43.3554,19.9893
