Reward Loss,Running Forward KL,Running Reverse KL,Itration,Running Update Time,Running Env Steps,Real Sto Return,Real Det Return
415.8779296875,32.3512,17.0322,0,0,0,228.53,234.48
255.4483184814453,31.3402,19.2368,1,1,5000,301.19,308.01
162.1564483642578,32.1739,22.4189,2,2,10000,241.2,245.55
187.31398010253906,29.0167,18.2361,3,3,15000,287.1,286.29
67.20861053466797,26.2781,30.6853,4,4,20000,375.15,377.75
24.44578742980957,28.6903,32.6326,5,5,25000,395.11,473.3
-10.610698699951172,26.9093,32.8312,6,6,30000,422.13,434.34
-100.98654174804688,27.4542,25.8789,7,7,35000,515.53,518.87
-142.05657958984375,27.9121,32.5414,8,8,40000,524.31,539.49
-208.2077178955078,28.5188,28.0368,9,9,45000,380.95,393.87
-303.06549072265625,26.2745,28.6737,10,10,50000,420.67,440.78
-334.4307556152344,30.0828,24.9409,11,11,55000,349.72,342.32
-245.86795043945312,25.627,17.4141,12,12,60000,653.05,669.24
-313.9272155761719,25.7339,17.4547,13,13,65000,728.07,638.05
-375.2292175292969,25.8605,17.7338,14,14,70000,709.71,715.76
-177.92166137695312,22.508,14.264,15,15,75000,1314.81,1917.46
-367.8164978027344,24.447,18.7893,16,16,80000,910.17,754.56
-362.64666748046875,22.3758,16.2646,17,17,85000,1271.21,1754.61
-97.14260864257812,21.3919,13.1355,18,18,90000,2497.57,3096.54
-232.27130126953125,20.7271,14.7084,19,19,95000,2015.43,2708.41
-421.0155029296875,21.5239,20.3084,20,20,100000,1402.01,1263.25
-511.15008544921875,21.88,18.1937,21,21,105000,1108.22,1039.35
-345.0921936035156,24.2287,89.9974,22,22,110000,789.29,807.23
19.213476181030273,25.1046,21.3126,23,23,115000,702.37,732.88
-249.31759643554688,22.5998,13.1904,24,24,120000,1694.99,2468.72
-143.13694763183594,21.2498,85.6567,25,25,125000,1374.42,1027.07
-232.49009704589844,20.8022,79.2428,26,26,130000,1843.92,1879.88
-176.4213409423828,20.8404,19.4188,27,27,135000,2483.97,3055.09
-262.88330078125,20.7476,44.7705,28,28,140000,1737.27,2913.71
-382.5508117675781,21.7584,52.9483,29,29,145000,1851.91,3319.79
-339.4891357421875,21.2022,13.0503,30,30,150000,2923.68,3420.4
-293.9914855957031,20.3492,33.1626,31,31,155000,2752.35,3358.47
-541.4141235351562,21.3743,63.5421,32,32,160000,1564.98,1339.21
-514.1831665039062,20.9251,73.5158,33,33,165000,1618.73,1855.11
-657.6242065429688,21.6463,81.4325,34,34,170000,1691.8,1736.95
-743.8400268554688,21.3679,76.3373,35,35,175000,1208.01,1262.69
-636.7449340820312,21.8374,54.9347,36,36,180000,1485.31,1789.9
-786.6055908203125,22.0252,85.3825,37,37,185000,1723.02,1365.67
-903.2777709960938,22.5878,43.91,38,38,190000,1395.4,1340.79
-461.29364013671875,20.3567,30.6853,39,39,195000,2257.0,3501.56
-966.5748901367188,20.9133,70.3656,40,40,200000,1126.49,1098.81
-1100.71484375,22.7609,90.379,41,41,205000,1435.33,1174.4
-716.3612060546875,20.1218,59.0528,42,42,210000,2205.33,3384.5
-452.95562744140625,20.036,20.9782,43,43,215000,2539.93,3431.22
-179.12298583984375,20.1226,12.4858,44,44,220000,3263.72,3211.56
-1059.0738525390625,20.6932,78.1968,45,45,225000,1551.46,2509.91
-541.4295043945312,20.3355,29.4722,46,46,230000,3118.92,3410.45
-358.0967102050781,19.782,21.6058,47,47,235000,2657.35,3439.46
-1411.1689453125,21.9132,93.1189,48,48,240000,1546.2,1786.66
-564.6902465820312,21.512,33.1071,49,49,245000,2991.44,3403.94
-1164.69775390625,20.473,65.4251,50,50,250000,1721.77,2025.72
-1233.899658203125,20.9724,60.3448,51,51,255000,1727.07,2927.37
-1110.9998779296875,21.0934,61.7982,52,52,260000,2059.33,3455.22
-925.4730224609375,20.8005,43.5072,53,53,265000,3069.0,3421.54
-641.7548828125,20.4423,28.0966,54,54,270000,2359.5,3468.48
-1644.264404296875,21.6701,71.589,55,55,275000,1229.86,1672.98
-814.2191772460938,21.6551,32.3066,56,56,280000,2503.68,3326.81
-276.2627258300781,20.7586,15.074,57,57,285000,3204.84,3177.7
-288.87255859375,21.9455,14.7381,58,58,290000,3280.04,3242.1
-1771.665771484375,21.2513,75.8962,59,59,295000,1793.52,2672.76
-536.230712890625,20.6183,12.5688,60,60,300000,3383.1,3407.34
