Itration,Running Reverse KL,Real Sto Return,Running Update Time,Real Det Return,Reward Loss,Running Forward KL,Running Env Steps
0,25.8638,-140.41,0,247.22,94.17340087890625,75.2015,0
1,26.3746,-50.0,1,479.52,76.43194580078125,75.406,5000
2,26.7246,-64.42,2,520.63,61.8805046081543,73.6965,10000
3,27.6765,-25.07,3,560.41,42.61043167114258,74.2885,15000
4,28.8753,38.81,4,631.91,23.590755462646484,73.8403,20000
5,30.5783,42.15,5,664.74,15.419297218322754,74.0929,25000
6,30.6338,67.97,6,588.61,-2.305917501449585,73.4492,30000
7,29.93,80.98,7,241.11,-19.1807861328125,70.2789,35000
8,30.1705,122.66,8,701.86,-37.160728454589844,72.5413,40000
9,30.7276,139.57,9,620.41,-50.98649597167969,72.6372,45000
10,31.2701,165.74,10,807.96,-63.67831802368164,71.5855,50000
11,30.1528,223.15,11,769.67,-77.94828796386719,69.4338,55000
12,31.3794,212.93,12,817.86,-94.43270111083984,71.4736,60000
13,31.1419,178.46,13,685.35,-105.72452545166016,71.4758,65000
14,31.7904,231.46,14,916.8,-122.54959869384766,72.5937,70000
15,29.4761,284.89,15,917.63,-125.2576675415039,65.7017,75000
16,30.7183,335.83,16,1042.61,-146.41329956054688,67.1181,80000
17,30.1604,394.68,17,948.93,-155.63943481445312,67.1874,85000
18,30.507,200.14,18,802.41,-177.476318359375,67.7214,90000
19,30.7386,297.09,19,929.97,-186.9073486328125,67.101,95000
20,30.4341,251.81,20,988.05,-208.18540954589844,69.0678,100000
21,29.2836,261.65,21,870.13,-208.20733642578125,65.0641,105000
22,28.2629,708.64,22,1349.57,-218.88319396972656,62.6707,110000
23,58.1129,0.11,23,549.7,-268.0834655761719,73.225,115000
24,40.864,-226.64,24,211.46,-272.4658203125,73.5566,120000
25,32.5306,-78.79,25,496.89,-268.7060241699219,70.4984,125000
26,41.3214,203.56,26,330.83,-262.53424072265625,65.8535,130000
27,32.5407,-128.97,27,180.16,-307.02703857421875,70.7495,135000
28,31.6652,56.0,28,283.29,-313.50421142578125,71.903,140000
29,29.5277,97.04,29,496.86,-327.6253356933594,69.2864,145000
30,28.4542,131.49,30,209.49,-335.9945068359375,66.3321,150000
31,28.2232,85.91,31,509.35,-355.64227294921875,68.6738,155000
32,30.706,105.46,32,612.54,-387.5072326660156,71.0488,160000
33,30.3868,245.03,33,649.91,-393.6877136230469,67.2946,165000
34,28.632,120.84,34,564.27,-406.5935974121094,66.8681,170000
35,31.1206,109.26,35,325.46,-428.58154296875,70.0782,175000
36,26.5276,255.56,36,539.8,-421.6502380371094,65.4775,180000
37,28.4114,97.56,37,217.89,-443.2353210449219,65.9768,185000
38,29.1307,209.98,38,935.15,-469.5758972167969,69.2042,190000
39,28.083,191.49,39,772.75,-471.115234375,65.2803,195000
