Running Reverse KL,Itration,Reward Loss,Real Det Return,Running Update Time,Real Sto Return,Running Env Steps,Running Forward KL
264.1711,0,3796.736328125,279.48,0,278.79,0,458.2296
285.4685,1,3693.888916015625,372.21,1,334.69,5000,453.815
263.2424,2,3283.31494140625,301.87,2,355.29,10000,441.5128
255.3176,3,3210.11865234375,347.02,3,363.19,15000,436.8543
238.554,4,2746.4697265625,489.12,4,452.36,20000,419.8326
277.14,5,2408.013916015625,350.87,5,363.01,25000,444.438
250.223,6,2225.4775390625,557.37,6,417.67,30000,426.9363
256.9831,7,2482.978271484375,493.38,7,459.28,35000,416.6817
272.5934,8,1532.1083984375,552.68,8,419.64,40000,438.9762
259.0475,9,1590.19873046875,528.57,9,503.51,45000,416.8891
254.9859,10,1603.2640380859375,500.45,10,509.33,50000,422.7244
258.5643,11,1371.044921875,464.49,11,550.61,55000,422.5507
263.8986,12,1311.9803466796875,566.94,12,502.6,60000,416.8705
268.1003,13,790.2595825195312,511.33,13,466.8,65000,420.7796
304.8954,14,814.1802978515625,399.29,14,492.31,70000,427.1551
287.9871,15,456.4122009277344,399.67,15,499.62,75000,432.0237
272.3136,16,307.1473388671875,422.25,16,553.33,80000,416.9984
283.2629,17,23.516178131103516,490.86,17,630.81,85000,411.6165
235.9931,18,-786.1763305664062,475.07,18,589.96,90000,412.7394
255.9652,19,-681.509521484375,529.49,19,746.58,95000,415.1643
262.4385,20,-603.1256713867188,602.95,20,714.59,100000,421.6602
252.7091,21,-1132.936279296875,637.84,21,656.15,105000,408.1083
265.9564,22,-1275.8408203125,584.55,22,673.89,110000,412.0648
251.5069,23,-1831.431884765625,620.33,23,784.26,115000,404.1965
254.0895,24,-2115.556396484375,864.46,24,745.56,120000,396.4989
245.0873,25,-2310.43310546875,755.01,25,647.79,125000,398.3662
257.0327,26,-2359.77490234375,523.63,26,674.92,130000,393.9028
256.6141,27,-3682.649658203125,749.67,27,824.41,135000,404.1021
253.7986,28,-3925.182861328125,657.02,28,814.53,140000,417.071
252.7653,29,-3924.979248046875,649.89,29,700.14,145000,408.5356
249.6993,30,-3791.710693359375,619.05,30,844.35,150000,408.6374
251.9567,31,-3912.715576171875,888.49,31,975.42,155000,406.6135
270.5423,32,-4543.76220703125,652.7,32,919.49,160000,409.4582
259.191,33,-3996.217041015625,816.97,33,990.97,165000,398.6858
248.7908,34,-4927.21533203125,890.07,34,1064.16,170000,399.3657
232.9197,35,-4379.857421875,1367.97,35,1219.33,175000,388.0504
267.0267,36,-4652.9267578125,970.9,36,926.89,180000,394.9337
268.8297,37,-5135.40771484375,830.46,37,1036.75,185000,386.2239
284.9162,38,-5729.62158203125,652.34,38,706.0,190000,401.155
285.9125,39,-5887.4609375,1153.95,39,1090.7,195000,413.6802
290.7497,40,-6828.7724609375,688.66,40,1021.83,200000,423.606
255.3143,41,-4974.044921875,950.48,41,1275.33,205000,397.9315
271.5389,42,-6543.052734375,693.96,42,1335.72,210000,400.0774
243.4049,43,-6125.27587890625,983.23,43,1443.27,215000,390.8819
247.7086,44,-6412.7607421875,1100.3,44,1854.96,220000,368.5422
233.7697,45,-6910.03759765625,912.7,45,1458.87,225000,380.8871
233.4351,46,-6538.4013671875,1672.64,46,1836.93,230000,381.7693
242.1192,47,-6735.39599609375,1790.34,47,1455.11,235000,382.7585
222.4004,48,-6369.41357421875,3202.29,48,2133.32,240000,373.584
285.5082,49,-7619.05712890625,2953.41,49,2287.36,245000,402.3367
195.1273,50,-5857.9580078125,2404.1,50,2891.04,250000,364.0103
241.9548,51,-7070.92626953125,2871.49,51,2493.98,255000,368.2382
200.4181,52,-6110.01318359375,3085.99,52,2553.56,260000,359.02
267.8135,53,-7375.78857421875,2376.96,53,2060.0,265000,375.0286
175.3246,54,-5149.63623046875,3247.56,54,3057.88,270000,353.0384
243.2454,55,-7620.28076171875,4715.32,55,2028.49,275000,368.8498
214.6708,56,-6662.3486328125,3888.65,56,2857.27,280000,367.3065
229.2923,57,-6680.2431640625,1208.03,57,1977.42,285000,362.3702
203.0878,58,-6867.19140625,4795.05,58,2764.93,290000,371.4977
248.8803,59,-8081.4658203125,639.61,59,1497.87,295000,388.9976
