Real Sto Return,Running Env Steps,Reward Loss,Running Forward KL,Real Det Return,Running Update Time,Running Reverse KL,Itration
185.17,0,355.02935791015625,33.3871,186.99,0,18.1135,0
301.99,5000,563.4043579101562,32.288,294.53,1,30.0985,1
318.53,10000,259.8054504394531,31.1261,320.65,2,14.8477,2
320.33,15000,464.4541015625,30.8387,331.53,3,23.8092,3
45.11,20000,127.95137023925781,31.6339,41.36,4,16.7642,4
339.35,25000,222.91513061523438,30.1209,336.35,5,20.0524,5
352.74,30000,275.689208984375,26.4397,365.14,6,24.0988,6
424.59,35000,40.22636413574219,28.7276,435.78,7,33.2468,7
622.74,40000,81.46488952636719,27.3312,591.85,8,36.4839,8
615.55,45000,7.036346912384033,27.3553,657.93,9,17.2934,9
413.33,50000,186.3878936767578,28.3015,380.44,10,30.5569,10
357.55,55000,15.333137512207031,27.7791,420.89,11,35.0602,11
593.4,60000,-55.03006362915039,26.9077,657.09,12,42.4712,12
592.49,65000,-47.731483459472656,27.4317,646.45,13,33.2496,13
512.77,70000,-190.45843505859375,30.6926,663.09,14,22.1251,14
554.97,75000,-98.08815002441406,29.8941,562.91,15,37.218,15
432.67,80000,-312.2023010253906,30.2256,440.21,16,27.1251,16
985.2,85000,-471.45263671875,38.3817,985.16,17,52.6104,17
795.57,90000,-340.8320617675781,34.6115,785.74,18,23.6808,18
1021.06,95000,-543.6009521484375,36.5974,1021.02,19,33.3313,19
249.97,100000,-618.0261840820312,38.4307,251.09,20,37.3631,20
239.4,105000,-680.2606201171875,34.2637,240.69,21,21.1781,21
439.24,110000,-536.0711059570312,30.6447,437.59,22,19.9425,22
755.81,115000,-731.4224243164062,34.082,211.17,23,24.5043,23
58.83,120000,-567.3500366210938,33.028,59.91,24,25.9129,24
87.64,125000,-934.97509765625,34.959,88.92,25,132.4341,25
39.65,130000,-1042.8121337890625,36.3952,38.46,26,160.9761,26
498.77,135000,-630.9009399414062,29.3037,474.1,27,56.936,27
1011.98,140000,-1033.5142822265625,37.2849,1012.32,28,41.7805,28
1055.04,145000,-1103.49462890625,35.8731,1048.35,29,30.0445,29
859.71,150000,-1167.6412353515625,32.108,706.41,30,29.1862,30
1262.34,155000,-1041.4464111328125,33.6386,1231.67,31,25.0299,31
1167.17,160000,-1006.0472412109375,32.3423,1224.59,32,33.7707,32
949.41,165000,-1286.911865234375,35.6884,969.67,33,36.4153,33
1014.79,170000,-1353.083251953125,36.8969,1014.73,34,38.1051,34
