Running Update Time,Running Reverse KL,Running Env Steps,Itration,Real Det Return,Running Forward KL,Real Sto Return,Reward Loss
0,25.1252,0,0,144.03,74.7852,-80.51,3.331765651702881
1,26.8243,5000,1,270.06,74.7551,-87.83,1.8512159585952759
2,27.8241,10000,2,379.41,73.2392,-34.28,-9.767159461975098
3,28.8243,15000,3,393.26,73.725,-49.83,-19.514556884765625
4,28.3201,20000,4,702.26,72.9434,25.92,-33.26903533935547
5,27.972,25000,5,528.14,72.0714,80.77,-40.88448715209961
6,29.9167,30000,6,402.46,72.3346,33.52,-46.906333923339844
7,29.6009,35000,7,607.1,72.5075,66.08,-59.2788200378418
8,29.6511,40000,8,568.88,70.4366,96.66,-69.20610809326172
9,30.3315,45000,9,773.75,71.0688,173.44,-81.81717681884766
10,30.6611,50000,10,740.59,70.3066,150.51,-93.534912109375
11,30.7537,55000,11,902.46,71.8716,154.44,-106.36168670654297
12,29.6963,60000,12,636.97,68.7545,133.86,-115.9066390991211
13,28.7668,65000,13,892.83,67.0478,136.9,-130.25819396972656
14,29.2794,70000,14,669.68,69.0049,161.95,-139.87298583984375
15,31.5627,75000,15,643.97,72.2894,111.21,-151.87620544433594
16,30.8368,80000,16,697.15,68.0587,192.35,-163.83468627929688
17,27.9813,85000,17,1467.82,65.5711,382.06,-166.6053466796875
18,29.9755,90000,18,695.1,68.5849,274.49,-182.96385192871094
19,30.5617,95000,19,759.33,70.7671,289.5,-200.42442321777344
20,28.3627,100000,20,1111.99,66.8665,340.66,-204.5152130126953
21,27.9362,105000,21,1357.08,64.1491,335.16,-209.08651733398438
22,28.7938,110000,22,976.69,66.9732,516.79,-233.40602111816406
23,26.7047,115000,23,1004.5,64.3436,294.76,-230.42861938476562
24,29.463,120000,24,777.61,68.8064,359.22,-257.3595886230469
25,28.1047,125000,25,1267.05,64.3399,462.31,-254.3849639892578
26,28.8673,130000,26,829.97,66.2939,530.22,-270.319091796875
27,29.0132,135000,27,914.12,67.3748,497.31,-289.9239501953125
28,29.4614,140000,28,892.72,68.0251,343.53,-298.769287109375
29,28.3704,145000,29,1208.34,66.0503,561.39,-310.05401611328125
30,28.8724,150000,30,966.24,67.607,359.19,-321.6650085449219
31,26.7208,155000,31,899.8,64.853,528.21,-327.83111572265625
32,28.4179,160000,32,1400.33,66.8625,689.06,-347.2413635253906
33,28.1214,165000,33,1329.61,67.1763,581.74,-357.1326599121094
34,28.7859,170000,34,1051.94,66.5463,315.16,-369.8401794433594
35,29.1398,175000,35,1031.88,68.4531,672.86,-384.113525390625
36,27.9802,180000,36,1508.11,65.0784,430.67,-382.1802673339844
37,26.9257,185000,37,1049.12,66.4021,479.07,-400.8010559082031
38,29.1699,190000,38,1300.6,68.3524,575.69,-427.9365539550781
39,27.1377,195000,39,1598.37,62.3966,920.52,-397.47113037109375
40,26.2925,200000,40,1378.84,63.4107,722.6,-409.4110107421875
41,27.7956,205000,41,1653.69,60.1744,779.82,-373.32342529296875
42,26.9022,210000,42,1851.48,63.3721,1546.32,-438.0024719238281
43,25.995,215000,43,1687.3,62.049,1073.98,-412.9044494628906
44,25.5952,220000,44,1922.64,62.4119,1343.88,-434.322021484375
45,28.7792,225000,45,1899.2,62.3882,1019.06,-421.8582458496094
46,28.4522,230000,46,1595.16,63.1231,1104.37,-450.25823974609375
47,27.2216,235000,47,1156.29,63.4058,1187.86,-473.0579833984375
48,26.391,240000,48,2247.64,63.5617,1174.23,-486.725830078125
49,28.1564,245000,49,1693.7,63.0765,1141.85,-471.09661865234375
50,27.6158,250000,50,1857.25,66.0977,984.49,-554.7245483398438
51,27.4737,255000,51,1769.34,64.1013,952.67,-535.1226196289062
52,26.9595,260000,52,1705.46,63.7168,1333.68,-550.5111083984375
53,28.3686,265000,53,1657.28,63.8209,1303.7,-526.9755859375
54,30.2746,270000,54,2061.66,62.5731,1661.89,-510.13214111328125
55,26.9231,275000,55,2128.64,61.448,1055.95,-528.8025512695312
56,27.0862,280000,56,1859.24,62.6779,1134.95,-567.2788696289062
57,26.4729,285000,57,1205.48,62.3804,1381.91,-566.0834350585938
58,30.9934,290000,58,1763.17,62.6743,1195.88,-537.0711059570312
59,32.0567,295000,59,2727.62,60.0427,2154.59,-500.40179443359375
60,39.0932,300000,60,3241.09,63.0637,2637.2,-485.57342529296875
61,43.2891,305000,61,3440.45,65.7874,2713.06,-504.86700439453125
62,31.9034,310000,62,2530.59,65.0671,1429.21,-578.9556884765625
63,41.1123,315000,63,3533.89,64.1521,2516.53,-469.0486755371094
64,35.5997,320000,64,3079.48,66.3055,1886.73,-585.0221557617188
65,33.8232,325000,65,2507.28,61.8798,2227.67,-566.6654052734375
66,35.2381,330000,66,2462.62,64.6183,1768.91,-560.5350952148438
67,33.9424,335000,67,3247.19,61.0936,2536.53,-559.1665649414062
68,37.4694,340000,68,2817.91,65.8688,2342.45,-631.4158325195312
69,52.361,345000,69,3611.51,68.9433,3015.21,-510.83917236328125
70,40.4355,350000,70,2938.02,63.9942,2184.66,-542.8394165039062
71,43.8152,355000,71,3848.97,65.4512,3229.92,-591.8577880859375
72,44.8944,360000,72,3866.06,65.4952,3386.7,-602.4058227539062
73,41.4321,365000,73,3641.12,64.8651,3219.28,-614.0328979492188
74,44.6829,370000,74,2982.46,66.3478,2686.06,-581.1364135742188
75,40.4802,375000,75,3128.81,62.668,2895.82,-624.3079833984375
76,48.5289,380000,76,4143.74,65.9971,3192.32,-608.5747680664062
77,49.9189,385000,77,4014.93,68.6277,3281.17,-598.7229614257812
78,43.9159,390000,78,3684.99,68.0081,2725.33,-663.477294921875
79,40.6308,395000,79,3813.01,65.6211,2013.72,-672.1861572265625
80,41.1647,400000,80,3711.81,64.0449,3193.35,-659.0725708007812
81,48.4549,405000,81,4008.22,66.6068,3419.94,-647.3424682617188
82,55.5086,410000,82,4410.68,69.7425,4071.41,-665.0302124023438
83,49.1837,415000,83,4264.43,68.3082,3711.49,-665.9618530273438
84,44.4903,420000,84,3274.61,66.3629,2065.88,-695.7853393554688
85,53.8754,425000,85,4147.01,67.6656,3784.78,-719.492919921875
86,47.7134,430000,86,3331.54,69.3401,3066.15,-758.7003784179688
87,45.2361,435000,87,2714.16,63.9131,2072.54,-685.4896240234375
88,43.7133,440000,88,1895.16,67.0611,1452.48,-731.9005126953125
89,47.6412,445000,89,3273.51,67.8198,2562.33,-773.8585205078125
90,48.7421,450000,90,3608.0,67.9064,3409.01,-767.7593994140625
91,59.9992,455000,91,4158.24,75.6693,3385.17,-708.8477783203125
92,57.2752,460000,92,4338.97,71.947,3436.53,-802.1755981445312
93,45.2563,465000,93,3309.46,68.763,2565.17,-837.9087524414062
94,57.249,470000,94,4080.03,71.41,3469.5,-786.0700073242188
95,47.0937,475000,95,4000.98,67.813,3217.42,-817.1669921875
96,49.5736,480000,96,4133.88,69.7501,2652.45,-852.0714721679688
97,53.7672,485000,97,4069.09,72.33,3486.27,-833.6728515625
98,54.9144,490000,98,3505.22,72.3261,3219.74,-821.3587036132812
99,55.2469,495000,99,4476.29,71.0599,4135.14,-870.6118774414062
100,56.3426,500000,100,4646.12,71.123,4084.89,-867.1635131835938
101,46.7219,505000,101,4667.77,68.3174,3679.99,-938.6539306640625
102,47.9279,510000,102,3891.91,68.3808,2790.11,-894.5896606445312
103,47.9877,515000,103,4102.14,68.2954,2913.74,-930.1315307617188
104,52.6002,520000,104,3468.04,69.4186,2900.65,-955.1488037109375
105,40.5772,525000,105,3132.81,67.0683,3101.69,-1026.863037109375
106,49.414,530000,106,4994.52,68.3589,4274.2,-1052.069580078125
107,53.9,535000,107,4857.84,70.9716,4092.78,-1011.9509887695312
108,54.3088,540000,108,3995.72,72.728,3342.31,-996.1041870117188
109,55.0143,545000,109,4848.76,69.9969,4044.96,-1050.6212158203125
110,65.001,550000,110,4523.65,79.402,4377.15,-1066.90576171875
111,46.5133,555000,111,3892.69,68.6231,2864.49,-1062.20458984375
112,57.6559,560000,112,4362.08,75.0102,3868.07,-1123.1448974609375
113,50.5785,565000,113,4941.13,67.4596,4200.57,-1120.2822265625
114,51.8764,570000,114,4723.91,70.323,4062.73,-1135.42578125
115,54.5959,575000,115,4873.45,68.5462,4614.53,-1216.5419921875
116,54.3627,580000,116,4513.97,70.8624,4117.69,-1199.893310546875
117,58.6139,585000,117,3573.91,71.7899,3740.47,-1146.105712890625
118,62.5802,590000,118,4974.93,75.5135,3846.07,-1203.54296875
119,51.7664,595000,119,4195.87,71.3272,3511.1,-1235.15087890625
120,58.4491,600000,120,4678.81,74.8478,4215.72,-1384.17431640625
