Running Update Time,Reward Loss,Running Forward KL,Running Reverse KL,Running Env Steps,Itration,Real Det Return,Real Sto Return
0,-1336.2034912109375,158.5436,12.0178,0,0,87.37,-100.29
1,-1567.11669921875,158.1989,11.482,5000,1,31.6,-62.72
2,-1627.9967041015625,158.0816,11.9012,10000,2,242.47,94.43
3,-2069.56787109375,157.1291,10.8898,15000,3,476.48,198.33
4,-1595.9290771484375,157.0753,12.3471,20000,4,1900.3,918.91
5,-1690.6583251953125,156.4987,12.2544,25000,5,2457.93,1653.86
6,-1498.3690185546875,156.4539,14.7128,30000,6,3080.28,2426.07
7,-1612.1851806640625,156.0025,14.8913,35000,7,3582.15,3005.96
8,-2004.3636474609375,155.6471,13.9906,40000,8,3911.8,3354.75
9,-1989.8284912109375,155.328,15.5678,45000,9,4512.62,3956.44
10,-2115.928466796875,154.6332,14.2373,50000,10,4907.32,4076.28
11,-2346.16552734375,153.5215,14.4082,55000,11,5240.34,4400.67
12,-2364.979248046875,152.7086,15.0741,60000,12,5778.07,5159.04
13,-2540.04345703125,151.8928,14.1958,65000,13,5930.65,5189.17
14,-2587.504638671875,152.0419,14.6579,70000,14,6193.74,5329.59
15,-2608.489990234375,151.6397,14.9868,75000,15,6597.53,5882.09
16,-2842.13818359375,150.5273,14.9345,80000,16,7029.34,6053.5
17,-2951.29541015625,151.1585,15.1388,85000,17,7110.02,6613.24
18,-3057.113037109375,150.9961,16.5704,90000,18,6998.72,6761.7
19,-3197.851806640625,150.2453,14.8047,95000,19,7483.04,6941.42
20,-3439.826416015625,149.987,14.5279,100000,20,7305.16,6487.56
21,-3541.109130859375,150.0329,14.5777,105000,21,7739.29,6846.32
22,-3440.7119140625,150.1143,15.8435,110000,22,7679.25,7102.85
23,-3528.723388671875,149.4105,16.1008,115000,23,8024.78,7468.14
24,-3565.478271484375,149.8353,16.4468,120000,24,8019.27,7291.53
25,-3783.54638671875,148.7337,16.6245,125000,25,8518.01,7948.65
26,-3889.08935546875,149.067,15.9798,130000,26,8266.88,7771.56
27,-4171.82861328125,148.663,16.467,135000,27,8709.27,8022.33
28,-4282.353515625,148.5346,15.1906,140000,28,8760.6,8206.26
29,-4038.272705078125,148.3892,16.8217,145000,29,8622.98,8343.27
30,-4185.38916015625,148.7821,17.8426,150000,30,9127.55,8457.19
31,-4151.59765625,148.0393,16.9939,155000,31,9013.78,8570.3
32,-4336.01806640625,148.3254,16.8785,160000,32,8902.5,8418.58
33,-4376.94482421875,147.7304,17.1924,165000,33,9251.79,8789.84
34,-4591.91796875,147.9305,17.8419,170000,34,9282.23,8727.75
35,-4613.83837890625,148.9286,18.0009,175000,35,8947.43,8503.2
36,-4575.31640625,148.3724,19.1585,180000,36,8975.36,8567.09
37,-4699.20947265625,147.7689,17.7027,185000,37,9418.97,8827.16
38,-4911.15966796875,148.4555,17.2225,190000,38,8901.16,8628.43
39,-4897.7177734375,146.7327,17.5438,195000,39,9602.67,9157.95
40,-4766.14892578125,147.4883,17.6204,200000,40,9861.48,9439.87
41,-4966.0498046875,146.8077,17.3816,205000,41,9310.96,9333.3
42,-5132.2314453125,146.3962,18.8433,210000,42,9666.11,9271.93
43,-5238.46533203125,146.5014,18.6202,215000,43,9413.97,9088.79
44,-5125.0771484375,146.1808,17.8324,220000,44,9966.86,9360.34
45,-5305.48486328125,146.7183,18.0761,225000,45,10105.72,9619.42
46,-5361.46533203125,146.4472,18.4033,230000,46,9515.59,9322.88
47,-5962.1513671875,146.2978,16.1921,235000,47,9228.26,8305.05
48,-5432.1552734375,145.3772,17.8276,240000,48,10210.64,9364.75
49,-5576.77392578125,146.6274,18.8262,245000,49,10037.37,9592.42
50,-5759.72265625,147.5107,20.1329,250000,50,9466.26,9046.02
51,-5770.98291015625,146.5821,20.0545,255000,51,9508.9,9167.15
52,-5919.70361328125,146.7998,20.18,260000,52,9793.5,9438.58
53,-6171.1162109375,145.5697,17.6272,265000,53,9671.98,9311.16
54,-6420.00439453125,146.1317,17.1109,270000,54,9894.93,9561.48
55,-6202.03369140625,145.4033,17.5853,275000,55,10239.98,9750.89
56,-7034.587890625,145.3053,15.3486,280000,56,8698.76,8233.46
57,-6147.5966796875,145.626,18.7889,285000,57,10165.09,9715.96
58,-6152.6923828125,145.4317,18.704,290000,58,10541.92,9987.31
59,-6424.1796875,144.9477,18.416,295000,59,10415.31,9926.15
60,-6448.68115234375,145.7799,19.8426,300000,60,10618.4,10140.31
61,-6740.283203125,144.4148,18.448,305000,61,10314.51,9953.99
62,-6468.95751953125,144.2913,19.2872,310000,62,10728.65,10306.08
63,-6743.18896484375,145.4162,19.2972,315000,63,9831.56,9619.8
64,-6923.1982421875,144.2868,17.5615,320000,64,7991.01,8321.38
65,-7046.42041015625,144.6856,18.9917,325000,65,10330.3,10028.91
66,-7616.990234375,144.8641,16.4212,330000,66,7952.59,7884.34
67,-6984.1572265625,144.3137,18.5527,335000,67,10510.25,10229.98
68,-7286.65966796875,143.7741,17.4048,340000,68,10874.91,10229.13
69,-8296.4287109375,144.3782,16.0928,345000,69,8246.58,7994.67
70,-7445.5966796875,144.2035,17.7792,350000,70,10331.89,8838.25
71,-7179.9658203125,144.2783,19.5799,355000,71,10649.8,10222.26
72,-7214.36376953125,144.1019,19.0582,360000,72,10918.86,10333.99
73,-7225.09521484375,144.2843,19.1137,365000,73,10579.05,10281.26
74,-7276.4228515625,143.9881,20.1737,370000,74,10861.82,10121.71
75,-7912.0732421875,144.1975,20.5369,375000,75,10540.25,10183.91
76,-8161.8681640625,143.516,18.3204,380000,76,10336.89,10451.66
77,-7907.94140625,144.4093,19.1133,385000,77,10625.77,10101.9
78,-7598.88916015625,143.0949,17.2166,390000,78,10973.67,10447.92
79,-7331.8505859375,143.7753,19.1069,395000,79,10921.71,10255.52
80,-7461.0537109375,143.2713,19.6468,400000,80,10434.7,10379.34
81,-8163.84326171875,143.7345,17.2544,405000,81,9449.8,8555.6
82,-8142.86279296875,144.0838,20.1714,410000,82,10279.67,10001.89
83,-7641.37451171875,143.3956,19.9029,415000,83,11073.22,10630.3
84,-8268.294921875,143.6365,18.2412,420000,84,10965.52,10349.22
85,-8162.20849609375,144.0596,20.0425,425000,85,10874.44,10458.56
86,-7889.6083984375,142.9127,18.7756,430000,86,10693.22,10727.14
87,-8174.2568359375,143.1683,19.3887,435000,87,10162.66,9446.81
88,-9245.5107421875,143.6853,15.4795,440000,88,10627.01,9196.53
89,-8910.07421875,143.6017,17.5416,445000,89,10948.65,10451.59
90,-9839.2802734375,144.5378,14.6464,450000,90,10119.9,9251.45
91,-8792.0283203125,141.9074,16.933,455000,91,10655.44,10851.35
92,-9744.041015625,143.5972,16.8103,460000,92,10417.91,10194.78
93,-8880.9775390625,143.284,19.4692,465000,93,11011.1,10223.58
94,-9213.8203125,142.8614,18.0851,470000,94,11148.32,10858.13
95,-9396.3046875,142.2879,17.6719,475000,95,11043.01,10568.69
96,-8613.328125,140.9521,19.0234,480000,96,11282.82,10854.22
97,-9033.5361328125,142.5307,19.5471,485000,97,11253.38,10856.03
98,-9237.470703125,142.0469,19.2818,490000,98,11212.71,10438.54
99,-8753.701171875,141.705,19.3705,495000,99,11318.32,10979.58
100,-9207.849609375,141.4064,17.9722,500000,100,11359.08,10546.7
101,-9682.865234375,143.1354,18.1374,505000,101,11290.38,10445.65
102,-9164.3271484375,141.3493,17.5356,510000,102,11331.86,10944.65
103,-9397.8056640625,141.7548,17.9038,515000,103,11461.24,10906.96
104,-9928.4853515625,141.6737,17.6413,520000,104,11108.35,10464.09
105,-9584.6416015625,141.4031,18.9454,525000,105,11015.83,10466.78
106,-9534.1474609375,141.2882,19.7015,530000,106,11122.82,10801.9
107,-10094.4052734375,141.7788,18.5979,535000,107,11361.93,10814.01
108,-9912.9111328125,142.1169,19.4472,540000,108,10809.3,10397.92
109,-10048.705078125,141.4634,19.3959,545000,109,11476.4,10623.66
110,-10751.1689453125,141.7826,18.2969,550000,110,11027.54,10187.88
111,-10198.8623046875,141.5116,18.7268,555000,111,11316.19,10982.02
112,-10094.2880859375,141.746,20.3019,560000,112,10934.24,10705.69
113,-10440.693359375,141.9445,19.5094,565000,113,11173.67,10686.94
114,-10448.318359375,141.7715,18.2317,570000,114,11585.65,10560.23
115,-10425.357421875,141.948,18.5837,575000,115,11398.17,10885.02
116,-10355.2509765625,141.6626,19.3559,580000,116,11455.53,10746.26
117,-10700.8017578125,141.3424,19.1161,585000,117,11309.72,10802.95
