Running Env Steps,Itration,Running Forward KL,Reward Loss,Running Reverse KL,Real Det Return,Real Sto Return,Running Update Time
0,0,37.3912,10.355875015258789,20.1881,249.19,259.14,0
5000,1,37.1458,-8.047059059143066,21.3623,231.8,234.18,1
10000,2,38.4513,-29.141456604003906,26.6797,213.05,210.14,2
15000,3,37.6707,-34.44678497314453,39.6499,259.6,264.17,3
20000,4,36.5024,-45.91901779174805,30.9505,305.56,310.45,4
25000,5,37.2737,-50.396263122558594,32.5663,312.87,311.4,5
30000,6,36.0416,-71.27088165283203,30.2252,300.47,309.34,6
35000,7,37.1466,-72.83787536621094,36.9277,318.26,307.96,7
40000,8,36.8102,-87.19871520996094,32.5447,312.93,317.88,8
45000,9,36.993,-94.43099212646484,27.2952,325.78,323.36,9
50000,10,37.1079,-106.26937103271484,29.0948,329.75,324.94,10
55000,11,36.819,-112.34130096435547,22.385,334.36,325.42,11
60000,12,36.9896,-151.54525756835938,23.6482,344.59,335.26,12
65000,13,36.6488,-179.07972717285156,30.3433,343.56,342.4,13
70000,14,36.4465,-106.72650909423828,17.6567,364.27,360.53,14
75000,15,36.3793,-154.44512939453125,26.4096,360.84,356.7,15
80000,16,36.5792,-162.68576049804688,22.7868,409.46,402.77,16
85000,17,34.5575,-122.72610473632812,22.961,399.99,399.77,17
90000,18,35.3716,-94.02799987792969,21.5858,422.83,415.32,18
95000,19,33.8361,-149.04232788085938,20.7295,491.27,485.75,19
100000,20,33.1647,-218.00987243652344,28.3098,644.35,593.76,20
105000,21,34.375,-150.80532836914062,15.2127,547.79,560.39,21
110000,22,33.7924,-222.00137329101562,34.145,482.91,464.5,22
115000,23,33.7469,-317.08233642578125,73.6407,625.38,635.86,23
120000,24,32.0813,-325.41925048828125,65.8184,574.39,330.99,24
125000,25,31.8399,-117.47564697265625,15.7946,991.02,1439.54,25
130000,26,32.0341,-224.93310546875,24.6477,895.38,976.48,26
135000,27,33.7418,-89.40160369873047,15.3399,1889.57,1658.47,27
140000,28,32.1904,-233.812744140625,17.3654,752.63,781.07,28
145000,29,31.4705,-168.07496643066406,13.707,2494.12,1158.4,29
150000,30,33.1146,-253.78343200683594,20.3682,648.73,671.78,30
155000,31,30.047,-212.3771209716797,13.3918,1321.42,1042.53,31
160000,32,28.8511,-127.46989440917969,11.9834,2933.55,2310.85,32
165000,33,32.7522,-212.18951416015625,14.4239,677.32,695.9,33
170000,34,30.6427,-178.43138122558594,12.7865,726.23,1626.37,34
175000,35,30.3793,-165.11892700195312,11.5683,1170.09,1884.46,35
180000,36,31.5837,-200.63169860839844,13.6067,1274.36,1084.5,36
185000,37,28.7549,-157.15013122558594,14.1856,1619.85,2285.95,37
190000,38,29.86,-143.15011596679688,14.8814,3119.82,2541.51,38
195000,39,28.9499,-118.10958099365234,13.1001,3014.53,2857.89,39
200000,40,28.7961,-115.27627563476562,13.3598,3053.93,2673.32,40
205000,41,29.2667,-207.19882202148438,13.9124,1942.94,1314.28,41
210000,42,29.7796,-199.69027709960938,14.5338,3206.74,1983.16,42
215000,43,28.1365,-136.14942932128906,13.3074,3245.92,2803.85,43
220000,44,27.2257,-120.06798553466797,11.8243,3023.78,2844.37,44
225000,45,27.0135,-132.58767700195312,12.867,3164.26,3074.39,45
230000,46,28.3598,-149.2337646484375,12.7864,3110.08,3061.41,46
235000,47,27.9086,-111.45862579345703,13.7269,3097.05,3102.85,47
240000,48,30.3688,-310.64923095703125,20.3914,991.05,986.33,48
245000,49,28.4284,-248.83892822265625,16.0982,3259.52,2181.85,49
250000,50,27.119,-117.18624877929688,13.3658,3187.4,3198.02,50
255000,51,27.1358,-128.81356811523438,13.7486,3234.2,3043.73,51
260000,52,26.7059,-88.4574966430664,12.2123,3264.68,3128.42,52
265000,53,27.1528,-125.53301239013672,12.1639,3221.28,3203.22,53
270000,54,28.0562,-163.37841796875,14.0146,3231.04,3166.0,54
275000,55,28.4594,-236.13522338867188,15.0192,2637.94,1889.44,55
280000,56,27.3166,-154.50230407714844,11.663,3308.4,2815.58,56
285000,57,26.4807,-111.56311798095703,12.237,3331.32,3276.45,57
290000,58,25.9884,-89.88335418701172,12.6629,3309.22,3254.71,58
