Running Forward KL,Reward Loss,Real Sto Return,Real Det Return,Itration,Running Reverse KL,Running Env Steps,Running Update Time
158.3709,59.326053619384766,-157.52,-54.28,0,11.2726,0,0
158.3888,-173.92654418945312,-112.68,-0.22,1,11.7872,5000,1
158.2305,-360.7072448730469,0.35,23.0,2,11.8419,10000,2
157.9656,-668.6263427734375,195.42,753.7,3,12.1935,15000,3
158.0324,-995.1880493164062,375.14,876.58,4,12.9482,20000,4
157.8801,-1138.0323486328125,477.46,1009.25,5,13.3051,25000,5
157.9596,-1465.2808837890625,577.28,926.55,6,13.9017,30000,6
157.9904,-1650.079833984375,731.65,1053.9,7,14.0819,35000,7
157.9127,-1842.135986328125,841.07,1196.06,8,14.8124,40000,8
157.8414,-2017.5540771484375,982.35,1368.77,9,15.2509,45000,9
157.727,-2247.903564453125,1038.74,1426.41,10,15.6534,50000,10
157.8012,-2470.3798828125,1143.32,1547.44,11,16.1075,55000,11
157.6599,-2655.552490234375,1176.91,1567.19,12,16.1179,60000,12
157.9455,-2889.467529296875,1190.64,1564.32,13,15.8873,65000,13
157.7482,-3009.267578125,1242.87,1664.21,14,15.7412,70000,14
157.6681,-3114.583251953125,1286.56,1703.77,15,16.4957,75000,15
158.0273,-3430.968994140625,1335.53,1713.13,16,16.3184,80000,16
158.0582,-3672.811279296875,1316.64,1763.77,17,16.3703,85000,17
157.7802,-3830.749755859375,1398.09,1763.22,18,16.3627,90000,18
157.727,-4000.941650390625,1462.59,1853.24,19,16.928,95000,19
157.724,-4197.7099609375,1465.06,1831.14,20,16.9197,100000,20
157.9588,-4396.07373046875,1461.85,1875.15,21,16.8374,105000,21
157.8148,-4649.97314453125,1522.97,1867.51,22,16.8008,110000,22
157.6062,-4795.23583984375,1508.08,1874.3,23,16.3366,115000,23
157.8252,-4915.20654296875,1512.3,1910.47,24,16.57,120000,24
157.5184,-5151.91796875,1553.41,1919.62,25,16.5742,125000,25
157.7688,-5367.0869140625,1551.08,1969.05,26,16.6788,130000,26
157.7555,-5567.3369140625,1587.86,1958.78,27,16.6581,135000,27
157.7706,-5712.19140625,1610.15,2040.59,28,16.6416,140000,28
157.5472,-5927.220703125,1616.33,2007.93,29,16.6003,145000,29
157.5124,-6042.8740234375,1583.83,1932.75,30,16.0634,150000,30
157.7181,-6240.7509765625,1661.65,2040.21,31,17.0633,155000,31
157.4143,-6397.2314453125,1631.17,1929.32,32,16.4324,160000,32
157.3909,-6587.8662109375,1690.55,2056.26,33,16.5754,165000,33
157.6578,-6794.6240234375,1672.18,2059.75,34,16.7626,170000,34
157.7543,-7026.6103515625,1645.77,2009.77,35,16.5545,175000,35
157.6043,-7274.01953125,1660.05,1992.63,36,16.6241,180000,36
