Running Forward KL,Running Env Steps,Running Reverse KL,Real Det Return,Reward Loss,Itration,Real Sto Return,Running Update Time
76.0097,0,28.8843,531.17,21.196266174316406,0,-58.52,0
74.3705,5000,26.3261,532.48,-53.426700592041016,1,-29.07,1
73.3237,10000,27.1521,607.26,-105.25908660888672,2,-0.22,2
73.7502,15000,27.8725,611.8,-215.84689331054688,3,41.03,3
71.5166,20000,28.0372,441.63,-251.26292419433594,4,51.28,4
71.8517,25000,29.7041,770.2,-328.9886779785156,5,118.31,5
70.8066,30000,30.2094,705.93,-376.9386291503906,6,156.27,6
71.5539,35000,30.6845,911.79,-492.3667297363281,7,187.06,7
69.0355,40000,29.0126,567.06,-506.62921142578125,8,161.4,8
68.9614,45000,29.0468,322.61,-591.3609619140625,9,107.32,9
68.9228,50000,28.6124,355.61,-641.417724609375,10,155.27,10
68.4948,55000,29.2867,461.88,-747.6487426757812,11,175.24,11
66.6202,60000,28.6396,1091.6,-746.0476684570312,12,287.03,12
66.6656,65000,27.6686,884.12,-783.141845703125,13,287.54,13
63.3399,70000,26.5315,1172.95,-777.2168579101562,14,391.1,14
64.9014,75000,27.4889,1253.79,-882.0448608398438,15,379.57,15
62.1859,80000,26.3176,1063.5,-886.72119140625,16,263.92,16
63.0637,85000,26.3624,1118.27,-965.1683349609375,17,268.55,17
64.7356,90000,26.9825,1037.33,-1079.3482666015625,18,578.15,18
64.0398,95000,26.9552,995.06,-1131.2847900390625,19,283.7,19
62.5007,100000,26.7202,1480.38,-1184.56103515625,20,816.07,20
59.1147,105000,24.2261,1647.03,-1115.6063232421875,21,628.12,21
60.7861,110000,25.1634,1474.45,-1234.2032470703125,22,670.85,22
58.9122,115000,24.3438,1788.11,-1229.4642333984375,23,671.87,23
55.094,120000,23.3557,1599.29,-1077.6373291015625,24,590.86,24
58.8128,125000,24.9839,2014.55,-1328.0809326171875,25,523.03,25
55.2086,130000,23.5617,2494.4,-1172.7354736328125,26,1200.98,26
55.1293,135000,23.0188,1486.55,-1299.54296875,27,719.69,27
56.6403,140000,23.8433,1699.79,-1331.8192138671875,28,845.33,28
56.7763,145000,23.6945,1654.77,-1299.9945068359375,29,1186.66,29
58.0133,150000,25.2202,2222.47,-1374.81640625,30,1473.7,30
59.7153,155000,25.1258,2070.45,-1651.7738037109375,31,1170.38,31
58.909,160000,26.9447,1858.48,-1379.5826416015625,32,974.33,32
57.3916,165000,26.8229,2271.56,-1384.206298828125,33,1880.1,33
56.7166,170000,26.0917,1406.24,-1300.439208984375,34,1460.23,34
56.9129,175000,25.3934,1617.02,-1429.30517578125,35,1733.57,35
56.7856,180000,29.8354,3505.82,-1215.737060546875,36,2841.71,36
59.8568,185000,28.5293,3419.2,-1411.659423828125,37,2417.59,37
59.7255,190000,33.9793,3090.41,-1149.897216796875,38,2347.73,38
59.5987,195000,35.3466,2714.46,-1073.513916015625,39,2186.61,39
61.3948,200000,33.2886,3067.49,-1375.765625,40,2288.69,40
60.2131,205000,31.4024,3418.14,-1440.7406005859375,41,2132.08,41
61.6012,210000,31.1341,2034.65,-1752.913330078125,42,1165.52,42
62.0542,215000,29.52,2300.63,-1853.073974609375,43,1998.63,43
62.3942,220000,37.2094,2685.15,-1414.7540283203125,44,2293.56,44
63.0636,225000,38.6521,2723.22,-1467.5137939453125,45,2286.8,45
63.359,230000,38.6155,2195.41,-1517.446533203125,46,1944.9,46
61.3165,235000,35.7518,2317.91,-1628.7586669921875,47,1410.95,47
63.5974,240000,41.6706,1938.73,-1467.954833984375,48,1588.27,48
64.6231,245000,42.6439,3457.55,-1572.2762451171875,49,2882.97,49
68.6759,250000,53.2404,3015.07,-1304.2822265625,50,2411.26,50
65.3322,255000,47.0041,3745.71,-1367.6727294921875,51,4041.69,51
64.9589,260000,45.1097,3660.81,-1801.77099609375,52,3236.75,52
63.6322,265000,39.8991,2969.99,-1718.135498046875,53,2771.52,53
65.0759,270000,46.4394,3750.69,-1688.8197021484375,54,3029.45,54
65.2142,275000,42.1412,3442.59,-1894.1722412109375,55,3101.25,55
71.0111,280000,60.6907,4113.44,-1435.7608642578125,56,3839.21,56
66.0787,285000,45.3762,3009.06,-1854.357421875,57,2490.56,57
65.8797,290000,46.1939,2682.26,-1854.5997314453125,58,3135.86,58
64.8563,295000,40.4487,3754.29,-2083.640380859375,59,3124.18,59
66.8197,300000,52.1094,3580.58,-1816.822021484375,60,2650.5,60
69.9449,305000,57.397,4331.03,-1802.752685546875,61,4015.06,61
66.9751,310000,52.3169,4464.62,-1837.2392578125,62,4011.79,62
69.3538,315000,63.0261,3787.63,-1924.1348876953125,63,2384.33,63
70.7274,320000,62.125,3058.06,-2008.5029296875,64,3340.44,64
67.7023,325000,61.0034,3741.67,-2107.18310546875,65,4341.56,65
75.7999,330000,69.9405,4064.54,-2008.630126953125,66,3472.08,66
66.7842,335000,52.9716,4516.69,-2203.006591796875,67,2914.22,67
67.1574,340000,51.6784,3921.62,-2223.9677734375,68,3164.92,68
69.5242,345000,58.191,4389.85,-2317.295654296875,69,4159.56,69
70.6874,350000,61.393,4500.57,-2267.565185546875,70,4017.75,70
69.4742,355000,62.4205,3782.78,-2474.994384765625,71,3063.73,71
76.0794,360000,69.636,4339.78,-2294.2265625,72,4068.62,72
75.559,365000,66.4242,4187.91,-2377.962890625,73,3954.54,73
66.6356,370000,41.1221,3886.33,-2944.22705078125,74,3513.05,74
68.4091,375000,55.3076,4645.6,-2508.12060546875,75,3497.04,75
69.5896,380000,59.2856,3929.89,-2656.891357421875,76,3816.35,76
66.141,385000,50.5749,3071.31,-2745.90966796875,77,2862.07,77
78.6698,390000,72.3657,2011.65,-2691.974609375,78,3110.5,78
69.595,395000,60.0007,2771.6,-2746.022216796875,79,3244.78,79
76.7897,400000,67.7952,5155.47,-2718.099609375,80,3806.18,80
72.1615,405000,63.3879,4428.23,-2816.60791015625,81,3506.76,81
69.4023,410000,55.757,4181.22,-3220.260009765625,82,3387.38,82
78.0129,415000,66.7543,4042.99,-3036.400390625,83,3988.71,83
71.2059,420000,61.3585,4312.5,-3106.73779296875,84,4323.46,84
67.4475,425000,52.3547,4680.67,-3242.740966796875,85,3889.16,85
68.2063,430000,52.9599,5031.51,-3176.089111328125,86,4436.25,86
69.254,435000,54.9602,4608.38,-3520.53271484375,87,3837.92,87
70.3823,440000,60.1024,4219.98,-3464.13330078125,88,3929.87,88
68.3167,445000,54.6624,3966.07,-3467.260986328125,89,3712.74,89
75.8489,450000,66.6591,4598.94,-3410.36328125,90,4144.63,90
76.4127,455000,63.4716,4528.21,-3579.185791015625,91,3819.86,91
66.5263,460000,49.4075,4489.37,-3809.152587890625,92,3948.1,92
73.409,465000,63.8145,4972.07,-3646.92578125,93,3209.79,93
68.825,470000,53.679,4687.24,-3820.373291015625,94,4209.66,94
78.1559,475000,68.7317,4281.69,-3884.737548828125,95,4216.95,95
70.3093,480000,58.2583,4226.7,-4052.491455078125,96,3579.07,96
70.9407,485000,58.8848,5065.06,-4050.998046875,97,4254.99,97
75.2833,490000,65.465,4564.9,-4049.65380859375,98,4656.46,98
71.7589,495000,62.4243,3769.28,-4341.78369140625,99,3869.79,99
71.9927,500000,60.7301,4961.89,-4260.25146484375,100,4669.42,100
68.1952,505000,60.623,4564.83,-4408.978515625,101,4197.78,101
75.7992,510000,62.6582,4869.8,-4418.84423828125,102,4439.35,102
