Itration,Running Forward KL,Running Env Steps,Real Sto Return,Running Update Time,Running Reverse KL,Real Det Return,Reward Loss
0,50.3785,0,399.27,0,18.2805,441.71,8.800260543823242
1,50.4748,5000,454.21,1,18.0447,435.64,-35.86758041381836
2,50.036,10000,369.62,2,14.9841,364.64,25.121614456176758
3,50.3531,15000,424.7,3,16.4317,396.05,-4.245206832885742
4,50.4132,20000,379.46,4,19.8731,476.6,-11.933192253112793
5,49.5943,25000,442.34,5,15.2789,440.4,31.09385108947754
6,48.8702,30000,443.09,6,14.0371,373.18,-40.93149185180664
7,48.7223,35000,506.32,7,36.9181,856.84,-125.52616119384766
8,49.2595,40000,476.64,8,24.2239,487.94,-155.43434143066406
9,48.9788,45000,510.82,9,26.8049,660.62,-137.4075164794922
10,49.4449,50000,523.23,10,14.3006,533.37,-90.23600769042969
11,49.2404,55000,509.79,11,37.2918,562.14,-188.29196166992188
12,49.4637,60000,482.93,12,44.6361,509.44,-221.9971160888672
13,49.3134,65000,456.68,13,23.7106,444.32,-178.10073852539062
14,49.1869,70000,593.74,14,26.369,552.41,-207.29159545898438
15,47.8182,75000,552.53,15,12.8538,581.04,-76.05183410644531
16,48.142,80000,656.12,16,12.8971,758.94,-57.143375396728516
17,47.8126,85000,745.77,17,13.9121,819.37,-55.22452163696289
18,47.8151,90000,856.47,18,15.2586,1412.45,-62.418701171875
19,47.1283,95000,934.63,19,17.7553,1497.27,-93.20348358154297
20,47.9798,100000,1341.68,20,15.4043,2135.52,-123.61817169189453
21,48.0123,105000,1566.43,21,17.4899,2156.14,-152.65631103515625
22,47.7524,110000,2003.71,22,16.9669,2340.03,-150.9525604248047
23,47.4216,115000,1428.52,23,15.1023,2191.14,-155.65225219726562
24,47.2363,120000,1133.45,24,15.8556,1998.17,-130.63233947753906
25,47.6148,125000,1631.7,25,17.8807,2373.3,-167.47763061523438
26,47.1038,130000,1181.83,26,15.3453,1013.6,-33.22043991088867
27,47.3013,135000,1580.13,27,14.6337,2403.27,-141.1466064453125
28,47.3328,140000,1658.35,28,15.9138,1464.06,-189.8479766845703
29,47.3062,145000,2333.35,29,15.9864,2357.71,-193.79946899414062
30,47.8927,150000,2365.47,30,21.6069,2510.3,-249.67478942871094
31,48.1714,155000,1957.79,31,20.3772,1936.46,-245.74462890625
32,47.2151,160000,1543.56,32,15.6998,1903.57,-223.17828369140625
33,47.2021,165000,1681.7,33,17.1023,2723.2,-224.81166076660156
34,47.4079,170000,2023.52,34,17.7078,2603.44,-237.54566955566406
35,47.0886,175000,1759.8,35,18.6478,2671.83,-239.07211303710938
36,47.0152,180000,2322.9,36,19.4025,2710.23,-272.9100646972656
37,47.4178,185000,2505.19,37,18.7654,2678.5,-276.40185546875
38,47.5684,190000,2571.08,38,18.9798,2669.73,-293.916015625
39,47.7919,195000,2616.1,39,18.908,2547.28,-292.6698303222656
40,47.8993,200000,2709.3,40,20.08,2596.31,-296.9264221191406
41,48.2903,205000,2589.94,41,19.7857,2474.02,-325.17510986328125
42,47.7006,210000,2759.36,42,20.7033,2674.31,-314.3426818847656
43,48.059,215000,2733.86,43,21.7267,2630.0,-341.99658203125
44,47.4463,220000,2814.68,44,20.7742,2743.16,-339.5440673828125
45,46.229,225000,2623.79,45,20.1458,2755.95,-346.5616455078125
46,47.5859,230000,2830.48,46,21.4193,2752.72,-356.7775573730469
47,47.8407,235000,2754.37,47,21.5443,2662.16,-370.20611572265625
48,47.6924,240000,2856.59,48,20.2792,2801.4,-366.04949951171875
49,47.5241,245000,2892.45,49,21.4799,2837.81,-386.73175048828125
50,47.3304,250000,2765.68,50,20.1607,2735.62,-400.84088134765625
51,47.3478,255000,2620.31,51,17.7942,2675.85,-397.73516845703125
52,47.7908,260000,2920.52,52,24.4123,2995.7,-432.1693115234375
