Running Reverse KL,Running Update Time,Running Env Steps,Real Det Return,Reward Loss,Running Forward KL,Itration,Real Sto Return
12.3324,0,0,408.3,91.810546875,49.0664,0,426.11
13.3111,1,5000,425.39,85.7539291381836,48.8531,1,375.74
15.2084,2,10000,478.22,35.58982849121094,49.3381,2,358.93
15.0071,3,15000,337.85,46.420379638671875,48.0084,3,380.89
17.0792,4,20000,365.32,54.10564041137695,48.3757,4,410.06
12.6802,5,25000,411.82,19.27584457397461,48.5801,5,395.49
12.6172,6,30000,340.39,62.77202224731445,49.0696,6,399.25
12.1502,7,35000,359.0,76.65504455566406,48.8168,7,423.12
12.4013,8,40000,511.17,8.566797256469727,48.6809,8,440.6
13.4372,9,45000,522.07,-1.93864107131958,48.8655,9,445.21
13.5651,10,50000,485.47,-37.242889404296875,48.4552,10,525.34
16.1799,11,55000,586.18,-72.119873046875,48.4284,11,576.28
16.9248,12,60000,591.52,-91.03296661376953,47.8637,12,597.22
25.6141,13,65000,596.8,-106.09469604492188,47.5108,13,595.24
18.8966,14,70000,623.97,-103.16887664794922,47.9663,14,634.85
18.4814,15,75000,635.51,-129.28060913085938,47.7312,15,603.11
21.6203,16,80000,749.15,-132.57862854003906,47.3601,16,704.89
29.3609,17,85000,669.22,-157.36837768554688,47.6417,17,696.12
33.4673,18,90000,873.34,-177.16172790527344,48.0144,18,800.59
30.692,19,95000,1039.59,-183.80355834960938,46.9979,19,882.36
12.3758,20,100000,1062.33,-138.0590362548828,46.9576,20,996.21
15.4646,21,105000,917.4,-142.42124938964844,47.138,21,1191.89
16.9107,22,110000,1108.91,-186.7568817138672,46.6381,22,981.07
21.2183,23,115000,1188.42,-194.20431518554688,46.5835,23,1108.92
20.0346,24,120000,1221.04,-189.244384765625,46.7156,24,1269.38
18.8726,25,125000,2398.08,-157.5251922607422,45.9659,25,1890.96
23.5134,26,130000,1055.33,-211.58750915527344,46.4933,26,1138.17
14.6338,27,135000,2509.01,-168.8094940185547,45.9356,27,1870.98
13.1369,28,140000,2984.37,-148.27923583984375,45.5051,28,1870.59
12.8987,29,145000,945.82,-154.79315185546875,45.94,29,1123.55
12.7128,30,150000,2175.1,-169.53932189941406,45.6018,30,1341.95
13.2277,31,155000,2076.65,-152.20925903320312,44.6589,31,1686.4
22.8639,32,160000,736.28,-203.4448699951172,45.9037,32,1097.26
14.591,33,165000,1447.4,-209.02041625976562,45.5799,33,1150.23
12.2364,34,170000,1609.46,-228.51171875,45.9027,34,1079.74
17.0771,35,175000,1711.96,-213.50949096679688,45.7705,35,1408.36
24.533,36,180000,1041.28,-243.95945739746094,44.3605,36,1822.36
19.7587,37,185000,2164.44,-257.8597717285156,44.5309,37,1653.68
15.0264,38,190000,2878.79,-237.3027801513672,44.236,38,2475.34
15.0581,39,195000,2933.44,-232.2171173095703,43.6165,39,2030.92
14.0188,40,200000,3207.99,-248.94357299804688,43.3052,40,2638.85
15.0172,41,205000,2829.38,-247.70474243164062,43.9722,41,2695.46
12.9699,42,210000,2873.84,-265.24530029296875,43.9201,42,1987.28
13.2397,43,215000,1933.41,-269.9194641113281,43.3437,43,2599.1
13.4365,44,220000,2381.47,-301.8714294433594,43.538,44,2036.68
