Itration,Running Reverse KL,Running Forward KL,Real Det Return,Reward Loss,Running Update Time,Real Sto Return,Running Env Steps
0,21.2772,33.0614,199.89,180.79739379882812,0,196.97,0
1,19.6551,29.8321,322.44,178.30543518066406,1,318.94,5000
2,16.1311,30.0861,284.62,275.7486877441406,2,294.23,10000
3,15.5062,28.7283,382.33,422.78564453125,3,380.87,15000
4,18.1371,26.6831,388.95,196.5659637451172,4,388.86,20000
5,21.0385,27.2916,389.27,107.80780792236328,5,579.22,25000
6,15.5715,26.0775,533.58,131.5820770263672,6,401.36,30000
7,20.0781,26.8812,647.92,177.767333984375,7,630.55,35000
8,18.0888,25.8171,1026.59,162.40911865234375,8,1067.79,40000
9,19.6714,27.2282,711.14,141.46058654785156,9,714.13,45000
10,16.1519,26.9553,712.81,33.0919303894043,10,721.16,50000
11,20.7686,26.0782,728.49,-86.0639419555664,11,759.83,55000
12,16.3624,27.0313,684.58,-104.3373031616211,12,699.71,60000
13,13.2638,26.0923,363.78,-105.74840545654297,13,536.01,65000
14,14.3938,26.5161,774.52,-155.7881317138672,14,767.27,70000
15,14.0111,24.9589,794.25,-166.79408264160156,15,822.92,75000
16,14.0188,25.7084,706.3,-194.29913330078125,16,810.61,80000
17,14.1263,26.532,766.65,-260.5824279785156,17,763.58,85000
18,13.6801,24.6886,937.51,-315.45050048828125,18,1475.81,90000
19,13.3011,24.8923,2208.63,-239.6767120361328,19,1295.64,95000
20,11.7965,24.5508,1115.15,-181.77606201171875,20,1443.55,100000
21,12.1081,23.2756,1044.9,-160.3293914794922,21,1540.02,105000
22,12.953,23.843,2030.38,-229.4713592529297,22,1574.7,110000
23,11.9384,23.0266,1920.34,-210.85691833496094,23,2199.75,115000
24,12.7262,23.3167,2571.16,-346.15765380859375,24,1665.63,120000
25,24.4937,22.4738,2609.26,-290.8296203613281,25,1536.21,125000
26,24.6693,25.4919,930.45,-495.8637390136719,26,896.72,130000
27,15.5756,23.1704,2649.37,-383.0849304199219,27,2162.92,135000
28,14.32,23.4121,1236.69,-469.942626953125,28,1282.65,140000
29,16.1106,24.6401,983.69,-488.1509704589844,29,856.05,145000
30,13.1766,23.1804,2510.35,-356.212646484375,30,1787.38,150000
31,14.9699,24.1442,931.42,-397.644775390625,31,829.15,155000
32,22.1384,24.6763,793.59,-553.3546142578125,32,791.89,160000
33,20.4372,24.6974,983.28,-579.358642578125,33,964.12,165000
34,19.0401,24.2857,962.69,-618.5449829101562,34,935.64,170000
35,14.2732,22.2642,1496.52,-433.35870361328125,35,1416.21,175000
36,10.9912,21.9225,2488.19,-292.0924377441406,36,1214.8,180000
37,12.2492,23.07,1206.4,-483.60601806640625,37,1296.09,185000
38,10.9888,21.3964,3072.19,-321.0498962402344,38,2831.34,190000
39,11.8585,22.3745,1191.83,-482.40869140625,39,1301.9,195000
40,12.111,21.5766,3030.64,-294.7998962402344,40,2904.98,200000
41,11.5052,21.8258,3060.78,-507.8271179199219,41,1989.08,205000
42,11.4658,21.7493,3166.05,-477.77099609375,42,2270.24,210000
43,10.8122,21.2381,1004.4,-620.3375244140625,43,1268.2,215000
