Running Update Time,Running Env Steps,Running Reverse KL,Itration,Reward Loss,Real Det Return,Running Forward KL,Real Sto Return
79,395000,129.0973,79,-6678.333984375,1033.67,304.9117,3773.14
80,400000,109.4565,80,-5579.92724609375,1338.42,308.9363,4161.49
81,405000,106.7945,81,-5436.69580078125,3601.1,299.7312,4783.88
82,410000,100.8461,82,-5424.1552734375,2722.17,303.7525,4670.65
83,415000,116.9999,83,-6431.72412109375,1122.68,311.9903,3982.92
84,420000,160.0644,84,-8099.6962890625,1464.13,323.8725,2655.91
85,425000,134.0973,85,-7576.80224609375,696.11,316.6335,4052.5
86,430000,103.2718,86,-6025.2763671875,1718.75,301.4318,4570.36
87,435000,103.6408,87,-6088.75048828125,2041.28,303.0974,4630.51
88,440000,99.9534,88,-6044.3271484375,1508.43,292.5691,4856.16
89,445000,158.2447,89,-8138.47265625,578.03,324.6246,3378.69
90,450000,99.6043,90,-6334.82080078125,1089.51,300.0002,4082.11
91,455000,154.2959,91,-8936.53125,1354.24,327.7555,3238.82
92,460000,107.3464,92,-7027.2314453125,2871.02,302.455,4090.47
93,465000,106.5919,93,-7211.12158203125,1571.97,308.7715,4445.74
94,470000,99.3362,94,-7217.11181640625,1413.67,298.1904,4990.77
95,475000,109.3602,95,-7697.65673828125,1387.16,301.1244,5102.64
96,480000,166.1611,96,-9171.65625,1248.5,330.5963,2452.98
97,485000,146.4983,97,-9020.2919921875,1906.53,317.1652,3059.41
98,490000,106.7753,98,-8108.26220703125,2419.21,313.0033,4290.57
99,495000,99.0215,99,-8050.4228515625,1042.15,305.1953,4539.67
100,500000,115.5616,100,-8695.7470703125,1380.39,310.9588,4192.5
101,505000,115.2374,101,-8705.09765625,819.16,309.1523,3861.11
102,510000,115.7422,102,-9013.271484375,2259.53,315.1933,4544.05
103,515000,106.8375,103,-8865.451171875,2334.19,295.3285,4963.35
104,520000,112.0949,104,-8897.7724609375,2104.49,317.3938,4353.03
105,525000,118.4678,105,-9092.0244140625,3179.37,311.6038,4120.96
106,530000,112.3402,106,-9120.462890625,620.5,309.0762,4473.59
107,535000,103.5757,107,-9044.9345703125,2788.32,307.3087,4734.01
108,540000,102.5635,108,-9307.5107421875,3909.18,299.2822,4955.29
109,545000,99.6467,109,-9529.6376953125,1438.67,300.9886,4831.38
110,550000,119.214,110,-9334.88671875,3521.3,319.844,4519.85
111,555000,139.0488,111,-9504.98046875,4326.19,326.059,4648.53
112,560000,109.734,112,-9588.8828125,2461.58,314.6094,4311.61
113,565000,122.7761,113,-9848.5458984375,2952.32,328.6807,4056.12
114,570000,93.8804,114,-10170.6240234375,4754.76,299.1431,4948.15
115,575000,109.538,115,-10159.1220703125,2741.86,308.815,4584.54
116,580000,98.0031,116,-10216.466796875,4098.55,303.9504,4752.31
117,585000,107.9142,117,-10205.9921875,2226.96,314.4753,4339.1
118,590000,137.2851,118,-11114.0791015625,3681.44,337.3852,4303.28
119,595000,113.6558,119,-11129.1103515625,4245.32,318.0974,4664.99
120,600000,108.6474,120,-11286.5810546875,3609.63,308.5523,3964.01
121,605000,110.5227,121,-10906.6064453125,4597.73,319.7599,4346.34
122,610000,109.5153,122,-11473.0087890625,5046.46,302.4723,5000.83
123,615000,106.4632,123,-11562.6083984375,4321.34,297.1729,4528.2
124,620000,109.414,124,-11888.978515625,2819.23,309.665,4876.38
125,625000,112.4964,125,-12081.375,3042.33,313.0952,4742.17
126,630000,94.6455,126,-11811.8154296875,2598.85,295.6244,4954.48
127,635000,103.8407,127,-11844.9140625,3214.8,313.2092,4175.18
128,640000,92.1099,128,-12226.7587890625,4332.87,301.7232,4160.72
129,645000,109.5665,129,-12508.3427734375,1081.26,306.9373,4747.32
130,650000,93.5029,130,-12467.1806640625,4873.79,296.6972,4871.51
131,655000,105.3392,131,-12822.1376953125,3674.95,302.3854,4876.59
132,660000,107.0077,132,-13195.2041015625,4482.74,313.2786,4913.99
133,665000,101.6163,133,-12781.23828125,2790.76,291.4916,4702.62
134,670000,108.9259,134,-13545.8828125,1613.77,312.0734,4826.55
135,675000,118.0846,135,-12865.13671875,5170.45,286.373,5081.69
136,680000,100.8269,136,-13412.169921875,4482.94,300.2882,4744.66
137,685000,100.2465,137,-13299.1318359375,5196.34,299.5324,4580.32
138,690000,100.5876,138,-13703.8662109375,2058.28,295.6512,4935.19
139,695000,85.023,139,-13644.5849609375,2239.58,287.467,4534.02
140,700000,88.2926,140,-13585.05078125,4966.35,290.7662,4674.24
141,705000,118.2569,141,-13475.0830078125,1734.44,308.4207,3748.01
142,710000,90.7486,142,-13998.70703125,2742.33,295.0825,4422.54
143,715000,91.6551,143,-13935.8212890625,3071.54,288.527,4331.98
144,720000,89.4883,144,-14134.2041015625,4651.84,291.7449,4963.74
145,725000,109.1944,145,-13741.443359375,1271.08,291.7544,3964.12
146,730000,124.7137,146,-13837.9765625,3015.4,298.1911,4732.29
147,735000,96.8865,147,-14313.1259765625,5058.09,303.3587,4666.19
148,740000,89.8278,148,-14724.85546875,3480.49,294.8793,4673.3
149,745000,112.6343,149,-14764.876953125,3601.96,312.3062,4375.42
150,750000,77.4027,150,-14368.1259765625,4787.54,282.6616,4746.57
151,755000,116.6666,151,-14598.3759765625,2087.67,310.1672,4247.21
152,760000,91.4329,152,-14654.3251953125,5127.2,298.4482,4934.89
153,765000,84.9566,153,-14678.8076171875,4915.2,296.3731,4812.89
154,770000,80.1386,154,-14574.6767578125,4603.19,287.4047,4633.25
155,775000,86.2836,155,-14754.64453125,4761.15,294.5063,4821.9
156,780000,106.0804,156,-14856.982421875,4806.04,295.3705,4973.08
157,785000,83.2078,157,-14880.8017578125,4653.97,289.3654,4316.77
158,790000,90.4769,158,-15433.7138671875,4990.74,295.456,4974.83
159,795000,99.1355,159,-15161.775390625,3874.96,301.205,4675.5
160,800000,114.8172,160,-15049.2744140625,3843.13,297.6876,4184.04
161,805000,92.0514,161,-14962.056640625,3658.3,290.9846,4649.82
162,810000,83.0467,162,-15393.5234375,4763.34,290.5902,4706.29
163,815000,84.3904,163,-15403.01171875,3544.72,292.4497,4672.51
164,820000,101.9957,164,-14774.248046875,4714.99,291.5571,4419.81
165,825000,88.2983,165,-15516.189453125,4119.64,291.6642,4911.63
166,830000,87.3822,166,-15670.06640625,5053.9,289.0655,4959.1
167,835000,108.9081,167,-15448.9365234375,4210.68,291.9105,4803.33
168,840000,84.9909,168,-15897.107421875,4305.95,295.1209,4742.96
169,845000,85.1937,169,-15835.8125,4620.82,293.5065,5055.94
170,850000,92.7706,170,-15959.9482421875,3740.36,294.4958,4878.89
171,855000,96.1382,171,-15715.837890625,4450.9,289.924,5127.76
172,860000,98.5154,172,-15765.947265625,3509.12,296.8761,4320.19
173,865000,87.1929,173,-16004.23046875,3984.21,287.9167,4688.44
174,870000,88.2635,174,-16094.380859375,5425.41,290.8226,4857.33
175,875000,80.2686,175,-15964.693359375,5016.64,288.8103,4972.14
176,880000,80.2652,176,-16251.30078125,4552.71,284.7924,4976.47
177,885000,85.7754,177,-16212.6044921875,4960.29,292.1226,4856.12
178,890000,93.87,178,-16132.2744140625,4495.74,293.8303,4782.1
179,895000,128.1518,179,-16136.005859375,3844.62,306.4094,5096.17
180,900000,83.6658,180,-16216.3544921875,4840.46,292.0302,5045.37
181,905000,84.1883,181,-16402.04296875,5039.75,288.1887,5006.07
182,910000,85.198,182,-16415.470703125,4741.2,291.1604,4914.17
183,915000,98.8376,183,-16130.1005859375,4820.07,287.919,5076.57
184,920000,89.9317,184,-16500.90234375,4833.33,302.0987,4891.29
185,925000,91.6425,185,-16187.4755859375,4812.0,292.3701,4745.35
186,930000,101.034,186,-16310.0810546875,4782.62,293.3101,5032.93
187,935000,78.7147,187,-16469.21484375,4065.56,285.6261,4875.79
188,940000,82.0282,188,-16649.0703125,4752.91,287.0632,4614.39
189,945000,94.947,189,-16342.2734375,4539.04,294.128,4322.56
190,950000,92.8309,190,-16293.876953125,4882.26,293.8935,5111.75
191,955000,86.8783,191,-16316.7041015625,4220.53,295.1504,4786.49
192,960000,89.9793,192,-16214.3212890625,3626.88,291.891,4853.15
193,965000,77.9063,193,-16536.533203125,3199.35,283.6299,5162.02
194,970000,76.7795,194,-16350.6279296875,4485.81,286.7369,4474.34
195,975000,82.5402,195,-16443.23046875,4935.67,285.4863,4788.9
196,980000,84.239,196,-16332.5517578125,4321.39,285.884,4574.05
197,985000,82.4974,197,-16730.9765625,4710.33,291.9583,4884.95
198,990000,81.7588,198,-16837.390625,4706.92,290.4012,4956.22
199,995000,83.5055,199,-16889.546875,4686.61,289.9251,4975.77
200,1000000,92.5349,200,-16451.27734375,3844.82,288.9561,4691.39
201,1005000,74.9766,201,-16620.908203125,3223.17,283.3638,4648.23
202,1010000,76.5232,202,-16785.330078125,4694.97,283.4261,4885.74
203,1015000,77.0855,203,-16774.9140625,3740.56,284.1094,4704.29
204,1020000,76.8869,204,-17006.240234375,2997.94,283.6695,5100.68
205,1025000,114.5121,205,-16097.880859375,3940.5,292.5308,4558.22
206,1030000,82.6056,206,-16631.22265625,3572.54,286.3231,4985.47
207,1035000,116.3505,207,-16619.2890625,2731.6,297.326,4503.68
208,1040000,78.7457,208,-17143.75390625,3601.9,282.1144,4784.03
209,1045000,80.4154,209,-16884.484375,2751.94,286.2008,4549.73
210,1050000,83.4228,210,-17119.833984375,4576.28,283.3091,4992.7
