Itration,Real Det Return,Running Update Time,Running Env Steps,Real Sto Return,Running Reverse KL,Running Forward KL,Reward Loss
79,325.0,79,395000,323.5,47.7027,31.7907,-3031.48876953125
80,178.69,80,400000,177.35,68.6419,33.2598,-2575.15673828125
81,1045.17,81,405000,1044.95,78.7482,34.5144,-3696.664794921875
82,266.82,82,410000,266.98,111.8462,31.2246,-3422.3603515625
83,250.22,83,415000,248.47,41.5113,31.336,-3407.781982421875
84,272.31,84,420000,271.91,42.8086,33.1785,-3669.785400390625
85,218.81,85,425000,211.3,33.4813,32.5764,-3474.0048828125
86,183.93,86,430000,194.63,74.8678,32.2567,-3418.156494140625
87,218.27,87,435000,230.56,21.4536,32.5415,-2873.069580078125
88,186.88,88,440000,191.42,23.9036,32.166,-3278.481201171875
89,384.28,89,445000,456.45,26.0109,32.3432,-3464.160400390625
90,552.98,90,450000,517.45,35.4399,32.5336,-3489.79052734375
91,468.77,91,455000,572.77,73.3098,32.0303,-3073.8662109375
92,1067.19,92,460000,1067.01,26.2244,33.7462,-2618.68603515625
93,1000.41,93,465000,841.3,23.4939,32.928,-3017.23583984375
94,1110.69,94,470000,1109.93,26.1644,33.9132,-2795.274169921875
95,1122.94,95,475000,1125.14,24.0744,33.7612,-2937.019775390625
96,361.36,96,480000,351.97,158.1386,32.7496,-3670.978271484375
97,856.79,97,485000,805.86,26.1248,33.1811,-2996.900390625
98,1222.28,98,490000,1222.48,24.9453,33.3115,-2513.102783203125
99,570.55,99,495000,571.58,112.0305,32.851,-3668.521240234375
100,1059.73,100,500000,1062.17,28.9612,33.9839,-4242.30126953125
101,1090.66,101,505000,1090.13,22.8908,34.0185,-4050.26025390625
102,1125.95,102,510000,1127.66,19.8583,33.1002,-3533.299560546875
103,1093.81,103,515000,1090.94,19.5212,32.9401,-3606.11572265625
104,1193.02,104,520000,1190.76,21.9611,32.9306,-3073.622314453125
105,1233.35,105,525000,1232.11,21.5348,32.8467,-3213.72216796875
