Running Env Steps,Itration,Running Update Time,Running Forward KL,Reward Loss,Real Det Return,Real Sto Return,Running Reverse KL
0,0,0,75.494,88.92953491210938,582.19,-136.27,27.0073
5000,1,1,73.5638,72.31126403808594,519.22,-12.67,26.9691
10000,2,2,71.7846,43.886959075927734,644.97,13.86,28.3896
15000,3,3,71.1262,31.303882598876953,652.69,37.07,31.662
20000,4,4,73.9353,18.720130920410156,737.56,59.55,30.9326
25000,5,5,74.258,3.1448826789855957,563.76,70.77,33.0485
30000,6,6,74.086,-10.973836898803711,748.77,128.4,31.6337
35000,7,7,74.7253,-29.438488006591797,761.74,132.73,33.4391
40000,8,8,74.6462,-43.55519485473633,827.57,134.07,33.1923
45000,9,9,74.1774,-58.956966400146484,719.75,145.47,33.4863
50000,10,10,72.7488,-75.15804290771484,765.49,157.83,33.0027
55000,11,11,73.589,-95.14248657226562,540.07,174.07,35.3648
60000,12,12,73.1978,-103.00048828125,561.17,127.64,33.5602
65000,13,13,74.5754,-118.71537780761719,805.36,196.2,33.5042
70000,14,14,72.5684,-133.5825653076172,953.09,224.23,33.288
75000,15,15,73.0596,-145.60325622558594,780.94,209.48,32.3211
80000,16,16,73.0952,-161.1211700439453,796.7,211.33,32.1316
85000,17,17,73.0017,-174.0689697265625,798.39,184.7,33.1672
90000,18,18,74.0789,-190.22470092773438,622.25,195.52,31.7491
95000,19,19,74.2365,-203.53611755371094,721.44,169.24,32.6558
100000,20,20,73.8647,-219.9970245361328,768.42,234.41,32.3452
105000,21,21,74.2307,-228.8365020751953,684.55,154.22,32.3135
110000,22,22,72.9238,-251.8702392578125,610.27,139.95,32.7709
115000,23,23,73.0517,-261.3791198730469,728.62,159.22,31.5713
120000,24,24,73.983,-275.3109436035156,770.47,166.75,31.625
125000,25,25,71.4703,-284.4740295410156,857.55,155.01,31.7023
130000,26,26,74.4866,-304.7101135253906,773.78,196.8,32.0516
135000,27,27,73.2252,-319.6191101074219,805.84,217.56,31.9734
140000,28,28,71.5079,-333.18597412109375,840.95,169.24,30.9305
145000,29,29,71.3077,-349.9290466308594,638.77,145.79,31.3581
150000,30,30,72.5512,-364.9801025390625,510.23,166.03,31.171
155000,31,31,72.7446,-386.4474182128906,750.27,208.09,32.5292
160000,32,32,74.5425,-398.46710205078125,707.0,180.47,31.608
165000,33,33,72.0257,-411.707275390625,616.62,263.43,32.1511
170000,34,34,71.4869,-426.1202087402344,792.14,235.47,32.4094
175000,35,35,73.4748,-442.118896484375,667.37,182.82,31.57
180000,36,36,69.9203,-458.7464599609375,600.32,249.33,32.5601
185000,37,37,70.426,-468.7690124511719,691.01,199.06,31.592
190000,38,38,69.9623,-486.4021911621094,600.99,246.6,31.6865
195000,39,39,75.315,-512.9915771484375,685.41,214.01,31.3625
200000,40,40,72.4279,-522.6497802734375,865.82,212.05,31.3714
205000,41,41,71.5125,-534.2628784179688,976.19,310.84,31.1492
