Itration,Reward Loss,Running Forward KL,Running Update Time,Real Det Return,Running Env Steps,Running Reverse KL,Real Sto Return
0,26.211872100830078,158.5433,0,-3.96,0,12.2349,-202.94
1,-23.012205123901367,158.4578,1,208.27,5000,11.6506,-139.58
2,-67.96775817871094,158.3012,2,324.85,10000,11.7431,62.77
3,-119.8037338256836,158.3253,3,442.29,15000,12.3381,149.51
4,-182.4202423095703,158.2374,4,683.06,20000,12.7549,353.94
5,-214.9739532470703,158.0487,5,853.91,25000,13.3068,451.93
6,-265.8524475097656,158.1395,6,1069.13,30000,13.6633,607.9
7,-310.6501770019531,158.0506,7,954.49,35000,14.399,666.79
8,-341.3941955566406,157.9695,8,1023.96,40000,13.8514,721.81
9,-370.8622131347656,157.8006,9,945.04,45000,14.5324,733.47
10,-413.7087707519531,157.5614,10,1316.89,50000,14.203,898.33
11,-448.385009765625,157.3317,11,1728.62,55000,15.2242,1035.92
12,-482.5594787597656,157.4143,12,1502.1,60000,15.0949,1058.48
13,-503.44549560546875,156.8884,13,1999.71,65000,13.5431,1539.22
14,-558.0524291992188,156.8719,14,2511.31,70000,13.8383,1788.74
15,-619.0714721679688,156.8911,15,3234.43,75000,15.4501,2599.01
16,-647.8271484375,157.1717,16,3370.59,80000,15.8543,2744.78
17,-679.2907104492188,157.0446,17,3610.86,85000,16.1146,3087.26
18,-725.4503784179688,156.6447,18,4069.15,90000,16.7525,3548.47
19,-757.4421997070312,156.0954,19,4356.01,95000,16.3253,3693.46
20,-785.8642578125,156.5572,20,4397.71,100000,17.6007,4004.01
21,-840.9801025390625,156.5259,21,4428.8,105000,17.0834,3921.67
22,-841.2776489257812,155.9119,22,4846.67,110000,17.1653,4332.0
23,-868.5507202148438,155.6096,23,5222.16,115000,17.0774,4644.96
24,-878.09375,155.281,24,5259.97,120000,17.4333,4854.72
25,-910.95361328125,155.369,25,5426.41,125000,16.9615,4969.47
26,-935.6897583007812,154.1706,26,5596.68,130000,16.7396,5172.36
27,-962.9542846679688,154.4984,27,5772.0,135000,16.5714,5337.71
28,-976.88427734375,153.427,28,5996.61,140000,16.1907,5453.36
29,-1005.6737670898438,153.4469,29,6194.92,145000,16.2001,5550.93
30,-1026.8209228515625,152.7255,30,6519.8,150000,15.7289,5600.61
31,-1060.7901611328125,152.8569,31,6360.31,155000,15.0468,5892.76
32,-1084.2864990234375,152.8292,32,6653.2,160000,16.2622,5920.19
33,-1072.7786865234375,152.1211,33,6940.41,165000,15.3045,6148.93
34,-1097.6407470703125,151.7953,34,6942.88,170000,15.146,6386.59
35,-1119.010986328125,151.6136,35,7198.99,175000,15.8816,6613.61
36,-1118.072509765625,151.5476,36,7326.02,180000,15.4763,6719.24
37,-1153.0867919921875,151.4615,37,7277.24,185000,15.4432,6618.07
38,-1174.0614013671875,151.1756,38,7571.63,190000,15.9635,6963.51
39,-1159.83154296875,151.1107,39,7463.9,195000,15.5779,6576.44
40,-1224.109375,151.2244,40,7494.44,200000,16.0698,7199.4
41,-1197.791748046875,150.5799,41,7400.08,205000,15.8397,7090.05
42,-1258.417724609375,150.5846,42,7858.87,210000,16.0973,7325.64
43,-1266.0302734375,150.5621,43,8047.54,215000,16.4853,7484.41
44,-1252.5098876953125,150.3601,44,8064.18,220000,15.5853,7535.01
45,-1319.1317138671875,150.9365,45,7814.42,225000,16.0198,6846.65
46,-1320.831298828125,150.475,46,8223.62,230000,16.0311,7634.89
47,-1356.5723876953125,150.0948,47,8421.66,235000,16.8745,7526.99
48,-1366.6868896484375,150.042,48,8262.05,240000,16.5601,7720.4
49,-1371.270263671875,149.9877,49,8535.69,245000,16.5625,8043.18
50,-1390.0384521484375,149.5477,50,8797.94,250000,16.5051,8088.49
51,-1427.431884765625,150.0266,51,8340.6,255000,16.3438,7881.83
52,-1419.3157958984375,149.5913,52,8845.56,260000,16.7123,8159.36
53,-1456.854736328125,149.4534,53,8761.56,265000,16.0664,8261.1
54,-1496.8597412109375,149.877,54,8692.33,270000,17.2411,8267.84
55,-1481.2073974609375,149.2682,55,8939.44,275000,16.8311,8193.92
56,-1535.8092041015625,149.7589,56,8663.39,280000,16.7968,8197.53
57,-1521.0362548828125,149.2973,57,8927.82,285000,16.8231,8109.29
58,-1559.612548828125,149.7015,58,8441.38,290000,16.8999,8308.03
59,-1539.3009033203125,149.1164,59,9147.82,295000,17.0111,8639.47
60,-1594.48876953125,149.6389,60,8828.2,300000,17.3087,8448.78
61,-1632.1007080078125,149.1097,61,9230.48,305000,16.0711,8352.83
62,-1606.2945556640625,149.2114,62,9294.38,310000,17.6484,8632.71
63,-1633.1826171875,148.9204,63,9344.96,315000,17.5436,8806.91
64,-1610.3851318359375,149.1221,64,9248.27,320000,17.0549,8800.92
65,-1666.078369140625,148.0014,65,9308.94,325000,16.1753,8961.89
66,-1720.92529296875,148.6014,66,9259.86,330000,17.4341,8799.87
67,-1693.5384521484375,148.7918,67,9557.41,335000,17.1692,8976.45
68,-1716.968017578125,147.8264,68,9488.22,340000,16.9389,8363.27
69,-1697.3426513671875,148.0579,69,9778.68,345000,17.874,9104.02
70,-1726.8211669921875,148.3415,70,9351.73,350000,17.9825,8988.23
71,-1720.5125732421875,147.6601,71,9900.0,355000,17.7071,9188.43
72,-1761.2003173828125,147.6945,72,9558.85,360000,17.26,9067.04
73,-1780.73046875,147.4149,73,9646.94,365000,17.5963,8821.12
74,-1883.117919921875,148.0314,74,8919.05,370000,15.8653,8348.01
