Real Det Return,Running Update Time,Running Env Steps,Itration,Running Reverse KL,Running Forward KL,Reward Loss,Real Sto Return
261.75,0,0,0,25.506,74.5386,98.00613403320312,-38.3
562.77,1,5000,1,26.1335,74.9879,3.9907848834991455,-67.67
726.85,2,10000,2,26.065,75.3697,-116.20747375488281,-15.96
492.25,3,15000,3,26.634,73.6485,-173.08892822265625,-13.75
538.19,4,20000,4,26.9159,72.911,-244.83218383789062,25.83
514.37,5,25000,5,28.3614,73.4898,-285.7821960449219,39.67
709.57,6,30000,6,29.2418,72.3824,-360.3622741699219,96.76
629.31,7,35000,7,29.2243,71.33,-420.60833740234375,87.89
921.08,8,40000,8,29.427,72.0763,-479.10894775390625,145.18
637.29,9,45000,9,30.3622,71.4523,-581.6815795898438,142.1
761.41,10,50000,10,31.7098,71.6998,-651.7626953125,187.75
741.23,11,55000,11,30.9476,72.9876,-685.1380615234375,145.49
613.11,12,60000,12,32.2346,71.955,-776.3673706054688,141.61
749.66,13,65000,13,30.0522,69.4179,-764.0943603515625,203.22
684.38,14,70000,14,31.446,70.448,-880.913330078125,231.44
600.59,15,75000,15,30.5558,71.2546,-932.3687744140625,157.81
780.51,16,80000,16,31.1463,72.243,-1012.2368774414062,168.78
623.74,17,85000,17,30.7669,71.9438,-1074.0826416015625,175.85
768.91,18,90000,18,30.2478,72.6327,-1146.6455078125,257.94
958.07,19,95000,19,30.341,70.5238,-1171.04248046875,205.02
900.22,20,100000,20,30.3873,69.4223,-1218.899169921875,306.45
1020.93,21,105000,21,30.4719,70.2546,-1282.8836669921875,228.3
969.21,22,110000,22,31.0113,70.4187,-1410.2904052734375,283.24
1096.03,23,115000,23,31.1626,71.5756,-1464.4549560546875,243.34
953.77,24,120000,24,30.1787,69.5377,-1507.6279296875,229.84
866.33,25,125000,25,30.1339,70.7948,-1557.464111328125,279.24
903.79,26,130000,26,30.9954,73.1839,-1686.1214599609375,226.28
969.13,27,135000,27,31.1889,71.7318,-1739.609619140625,218.03
884.07,28,140000,28,31.4533,73.9209,-1811.4119873046875,212.75
928.09,29,145000,29,30.5517,71.7911,-1866.09912109375,246.37
858.4,30,150000,30,30.4445,71.8488,-1939.8433837890625,211.64
761.97,31,155000,31,30.2323,70.1504,-1982.29345703125,234.07
925.7,32,160000,32,30.5127,71.3435,-2058.062744140625,313.88
