Reward Loss,Running Update Time,Real Sto Return,Real Det Return,Running Forward KL,Running Env Steps,Running Reverse KL,Itration
-5956.5830078125,0,245.12,191.41,453.7672,0,266.5625,0
-6412.74560546875,1,268.87,267.23,445.5872,5000,348.99,1
-5725.21435546875,2,402.17,355.47,424.1844,10000,261.2744,2
-6848.77001953125,3,424.86,449.97,419.0895,15000,281.1957,3
-6818.84130859375,4,423.31,531.59,440.209,20000,263.4125,4
-6078.62353515625,5,412.72,317.4,445.1254,25000,240.8285,5
-6713.0458984375,6,466.3,491.89,416.2007,30000,256.6303,6
-7087.8095703125,7,458.07,427.08,423.4051,35000,244.5482,7
-7230.52294921875,8,450.57,556.15,410.0843,40000,260.913,8
-6925.5849609375,9,430.47,498.39,419.9803,45000,251.4874,9
-7319.583984375,10,443.23,529.53,411.6782,50000,269.8863,10
-7336.08447265625,11,471.71,506.71,422.6354,55000,270.253,11
-8227.0078125,12,409.63,347.91,439.4602,60000,285.2634,12
-7934.6005859375,13,489.26,435.84,403.3714,65000,258.7289,13
-7940.6357421875,14,565.9,511.31,418.5433,70000,258.7326,14
-8339.9736328125,15,600.61,640.62,399.7607,75000,266.2578,15
-8593.90625,16,571.44,610.54,411.3784,80000,270.8421,16
-8636.837890625,17,544.75,563.17,397.7338,85000,266.7646,17
-8402.767578125,18,513.69,571.13,401.5417,90000,249.5256,18
-8736.474609375,19,628.71,438.04,414.9847,95000,258.3251,19
-8936.7470703125,20,551.79,450.27,415.1625,100000,248.9441,20
-9536.5751953125,21,616.26,601.79,396.2927,105000,267.4053,21
-9514.015625,22,625.65,640.62,388.6136,110000,265.7009,22
-9352.3671875,23,599.7,528.13,409.0421,115000,255.3556,23
-9635.724609375,24,570.31,573.51,405.4816,120000,239.3112,24
-9847.353515625,25,657.64,739.16,402.4717,125000,255.1484,25
-10089.80859375,26,618.28,513.38,413.9502,130000,254.7962,26
-10560.322265625,27,725.97,673.44,405.3808,135000,277.7105,27
-9874.7001953125,28,657.25,612.24,409.5202,140000,251.215,28
-10302.7900390625,29,773.6,603.23,399.954,145000,247.4367,29
-10592.875,30,722.5,687.56,406.2169,150000,252.2204,30
-10203.6201171875,31,639.15,554.83,394.0318,155000,234.3785,31
-10097.3447265625,32,661.48,687.56,370.0188,160000,232.6114,32
-10886.2275390625,33,798.41,679.41,408.7921,165000,251.0594,33
-10569.580078125,34,785.17,827.32,382.7899,170000,236.3331,34
-10915.927734375,35,844.24,676.18,396.8747,175000,247.5397,35
-11286.0654296875,36,712.43,481.19,383.8074,180000,248.7773,36
-11169.9580078125,37,879.48,710.56,391.2253,185000,234.0729,37
-10645.1474609375,38,1148.44,778.97,360.0565,190000,221.802,38
-10457.279296875,39,1014.32,877.06,361.2321,195000,215.4774,39
-11422.671875,40,851.97,663.4,387.2709,200000,245.5847,40
-11284.0244140625,41,942.93,865.12,384.68,205000,234.8634,41
-11851.1630859375,42,941.81,650.17,385.4371,210000,249.8854,42
-11318.9580078125,43,924.45,798.82,386.1981,215000,262.3105,43
