Reward Loss,Running Reverse KL,Running Update Time,Real Sto Return,Itration,Real Det Return,Running Env Steps,Running Forward KL
-97.81808471679688,18.3512,0,286.09,0,339.45,0,33.8016
-142.66505432128906,24.3548,1,342.0,1,350.69,5000,37.03
-151.1566925048828,24.6324,2,193.67,2,179.59,10000,37.6038
-153.5895538330078,20.2596,3,431.1,3,462.55,15000,32.5221
-150.07281494140625,28.0746,4,732.52,4,735.06,20000,31.878
-158.13902282714844,29.9055,5,744.52,5,732.94,25000,32.6894
-160.3566131591797,43.0342,6,116.22,6,29.33,30000,32.4797
-141.1278839111328,70.7459,7,824.35,7,847.25,35000,30.3303
-164.59188842773438,61.1745,8,535.14,8,452.01,40000,31.2774
-197.22921752929688,28.8368,9,614.81,9,623.41,45000,31.6256
-164.89707946777344,22.1585,10,1014.53,10,983.81,50000,29.6296
-119.60360717773438,29.8604,11,906.88,11,1010.89,55000,30.3853
-206.78082275390625,48.9272,12,705.49,12,697.96,60000,31.158
-145.3036651611328,24.6992,13,642.91,13,709.03,65000,32.5785
-154.76797485351562,33.6312,14,1309.09,14,1305.02,70000,31.6622
-71.66768646240234,19.3953,15,742.92,15,731.38,75000,30.9407
-210.95144653320312,21.5108,16,609.68,16,341.22,80000,34.1871
-214.92636108398438,27.3746,17,821.62,17,881.88,85000,30.5482
-89.08171844482422,14.6212,18,1001.77,18,1309.63,90000,30.4273
-79.8617935180664,12.6819,19,2588.82,19,2818.74,95000,29.6245
-88.9977798461914,14.5843,20,2622.57,20,2975.39,100000,30.0254
-237.08912658691406,76.5808,21,1157.05,21,1433.4,105000,29.6171
-87.50128936767578,13.6786,22,2644.84,22,2959.18,110000,29.6777
-125.6073989868164,15.2076,23,2092.57,23,2304.52,115000,29.9567
-85.98294830322266,13.3414,24,2855.27,24,2816.49,120000,29.7657
