Running Env Steps,Itration,Real Sto Return,Running Reverse KL,Real Det Return,Running Update Time,Running Forward KL,Reward Loss
0,0,238.66,20.5653,245.72,0,30.819,-64.3065185546875
5000,1,263.8,19.9107,266.69,1,29.9167,-93.59742736816406
10000,2,295.11,22.8173,298.0,2,28.2104,-461.1661682128906
15000,3,348.97,36.4205,349.13,3,26.5691,-691.7139892578125
20000,4,341.59,35.9225,389.57,4,27.3786,-384.29241943359375
25000,5,544.73,31.6188,709.72,5,26.8746,-429.74322509765625
30000,6,705.55,108.2042,729.81,6,26.4805,-915.4591674804688
35000,7,958.57,40.6101,658.08,7,24.9067,-223.01071166992188
40000,8,1243.81,33.838,300.0,8,24.9621,-278.7357177734375
45000,9,993.97,83.4186,1109.29,9,25.7346,-825.9047241210938
50000,10,1120.07,80.5411,1286.73,10,25.6489,-831.0313110351562
55000,11,772.35,54.1427,400.42,11,25.2666,-607.821044921875
60000,12,1182.65,62.3108,1258.38,12,24.9922,-400.9635009765625
65000,13,1989.17,35.9233,2766.5,13,25.1708,-210.91758728027344
70000,14,2015.69,41.4603,3046.75,14,24.8525,-316.74334716796875
75000,15,1765.38,44.5691,3005.92,15,24.891,-391.02301025390625
80000,16,1355.03,91.6672,1356.96,16,24.6583,-861.5357055664062
85000,17,1480.26,77.4117,1801.57,17,25.9025,-588.9381713867188
90000,18,1462.53,71.9003,2191.52,18,25.3557,-671.236572265625
95000,19,1457.34,68.9791,1569.29,19,25.9176,-872.1874389648438
100000,20,1504.45,51.5359,1879.45,20,25.6328,-919.6548461914062
105000,21,1636.44,74.2211,2064.45,21,24.6817,-871.2011108398438
110000,22,1613.58,96.0681,2061.0,22,25.2726,-1208.800048828125
115000,23,1310.67,66.198,1396.12,23,25.984,-1062.5084228515625
120000,24,1555.64,52.7249,2299.85,24,25.943,-1161.02197265625
125000,25,2151.0,30.7522,3213.3,25,25.027,-658.6683959960938
130000,26,3049.48,31.5023,3216.95,26,24.7287,-646.947021484375
135000,27,197.41,73.1631,197.54,27,26.3384,-1615.626220703125
140000,28,2356.46,22.6699,3286.95,28,24.5763,-347.209716796875
145000,29,1956.62,28.5353,3265.13,29,25.5485,-752.4852905273438
150000,30,2798.88,23.5264,3197.82,30,24.468,-662.4004516601562
155000,31,3141.99,22.0006,3230.98,31,24.8368,-402.7058410644531
160000,32,3191.05,15.5749,3274.92,32,24.7739,-135.10137939453125
165000,33,2949.1,17.4065,3230.7,33,23.9304,-267.8572082519531
170000,34,3248.1,15.5409,3260.69,34,23.8902,-134.5858154296875
175000,35,2892.18,17.2228,3189.34,35,24.2032,-396.7974853515625
180000,36,3027.96,19.4206,3240.28,36,23.5292,-365.5289611816406
185000,37,2892.53,26.4294,3235.77,37,24.056,-578.846923828125
190000,38,3018.02,19.8752,3260.83,38,24.5026,-272.4466857910156
195000,39,3242.63,27.7963,3276.73,39,24.1393,-745.7305908203125
200000,40,2845.97,22.0505,3278.95,40,24.1546,-503.9043273925781
