Itration,Real Sto Return,Running Forward KL,Running Env Steps,Real Det Return,Reward Loss,Running Reverse KL,Running Update Time
0,-121.36,158.6986,0,-10.96,5.562782287597656,12.5742,0
1,127.91,158.5614,5000,1.2,-9.939491271972656,12.8659,1
2,86.98,157.9945,10000,1146.86,-38.817108154296875,11.5305,2
3,97.12,157.748,15000,827.79,-91.42478942871094,11.416,3
4,295.65,157.4808,20000,1676.3,-130.0389404296875,11.6434,4
5,826.82,157.3455,25000,1707.57,-161.0320281982422,11.5499,5
6,1494.72,157.2769,30000,2078.34,-158.2213897705078,13.7464,6
7,2013.39,157.217,35000,2277.94,-227.19151306152344,14.5728,7
8,2341.05,156.8738,40000,2684.31,-287.0347900390625,14.2362,8
9,2662.39,156.9923,45000,3167.01,-273.5313720703125,14.971,9
10,2611.66,156.8783,50000,3203.61,-344.8188781738281,14.2171,10
11,3106.98,156.593,55000,3515.08,-411.63116455078125,13.9032,11
12,3280.76,156.6276,60000,3694.08,-425.148193359375,15.0045,12
13,3360.68,156.4402,65000,3890.46,-438.9701232910156,14.5129,13
14,3148.96,156.1326,70000,4085.09,-469.3592529296875,14.7457,14
15,3696.03,156.4878,75000,4260.35,-498.4796447753906,15.6318,15
16,3914.54,156.5434,80000,4503.27,-538.3064575195312,16.2699,16
17,3867.06,156.4081,85000,4530.32,-544.2860107421875,16.1801,17
18,4214.4,156.7805,90000,4660.74,-577.4542236328125,16.005,18
19,4383.77,156.3595,95000,4467.26,-624.6311645507812,15.8151,19
20,4493.64,156.2012,100000,4869.53,-664.2540283203125,15.295,20
21,4551.88,155.6929,105000,5058.9,-666.3040161132812,15.4337,21
22,4630.67,156.2857,110000,5071.69,-707.19287109375,15.8521,22
23,4721.92,156.0683,115000,5045.36,-720.7317504882812,16.1184,23
24,4754.82,155.6156,120000,4891.94,-750.128173828125,14.7768,24
25,4888.44,155.5394,125000,5472.44,-780.8504028320312,15.0079,25
26,4821.45,155.439,130000,5205.82,-819.2034912109375,14.985,26
27,4762.28,155.039,135000,5421.22,-819.6165161132812,14.7425,27
28,5205.33,155.4227,140000,5587.35,-853.8466186523438,14.8959,28
29,5240.9,154.9846,145000,5699.87,-874.4338989257812,14.0381,29
30,5241.42,154.8139,150000,5818.44,-921.6321411132812,14.1409,30
31,5463.88,154.3154,155000,6097.73,-909.3648071289062,14.2613,31
32,5591.73,154.0497,160000,6033.09,-956.4635620117188,13.9699,32
33,5689.09,153.9034,165000,6175.87,-971.3718872070312,13.6976,33
