Itration,Real Sto Return,Running Update Time,Real Det Return,Running Forward KL,Reward Loss,Running Reverse KL,Running Env Steps
80,571.57,80,504.76,33.3473,-2431.502685546875,29.2478,400000
81,239.73,81,242.0,33.9818,-2924.64892578125,55.0041,405000
82,261.66,82,272.72,32.6104,-2889.7275390625,64.0393,410000
83,239.64,83,238.86,32.6596,-2726.397216796875,52.503,415000
84,241.5,84,255.76,31.8717,-2831.714599609375,54.7878,420000
85,254.27,85,255.85,32.535,-2670.0029296875,27.016,425000
86,275.57,86,274.72,33.0764,-2694.97265625,25.6801,430000
87,439.97,87,380.62,31.972,-2581.0556640625,19.9268,435000
88,290.59,88,280.55,31.8822,-2578.4541015625,47.7685,440000
89,265.35,89,250.94,31.9425,-3079.8349609375,182.3701,445000
90,1003.02,90,1040.24,33.4106,-3162.767822265625,17.6633,450000
91,982.48,91,1001.08,33.9557,-3240.677734375,20.7484,455000
92,998.38,92,996.29,34.8689,-3544.74072265625,35.1217,460000
93,1009.68,93,1004.52,37.306,-3596.733154296875,27.2406,465000
94,1008.39,94,1003.7,37.7174,-3615.978271484375,28.9479,470000
95,400.02,95,347.7,32.0634,-3019.065185546875,85.9349,475000
96,1492.14,96,1509.3,31.5418,-2241.822021484375,17.1196,480000
97,1113.33,97,1067.13,32.1646,-2819.707275390625,31.0532,485000
98,449.33,98,569.92,32.5366,-3632.453369140625,144.5895,490000
99,128.27,99,116.52,33.6101,-3634.72216796875,172.1251,495000
100,12.74,100,15.81,34.0795,-3776.1240234375,77.9148,500000
101,1002.97,101,1003.55,36.7518,-3806.65966796875,25.3287,505000
102,1052.25,102,1053.15,38.0087,-4152.44921875,32.9598,510000
103,1065.83,103,1065.7,38.5369,-4254.10302734375,35.2039,515000
104,601.77,104,598.36,33.9542,-3836.35205078125,51.5344,520000
105,954.32,105,965.09,34.1613,-2784.17626953125,20.0988,525000
106,1144.49,106,1147.16,33.3392,-2014.701416015625,27.5086,530000
107,340.05,107,281.08,31.4184,-3045.228271484375,68.7764,535000
108,640.41,108,680.72,33.1437,-3093.87939453125,54.3794,540000
109,112.81,109,111.58,31.3273,-3624.80859375,91.4097,545000
110,161.51,110,163.22,31.0982,-2143.853759765625,17.4,550000
111,84.41,111,85.03,32.6615,-3335.180419921875,37.4214,555000
112,153.31,112,167.51,32.4554,-3498.050537109375,29.3718,560000
113,174.97,113,177.14,33.9083,-4238.65673828125,66.0632,565000
114,636.77,114,626.62,31.5797,-3574.265380859375,21.9146,570000
115,158.41,115,176.3,34.6823,-4399.9912109375,118.2232,575000
116,988.92,116,988.83,36.6578,-4532.62158203125,27.2862,580000
117,1055.27,117,1047.6,37.7995,-5019.14697265625,34.2306,585000
118,486.68,118,562.61,32.3318,-4419.2041015625,72.1687,590000
119,342.97,119,324.42,32.3655,-4450.3837890625,59.8942,595000
120,570.31,120,507.25,34.1925,-2924.6796875,31.2414,600000
121,237.0,121,232.52,32.0924,-4366.92236328125,109.9381,605000
122,457.72,122,452.43,32.2612,-4403.24609375,41.8958,610000
123,78.15,123,76.24,32.5246,-4746.728515625,86.2513,615000
124,943.75,124,934.81,34.4681,-4218.1181640625,23.0442,620000
125,629.9,125,689.57,33.4668,-3514.912841796875,30.1582,625000
126,117.59,126,77.1,32.9947,-5372.53173828125,147.0934,630000
127,462.86,127,458.32,33.8796,-3394.5908203125,36.2867,635000
128,408.91,128,310.68,34.2072,-3245.08056640625,23.2776,640000
129,289.9,129,386.87,33.8278,-4407.8818359375,80.5662,645000
130,987.07,130,984.21,34.3863,-4772.48193359375,21.5044,650000
131,969.89,131,967.72,34.4448,-4219.4033203125,20.2035,655000
132,1040.69,132,1042.35,34.8119,-5001.31005859375,23.9763,660000
133,386.78,133,389.21,33.5281,-6042.58935546875,144.5112,665000
134,359.29,134,360.75,34.3722,-6205.25634765625,141.9819,670000
135,196.5,135,197.55,32.929,-6467.9716796875,183.0967,675000
136,93.04,136,84.12,33.3545,-6479.87841796875,176.5633,680000
137,123.04,137,102.22,32.6203,-5682.41796875,124.908,685000
138,380.27,138,381.48,32.4988,-5688.7529296875,64.3511,690000
139,285.66,139,289.61,31.9646,-5580.861328125,34.9421,695000
140,333.8,140,372.13,31.8506,-3679.9833984375,17.1682,700000
141,407.85,141,387.37,31.6198,-4845.744140625,19.3642,705000
142,419.77,142,411.33,32.6759,-5145.96923828125,22.4408,710000
143,828.29,143,831.37,31.3183,-3773.189697265625,19.1063,715000
144,371.23,144,371.19,31.0674,-5285.83251953125,42.6973,720000
145,295.1,145,278.24,32.5456,-5849.35693359375,62.9248,725000
146,309.07,146,310.99,32.7175,-5940.6142578125,27.0169,730000
147,458.09,147,323.07,32.0756,-5180.8056640625,18.5506,735000
148,120.51,148,120.15,33.1936,-6379.08251953125,38.5249,740000
149,123.16,149,123.51,33.3038,-6499.55078125,42.0686,745000
150,119.2,150,113.71,32.2826,-6782.54638671875,96.8244,750000
151,210.45,151,211.4,32.0477,-6669.49267578125,109.3319,755000
152,240.77,152,237.17,32.7427,-7183.76611328125,49.7255,760000
153,147.78,153,108.37,32.2647,-7765.0693359375,99.5496,765000
154,207.2,154,203.5,32.1296,-7756.74462890625,106.2657,770000
155,202.51,155,198.94,31.8626,-7676.72021484375,178.1529,775000
156,253.54,156,234.03,31.7956,-7608.4375,156.4627,780000
157,244.96,157,236.41,31.2725,-7304.39013671875,92.2178,785000
158,309.78,158,317.36,29.4492,-7136.591796875,125.9568,790000
159,374.46,159,342.01,29.0282,-6478.56591796875,45.7068,795000
160,353.67,160,352.35,28.9921,-6610.626953125,35.3629,800000
161,306.12,161,295.72,29.5038,-6685.732421875,40.3863,805000
162,324.05,162,328.18,30.431,-6736.822265625,35.3079,810000
163,260.23,163,266.94,28.9159,-6562.9599609375,32.7823,815000
164,268.23,164,268.24,29.0792,-7267.23193359375,39.1671,820000
165,274.0,165,266.77,29.2017,-7018.42236328125,37.0246,825000
166,244.87,166,243.81,31.0075,-7528.6123046875,40.3403,830000
167,318.04,167,321.48,31.0712,-7561.36865234375,40.1803,835000
168,292.84,168,297.6,29.8413,-7007.66357421875,32.9795,840000
169,303.62,169,292.81,28.632,-7154.03564453125,37.334,845000
170,317.31,170,320.85,29.4518,-7327.40966796875,37.6379,850000
171,353.67,171,344.51,28.4304,-6456.56689453125,22.2041,855000
172,398.42,172,405.72,28.4381,-6091.8349609375,21.7249,860000
173,474.61,173,545.01,27.7383,-5835.3662109375,26.3082,865000
174,489.15,174,484.22,28.0651,-5967.80126953125,21.8403,870000
175,402.84,175,433.28,29.2758,-7218.66064453125,36.233,875000
176,507.5,176,529.62,28.3892,-5790.19482421875,25.2339,880000
177,444.26,177,444.11,32.6785,-8138.20947265625,35.0756,885000
178,513.43,178,536.7,27.2773,-5100.29443359375,16.7138,890000
179,475.45,179,494.88,31.9454,-7407.02001953125,36.2802,895000
180,772.33,180,855.56,29.6528,-6723.0791015625,24.9522,900000
181,942.15,181,905.49,33.3279,-7416.73046875,25.3218,905000
182,699.29,182,757.86,33.4422,-7975.88720703125,18.6712,910000
183,498.33,183,508.25,30.9543,-7919.14453125,47.214,915000
184,688.92,184,708.82,33.3852,-8369.529296875,78.2592,920000
185,374.36,185,342.87,32.0813,-8767.544921875,23.8966,925000
186,152.27,186,121.2,31.6662,-10306.0087890625,168.7333,930000
187,222.65,187,298.83,32.8441,-8713.6396484375,146.1331,935000
188,164.01,188,219.3,33.4811,-10795.9091796875,193.0406,940000
189,173.48,189,145.84,33.3129,-10477.271484375,164.038,945000
190,958.79,190,970.75,35.5964,-8577.578125,30.2456,950000
191,693.91,191,453.14,35.2799,-8475.43359375,35.1924,955000
192,366.29,192,364.99,35.4409,-10816.779296875,129.6222,960000
193,93.19,193,93.48,34.728,-11517.3388671875,200.8115,965000
194,279.42,194,277.8,33.9824,-10553.8486328125,55.2521,970000
195,498.69,195,498.74,33.4662,-9849.998046875,143.5588,975000
196,687.0,196,676.13,34.0895,-9157.5498046875,106.5278,980000
197,1045.81,197,1047.01,34.711,-9029.44921875,84.0846,985000
198,1043.9,198,1043.28,34.4396,-9844.283203125,123.6292,990000
199,971.15,199,1013.59,34.0373,-7489.2119140625,26.4432,995000
