Itration,Real Det Return,Running Reverse KL,Real Sto Return,Reward Loss,Running Forward KL,Running Env Steps,Running Update Time
43,3373.28,13.4339,3238.92,-314.8310852050781,20.4452,215000,43
44,3307.58,12.9692,2576.31,-964.5537719726562,21.2742,220000,44
45,3032.92,12.7809,2243.03,-1041.3221435546875,20.4205,225000,45
46,3080.18,12.3347,2511.05,-820.3836059570312,20.5765,230000,46
47,3383.74,12.8944,3187.89,-492.8451843261719,20.414,235000,47
48,3360.17,12.8779,2226.03,-762.3832397460938,21.4448,240000,48
49,3402.15,12.3571,3282.79,-347.1299743652344,19.6494,245000,49
50,3367.85,12.8917,2074.01,-1169.469970703125,21.9039,250000,50
51,3384.96,10.9941,2604.14,-772.9446411132812,19.5695,255000,51
52,3434.12,11.075,3200.81,-665.9974365234375,19.1862,260000,52
53,3390.44,11.6864,3071.16,-1020.530029296875,20.1687,265000,53
54,3441.14,14.8142,3421.76,-493.70550537109375,20.3447,270000,54
55,3376.07,14.1801,2584.83,-992.8012084960938,20.6702,275000,55
56,3349.7,11.6487,3159.74,-463.4979248046875,18.9077,280000,56
57,3218.69,12.9724,3201.26,-594.5548095703125,20.6667,285000,57
58,3380.03,13.849,3370.21,-311.853759765625,19.7139,290000,58
59,3345.25,13.9386,3351.96,-375.5956726074219,19.7473,295000,59
60,3400.28,12.7707,3368.05,-319.2053527832031,19.2923,300000,60
61,3471.43,13.2745,3386.56,-256.8876037597656,19.0779,305000,61
62,3430.11,11.1134,3245.46,-390.9984130859375,18.3244,310000,62
63,3383.71,11.5638,3040.89,-463.5804748535156,18.8865,315000,63
64,3359.11,12.2126,3304.17,-327.3940734863281,19.0448,320000,64
65,2155.34,15.7162,1397.21,-1208.509033203125,20.3967,325000,65
66,3344.3,14.3337,3348.74,-430.663818359375,20.711,330000,66
67,3386.08,13.7578,3369.3,-812.9819946289062,19.4028,335000,67
68,3411.11,12.0717,2808.05,-919.6552124023438,19.644,340000,68
69,3418.52,12.6879,2688.59,-355.5929870605469,18.7928,345000,69
70,3390.73,12.7992,3367.94,-440.7951965332031,19.5791,350000,70
71,3400.98,14.0913,3279.93,-429.158447265625,19.2576,355000,71
72,3360.19,12.9168,3367.86,-423.82623291015625,19.2102,360000,72
73,236.03,13.4485,727.6,-384.48333740234375,19.6362,365000,73
74,3405.37,13.2714,3174.97,-447.13787841796875,18.7335,370000,74
75,3356.84,16.2363,3106.87,-1160.1490478515625,19.4583,375000,75
76,3315.78,13.3997,3295.32,-715.5783081054688,19.3731,380000,76
77,3398.27,12.4653,3174.36,-423.43975830078125,18.6937,385000,77
78,3429.74,20.0958,3077.97,-1047.03125,18.9234,390000,78
79,3431.25,15.3619,3327.22,-576.6118774414062,19.0463,395000,79
80,3402.18,13.355,3163.97,-632.4380493164062,18.6322,400000,80
81,3311.12,15.7914,3047.83,-1010.4932861328125,19.6585,405000,81
82,3434.88,21.5877,2763.42,-551.8572387695312,18.0254,410000,82
83,3436.34,11.9606,3424.33,-415.5950012207031,17.7795,415000,83
84,3398.66,11.864,3238.9,-715.074462890625,17.3188,420000,84
85,3431.74,13.3137,3121.28,-626.2117919921875,18.0643,425000,85
86,3421.1,12.3467,3383.34,-511.390869140625,18.4013,430000,86
87,3441.48,12.4729,3418.43,-420.9248962402344,18.0148,435000,87
88,3387.78,12.228,3212.74,-636.2313842773438,17.7237,440000,88
89,3375.05,12.1696,3392.51,-459.25701904296875,18.2173,445000,89
90,3387.3,12.1937,3378.56,-601.885009765625,19.1131,450000,90
91,3444.03,16.142,2404.73,-1252.701416015625,19.1998,455000,91
92,3417.61,12.0997,3386.65,-517.3687133789062,18.5715,460000,92
93,3403.65,12.4466,3268.53,-557.7230224609375,18.3023,465000,93
94,3397.91,11.2734,3260.95,-582.2405395507812,17.7896,470000,94
95,3311.41,30.1704,1958.74,-1940.3135986328125,20.1838,475000,95
96,3389.29,12.6405,3365.28,-588.3397827148438,18.3961,480000,96
97,3437.67,16.29,2611.77,-1338.351806640625,19.348,485000,97
98,3451.55,15.1442,2989.12,-1157.2672119140625,19.3471,490000,98
99,3361.74,12.0103,2760.62,-824.5332641601562,18.739,495000,99
100,3479.29,12.3276,3424.05,-493.723876953125,18.5745,500000,100
101,3470.87,13.6827,3437.32,-464.8396911621094,19.1678,505000,101
102,3459.44,11.9965,3242.33,-520.7709350585938,19.1107,510000,102
103,3443.69,12.8463,3294.62,-554.1073608398438,18.8325,515000,103
104,3431.89,11.1664,3342.33,-563.8021240234375,17.4601,520000,104
105,3411.74,12.336,3394.53,-492.7074279785156,18.1627,525000,105
106,3425.99,16.0299,1899.32,-1262.94775390625,19.3667,530000,106
107,3456.94,18.5198,3094.5,-774.6752319335938,18.112,535000,107
108,6.58,12.4362,419.18,-625.962890625,18.2057,540000,108
109,3447.7,11.4871,3251.96,-441.7489318847656,17.9925,545000,109
110,3451.47,26.1919,2531.46,-1302.260498046875,18.9657,550000,110
111,3406.32,11.14,3356.3,-492.68023681640625,16.7335,555000,111
112,3432.46,12.4588,3419.0,-520.6738891601562,17.8271,560000,112
113,3433.9,11.7616,3410.59,-505.6785583496094,17.0541,565000,113
114,3454.49,10.8758,3425.31,-343.1417541503906,16.0979,570000,114
115,3443.31,11.7498,3300.82,-679.9092407226562,18.2803,575000,115
116,3461.73,13.2365,3442.96,-512.7642822265625,18.7916,580000,116
117,3480.69,12.9633,3241.54,-748.9476928710938,19.1876,585000,117
118,3465.11,13.2209,3406.59,-709.8106079101562,19.4959,590000,118
119,3405.5,10.9992,3377.02,-459.7997741699219,16.9109,595000,119
120,3454.29,11.5558,3435.11,-528.1840209960938,16.8962,600000,120
121,3445.17,11.5141,3401.33,-542.3075561523438,17.2289,605000,121
122,3456.75,11.2644,3205.53,-451.5496520996094,17.2678,610000,122
123,3485.52,11.6679,3446.35,-600.5662841796875,18.3329,615000,123
124,3453.24,12.7769,3438.38,-589.7785034179688,18.2868,620000,124
125,3493.23,11.3041,3386.2,-488.9195251464844,17.2127,625000,125
126,3477.55,11.909,3397.25,-491.6685485839844,17.6129,630000,126
127,3448.16,10.6695,3169.13,-760.1019897460938,17.1612,635000,127
128,3458.76,12.6051,3450.76,-529.0861206054688,18.0464,640000,128
129,3461.86,12.6051,3437.21,-555.0665283203125,18.1379,645000,129
130,3459.2,10.7774,3416.88,-607.5028686523438,17.5252,650000,130
131,3461.11,11.4835,3435.77,-751.8117065429688,17.4691,655000,131
132,3475.14,11.5111,3432.71,-495.49847412109375,17.0043,660000,132
133,3429.49,11.074,3403.94,-611.8831787109375,17.0444,665000,133
134,3476.1,11.9022,3391.94,-880.856689453125,18.5918,670000,134
135,3472.3,11.7104,3426.42,-548.3353881835938,17.9344,675000,135
136,3440.4,11.7855,3415.21,-636.3522338867188,17.6914,680000,136
137,3441.16,10.4383,3341.11,-527.2849731445312,16.2413,685000,137
138,3437.52,11.8721,3401.9,-565.9232177734375,17.9171,690000,138
139,3487.05,11.4217,3381.39,-519.9328002929688,17.1139,695000,139
140,3421.86,10.9554,3378.84,-650.4000244140625,17.1545,700000,140
141,3461.16,11.2831,3428.49,-631.278076171875,17.5235,705000,141
142,3469.37,11.5383,3369.17,-621.822998046875,17.452,710000,142
143,3468.76,11.7746,3436.71,-579.3277587890625,16.8484,715000,143
144,3449.45,11.6816,2826.51,-1247.292724609375,17.3622,720000,144
145,3448.54,9.8419,3342.46,-605.876220703125,16.3193,725000,145
146,3459.37,10.4535,3446.74,-758.073486328125,17.3189,730000,146
147,3442.5,11.2288,3400.46,-579.780029296875,16.8956,735000,147
148,3482.73,14.3428,3210.08,-890.8258056640625,18.6074,740000,148
149,3438.05,12.0388,3332.68,-848.4805908203125,17.9974,745000,149
150,3460.22,11.683,3425.95,-676.1317138671875,17.2211,750000,150
151,3457.8,11.7673,3428.28,-656.1806030273438,17.5598,755000,151
152,3472.6,11.2116,3461.34,-558.2752685546875,16.4983,760000,152
153,3388.48,11.7901,3292.25,-752.5596313476562,17.3259,765000,153
154,3485.82,10.8601,3327.97,-561.5731201171875,17.0468,770000,154
155,3486.12,18.3301,3403.65,-652.0732421875,17.6663,775000,155
156,3477.48,10.6492,3359.94,-841.9974365234375,16.6974,780000,156
157,3475.24,11.4251,3269.7,-987.1868896484375,17.7158,785000,157
158,3479.39,11.1717,3458.68,-721.05712890625,17.6927,790000,158
159,3444.05,13.3863,3310.1,-1027.8323974609375,17.5214,795000,159
160,3477.19,11.2289,3429.6,-834.761962890625,17.2168,800000,160
161,3451.17,10.9972,3211.36,-1061.616943359375,17.8992,805000,161
162,3436.07,10.3361,3428.56,-751.9891357421875,16.1429,810000,162
163,3479.38,10.7533,3328.81,-771.4078979492188,16.9313,815000,163
164,3481.63,11.6932,3388.51,-688.6882934570312,17.3698,820000,164
165,3433.96,11.2027,3403.07,-785.5240478515625,17.2961,825000,165
166,3499.98,10.728,3200.96,-918.4528198242188,17.6139,830000,166
167,3470.89,11.5486,3397.83,-664.8959350585938,16.69,835000,167
168,3468.5,11.3838,3446.59,-715.4391479492188,16.5696,840000,168
169,3480.63,12.0146,3435.08,-721.5922241210938,17.228,845000,169
170,3468.82,10.9481,3388.73,-716.8599853515625,16.8524,850000,170
171,3488.24,10.974,3357.44,-1041.87939453125,17.8092,855000,171
172,3421.69,10.5662,3390.78,-794.4757690429688,16.2273,860000,172
173,3496.01,12.6417,3463.86,-825.5117797851562,18.1116,865000,173
174,3504.02,12.085,3474.21,-641.5051879882812,17.5692,870000,174
175,3501.16,11.866,3180.23,-1068.7159423828125,18.2278,875000,175
176,3497.76,11.3283,3395.81,-866.7808837890625,17.3289,880000,176
177,3478.79,11.4331,3448.81,-759.640625,16.3342,885000,177
178,3501.39,11.6695,3471.48,-718.6140747070312,16.9167,890000,178
179,3480.31,11.6865,3339.92,-886.1982421875,17.6417,895000,179
180,3503.96,12.0567,3403.54,-838.3728637695312,17.9013,900000,180
181,3460.83,11.382,3427.84,-695.2044677734375,16.9578,905000,181
182,3483.66,11.2397,3457.24,-888.9669799804688,18.0857,910000,182
183,3482.66,11.1711,3400.91,-818.5867309570312,17.548,915000,183
184,3477.0,14.7257,3465.04,-1057.8243408203125,17.7108,920000,184
185,3484.83,10.982,3379.52,-946.7384033203125,17.5581,925000,185
186,3491.37,11.6238,3480.7,-865.9208984375,17.6652,930000,186
187,3476.85,11.2392,3171.95,-1096.7646484375,17.6554,935000,187
188,3467.39,10.7324,3442.84,-852.274658203125,16.794,940000,188
189,3486.89,12.8594,3330.25,-1080.888427734375,18.3258,945000,189
190,3494.79,12.3286,3281.3,-939.2017211914062,18.4603,950000,190
191,3501.79,12.296,3270.85,-984.7936401367188,18.0931,955000,191
192,3518.96,12.8894,3480.16,-845.5723266601562,18.9616,960000,192
193,3487.52,15.2399,3414.21,-1439.4241943359375,18.8473,965000,193
194,3507.64,13.4711,2940.53,-1373.043212890625,18.0657,970000,194
195,3455.54,11.7445,3424.33,-873.7974243164062,17.1917,975000,195
196,3462.37,10.7212,3332.24,-1072.7808837890625,17.3393,980000,196
197,3463.82,11.2997,3417.24,-973.1416015625,17.3212,985000,197
198,3479.9,11.2277,2487.75,-1449.2847900390625,17.5488,990000,198
199,3452.26,11.1296,3428.95,-942.9083862304688,16.6682,995000,199
