Real Sto Return,Reward Loss,Running Reverse KL,Running Env Steps,Running Forward KL,Running Update Time,Itration,Real Det Return
369.46,-682.6583862304688,241.4039,0,414.5911,0,0,384.27
324.26,-1116.86279296875,280.7513,5000,432.5365,1,1,287.98
329.7,-1345.54931640625,280.2551,10000,425.5041,2,2,336.64
394.09,-1214.48828125,264.4349,15000,438.3839,3,3,324.88
401.32,-1467.7073974609375,260.7934,20000,420.1544,4,4,493.97
387.2,-1799.822509765625,267.0461,25000,414.3903,5,5,559.14
428.01,-1681.1171875,270.6267,30000,412.9449,6,6,596.01
520.68,-2616.310546875,290.4374,35000,408.9093,7,7,509.75
519.76,-2952.054443359375,275.6132,40000,412.7928,8,8,541.48
449.85,-3400.26025390625,280.1608,45000,420.5967,9,9,628.87
430.34,-3320.009033203125,274.156,50000,423.61,10,10,663.3
458.54,-3655.78125,302.3692,55000,424.6544,11,11,466.57
483.34,-4050.301513671875,256.6647,60000,416.7757,12,12,506.83
510.47,-4462.2880859375,267.5198,65000,414.9593,13,13,591.77
487.21,-4986.39013671875,270.4629,70000,417.2129,14,14,540.57
574.28,-4513.3359375,262.2019,75000,412.1532,15,15,585.03
568.37,-5011.6357421875,266.8716,80000,400.5047,16,16,660.25
537.68,-4639.59228515625,248.3424,85000,409.4606,17,17,576.25
568.67,-4214.62060546875,257.9313,90000,409.0861,18,18,535.74
567.59,-5034.44921875,260.3153,95000,408.9481,19,19,588.49
555.94,-6921.318359375,312.7205,100000,393.3123,20,20,618.1
595.58,-6782.94384765625,284.1027,105000,410.3722,21,21,536.52
594.47,-7209.798828125,293.2487,110000,403.2272,22,22,505.27
597.64,-7673.390625,310.8036,115000,390.3917,23,23,569.38
635.01,-7044.513671875,261.761,120000,391.4818,24,24,631.58
671.6,-6467.86181640625,258.2777,125000,393.4913,25,25,574.57
704.95,-7429.880859375,253.5611,130000,389.6212,26,26,647.6
762.52,-7788.87060546875,261.1213,135000,386.0356,27,27,711.47
589.53,-6140.05810546875,238.6148,140000,391.8899,28,28,683.09
598.63,-7100.93603515625,232.7134,145000,393.8975,29,29,661.32
637.23,-6944.23974609375,239.1848,150000,399.721,30,30,674.71
668.74,-8488.4765625,246.4862,155000,401.8774,31,31,681.7
693.94,-8112.509765625,234.4314,160000,398.8364,32,32,647.1
694.18,-9036.154296875,248.9283,165000,404.7534,33,33,620.52
663.82,-9253.9560546875,248.4141,170000,400.827,34,34,571.84
843.04,-8788.1865234375,237.6257,175000,393.4593,35,35,803.1
766.27,-9737.9619140625,246.7693,180000,400.975,36,36,650.19
837.83,-8236.0654296875,281.9944,185000,384.5578,37,37,747.42
808.09,-8625.828125,224.3286,190000,382.677,38,38,700.56
857.28,-8979.9599609375,233.12,195000,389.151,39,39,878.72
736.75,-8597.36328125,213.451,200000,393.4696,40,40,698.52
945.51,-8904.0087890625,215.139,205000,386.264,41,41,785.98
939.86,-8410.6484375,213.9897,210000,379.5952,42,42,756.56
820.84,-8595.236328125,220.8969,215000,390.2968,43,43,808.56
769.98,-9321.912109375,222.1166,220000,401.3592,44,44,815.58
1012.55,-8752.5966796875,208.0594,225000,387.4885,45,45,986.69
874.26,-8638.21484375,209.496,230000,380.3051,46,46,883.25
814.21,-9376.189453125,214.139,235000,391.1315,47,47,765.65
939.55,-9389.6904296875,212.9885,240000,388.0117,48,48,733.81
859.58,-9575.9375,220.5545,245000,397.1631,49,49,812.65
1019.96,-10077.73828125,211.5927,250000,390.6819,50,50,809.24
982.8,-10327.0654296875,216.0005,255000,399.5449,51,51,803.5
1057.98,-8975.4814453125,201.9068,260000,373.1946,52,52,977.37
957.24,-9956.982421875,229.2388,265000,380.9989,53,53,883.02
1146.47,-9692.70703125,217.5806,270000,377.3971,54,54,847.14
1066.36,-10043.572265625,214.8758,275000,378.9661,55,55,1120.19
1049.65,-10701.1943359375,215.668,280000,384.0993,56,56,950.08
1067.12,-10800.1259765625,206.2725,285000,392.1781,57,57,863.4
1102.64,-10546.2431640625,210.8675,290000,385.0379,58,58,984.34
1169.55,-9561.69140625,203.5612,295000,370.9371,59,59,1086.36
1039.7,-10505.2861328125,227.9496,300000,386.2365,60,60,910.04
1063.12,-10400.201171875,228.1989,305000,385.5788,61,61,1178.85
1032.87,-11183.2783203125,225.9808,310000,392.0733,62,62,771.87
1281.44,-11011.359375,207.6737,315000,377.0776,63,63,937.03
1145.93,-10885.154296875,224.2181,320000,393.2705,64,64,864.01
1242.76,-10999.984375,205.6958,325000,379.6597,65,65,883.87
1234.74,-10771.25,197.6425,330000,372.7778,66,66,986.28
1295.49,-11019.6435546875,197.1459,335000,375.5374,67,67,924.73
1501.95,-9542.220703125,194.296,340000,370.3992,68,68,878.14
1865.25,-10648.4296875,197.2352,345000,371.4166,69,69,752.35
1285.21,-11124.517578125,201.196,350000,363.1187,70,70,887.77
1679.68,-10694.681640625,194.9437,355000,358.502,71,71,997.21
1506.96,-11367.2841796875,206.0487,360000,364.0227,72,72,1169.09
1301.9,-11723.2138671875,206.5891,365000,371.4433,73,73,808.79
1888.29,-9647.720703125,185.9376,370000,355.9347,74,74,848.25
1551.08,-11313.66015625,200.9467,375000,360.9238,75,75,1212.66
1749.29,-11777.5859375,209.6966,380000,356.4486,76,76,1191.3
1643.6,-11387.8779296875,198.0173,385000,363.4204,77,77,1383.9
1415.0,-11832.701171875,209.584,390000,381.7399,78,78,1330.52
1353.56,-11769.755859375,207.5648,395000,371.4308,79,79,901.97
1497.3,-12376.537109375,229.4747,400000,361.2408,80,80,1208.9
2362.97,-8893.25390625,181.2636,405000,350.4672,81,81,1704.27
1825.6,-11498.93359375,217.0468,410000,371.1623,82,82,994.64
1529.67,-12659.029296875,238.7404,415000,386.8058,83,83,844.6
2862.2,-6938.17626953125,162.0242,420000,342.8621,84,84,2593.3
2143.12,-10788.962890625,207.2251,425000,369.5599,85,85,982.03
3173.69,-6951.85009765625,169.0463,430000,348.6253,86,86,1123.47
3154.36,-8648.1064453125,180.933,435000,356.5423,87,87,910.17
2350.6,-10296.666015625,207.1977,440000,364.1833,88,88,1570.47
3221.91,-9986.78515625,174.8061,445000,360.9213,89,89,1857.36
2217.31,-11487.9375,213.7608,450000,358.7056,90,90,2362.37
3761.18,-8508.8154296875,166.4368,455000,346.7619,91,91,1770.3
4369.95,-6638.0263671875,154.7683,460000,337.1804,92,92,1881.78
4268.51,-6812.77392578125,163.7367,465000,348.3083,93,93,1986.14
2804.06,-10235.8203125,191.2308,470000,357.7424,94,94,1377.84
3534.95,-10395.4296875,184.1965,475000,354.595,95,95,1622.82
2927.05,-9677.9697265625,173.0474,480000,357.7692,96,96,2197.65
3334.56,-8266.806640625,175.7153,485000,353.4466,97,97,1581.72
2258.66,-11758.548828125,202.4438,490000,360.7245,98,98,1645.84
2547.92,-9975.1708984375,178.9119,495000,349.5407,99,99,1371.84
2822.65,-10680.94140625,185.5574,500000,355.6436,100,100,1966.6
2114.03,-10494.1103515625,193.4268,505000,354.5831,101,101,1043.03
