Real Sto Return,Real Det Return,Reward Loss,Running Forward KL,Running Reverse KL,Running Update Time,Itration,Running Env Steps
194.83,192.55,296.63262939453125,32.5414,20.6747,0,0,0
255.15,231.67,19.613601684570312,30.9786,30.1515,1,1,5000
264.53,262.26,245.87681579589844,31.1312,51.826,2,2,10000
310.76,298.89,246.20504760742188,31.0126,62.7699,3,3,15000
312.52,319.83,182.67372131347656,30.0737,55.3803,4,4,20000
323.54,328.17,228.17527770996094,29.8691,74.2618,5,5,25000
311.16,356.32,209.389404296875,30.3288,71.5199,6,6,30000
416.53,375.16,106.2283935546875,26.7807,62.7971,7,7,35000
482.17,515.6,47.071983337402344,28.2694,60.7643,8,8,40000
549.07,733.93,234.5939178466797,27.4049,69.5389,9,9,45000
604.4,624.4,35.36772155761719,27.0318,32.5789,10,10,50000
1695.01,2860.75,45.38025665283203,23.7746,35.0115,11,11,55000
1886.22,2843.88,-33.88810729980469,24.6638,31.601,12,12,60000
2894.74,3212.28,-6.362443447113037,24.1513,34.7155,13,13,65000
889.03,980.63,-98.76304626464844,25.745,77.3356,14,14,70000
1059.52,1218.11,-261.1712951660156,26.2893,49.9907,15,15,75000
1424.13,3053.48,-270.3836364746094,25.4755,33.9188,16,16,80000
1096.43,1243.01,-322.52593994140625,24.7638,43.2117,17,17,85000
1620.59,1295.56,-209.20211791992188,24.9529,42.8516,18,18,90000
2361.87,3375.88,-196.4258575439453,25.3388,51.1166,19,19,95000
1249.3,1250.51,-241.34481811523438,25.7526,111.2681,20,20,100000
1911.1,3358.75,-181.44956970214844,24.7785,62.7657,21,21,105000
1629.7,3036.71,-417.0437316894531,24.7966,71.7907,22,22,110000
2695.18,3363.52,-139.11691284179688,24.1573,19.2339,23,23,115000
2750.41,3405.44,-197.4088592529297,23.3243,27.3514,24,24,120000
2175.66,3048.99,-297.5416564941406,23.4306,27.1345,25,25,125000
1824.6,3358.58,-536.62646484375,24.6792,29.3706,26,26,130000
1680.08,2926.69,-588.85302734375,24.1853,32.4407,27,27,135000
2896.48,3443.66,-323.4373779296875,23.8743,36.2298,28,28,140000
2078.04,1678.68,-473.099853515625,23.5629,25.3807,29,29,145000
2712.77,3345.69,-358.52398681640625,23.0988,22.9007,30,30,150000
2701.54,3174.39,-301.89056396484375,23.5088,18.627,31,31,155000
2617.59,3414.33,-368.8057556152344,23.6644,26.4673,32,32,160000
2136.43,3455.16,-547.9771118164062,24.5946,23.6345,33,33,165000
1941.76,3387.7,-548.007080078125,24.8364,41.0692,34,34,170000
2053.47,3444.93,-603.5028686523438,24.6606,37.8777,35,35,175000
3267.22,3411.37,-162.29371643066406,22.2004,18.4129,36,36,180000
2762.71,3319.78,-188.31121826171875,22.2468,19.1689,37,37,185000
2501.42,3443.63,-315.46478271484375,23.1301,14.3002,38,38,190000
2880.58,3447.53,-269.5502014160156,23.5513,15.3582,39,39,195000
1429.17,2778.89,-702.3711547851562,25.2688,39.7904,40,40,200000
2278.03,3385.38,-859.0357666015625,24.476,34.1812,41,41,205000
3309.27,3393.27,-174.2242431640625,22.4868,17.4723,42,42,210000
3200.58,3398.94,-138.6624755859375,22.0399,14.2146,43,43,215000
3008.15,3383.63,-169.75735473632812,22.4035,14.5419,44,44,220000
3284.11,3347.06,-168.51327514648438,21.3878,14.4816,45,45,225000
2190.18,3420.47,-651.0181274414062,22.361,19.7558,46,46,230000
2351.15,3452.73,-654.7919311523438,23.8719,23.6776,47,47,235000
3275.18,3351.77,-199.80126953125,20.4076,13.664,48,48,240000
2232.16,3395.2,-356.9250183105469,21.7883,13.6381,49,49,245000
3295.91,3428.02,-282.70843505859375,22.3503,14.2926,50,50,250000
2886.81,3415.29,-394.8031921386719,21.1061,18.177,51,51,255000
2797.99,3460.62,-504.0272521972656,22.826,20.5729,52,52,260000
2122.89,3330.01,-548.7325439453125,22.5734,16.1407,53,53,265000
2079.36,2906.49,-755.0304565429688,23.6677,23.2943,54,54,270000
2161.53,3440.74,-388.6167297363281,21.6416,14.7254,55,55,275000
2467.6,3456.34,-669.68896484375,23.2371,15.6587,56,56,280000
2662.55,3433.36,-528.0451049804688,21.6925,19.0131,57,57,285000
2733.62,3437.86,-434.44830322265625,22.67,14.7165,58,58,290000
2052.7,3418.2,-603.6287841796875,22.3613,15.6964,59,59,295000
2589.55,3444.32,-509.8174133300781,22.1082,16.422,60,60,300000
2736.56,3411.41,-617.353271484375,22.1192,15.9697,61,61,305000
2999.07,3402.53,-744.3544921875,21.1771,19.2636,62,62,310000
2800.4,3427.73,-404.1135559082031,21.7606,13.4917,63,63,315000
2149.55,1606.94,-1019.6873168945312,23.3033,18.774,64,64,320000
1979.22,1450.84,-954.17724609375,23.3973,23.553,65,65,325000
2733.95,3417.21,-648.0801391601562,21.3347,15.9648,66,66,330000
1730.49,2161.6,-1145.154541015625,23.0616,44.961,67,67,335000
2150.92,1968.14,-965.19384765625,21.8533,27.8073,68,68,340000
3045.61,3393.25,-477.6153869628906,20.5825,28.9697,69,69,345000
2222.02,3438.31,-867.2100219726562,21.3961,20.4719,70,70,350000
3327.68,3415.85,-397.2358093261719,20.8828,16.5864,71,71,355000
3231.07,3411.88,-542.9766845703125,21.2534,25.8817,72,72,360000
3200.22,3425.22,-498.12200927734375,19.8005,18.8228,73,73,365000
2924.12,3436.36,-631.0786743164062,19.9104,29.9968,74,74,370000
3180.32,3398.89,-551.8515625,20.4434,16.2499,75,75,375000
3063.04,3437.92,-599.5072021484375,20.3373,22.0594,76,76,380000
2758.46,3362.24,-703.54345703125,21.2272,20.2186,77,77,385000
3043.74,3423.17,-491.4999084472656,19.7541,18.1418,78,78,390000
2010.51,1411.26,-1014.71533203125,21.5418,38.5717,79,79,395000
3314.6,3436.8,-561.4774780273438,20.3194,21.4015,80,80,400000
3256.19,3400.57,-470.3262634277344,20.8308,17.111,81,81,405000
3121.78,3403.12,-523.7986450195312,20.1839,16.8687,82,82,410000
2739.07,3440.07,-699.2801513671875,20.7389,21.6412,83,83,415000
3239.27,3388.79,-355.3460388183594,20.0077,13.0595,84,84,420000
3354.1,3406.78,-575.989013671875,20.5989,22.0711,85,85,425000
2933.84,3446.49,-979.0116577148438,20.7739,24.7415,86,86,430000
3168.0,3442.86,-619.650634765625,20.1841,17.28,87,87,435000
3128.87,3401.42,-494.1379699707031,19.7866,18.6955,88,88,440000
2922.16,3447.09,-661.3438110351562,19.8823,20.8962,89,89,445000
2962.22,3456.53,-714.3319702148438,20.7343,20.8777,90,90,450000
3162.88,3458.21,-680.977783203125,21.185,27.1423,91,91,455000
2494.17,3294.32,-1062.5208740234375,20.7773,33.9832,92,92,460000
3399.13,3435.99,-572.292236328125,20.6112,14.8732,93,93,465000
2385.05,3445.69,-737.1144409179688,21.1834,15.5051,94,94,470000
3265.41,3421.64,-721.334228515625,19.6089,17.6099,95,95,475000
2441.13,3275.41,-1023.0933837890625,20.6977,43.4029,96,96,480000
2658.03,3454.28,-1016.6130981445312,20.5374,33.6962,97,97,485000
2544.96,3467.89,-848.3148193359375,20.6209,19.6004,98,98,490000
2910.01,3461.65,-627.03125,20.0908,14.6201,99,99,495000
2894.3,3467.88,-1148.2264404296875,21.5755,37.2366,100,100,500000
2617.61,3449.11,-1210.963134765625,21.6283,29.8649,101,101,505000
2391.06,3441.04,-1405.861328125,20.9099,32.4953,102,102,510000
2098.97,3364.39,-1511.1949462890625,21.8062,38.3404,103,103,515000
2291.84,2423.64,-1533.281982421875,21.8926,41.4699,104,104,520000
3187.55,3423.63,-926.7034301757812,19.7782,16.3869,105,105,525000
2973.08,3447.51,-644.0726318359375,19.9453,18.5284,106,106,530000
2421.94,3386.59,-832.7699584960938,19.7994,18.0319,107,107,535000
3165.06,3431.06,-699.0911254882812,18.6466,13.7845,108,108,540000
