Running Reverse KL,Real Sto Return,Running Update Time,Reward Loss,Real Det Return,Running Forward KL,Running Env Steps,Itration
20.9985,212.99,0,140.75546264648438,203.13,38.2518,0,0
23.9783,228.73,1,133.48272705078125,230.42,37.7527,5000,1
31.9783,271.88,2,117.85039520263672,266.33,37.5553,10000,2
32.2035,312.72,3,108.61454010009766,315.1,36.5378,15000,3
41.2028,338.27,4,89.49691772460938,335.56,36.3901,20000,4
39.5118,360.3,5,71.399658203125,369.11,35.0297,25000,5
34.1285,1053.81,6,47.445682525634766,830.56,31.7005,30000,6
39.6256,558.28,7,47.60411071777344,523.27,33.9349,35000,7
34.1845,819.19,8,40.63036346435547,728.45,32.2853,40000,8
21.1375,1067.06,9,33.387203216552734,1026.53,30.9281,45000,9
24.2919,1838.32,10,23.18413734436035,2534.04,31.1551,50000,10
25.7527,1125.19,11,19.065900802612305,939.23,31.1793,55000,11
27.625,1096.02,12,14.393257141113281,1100.97,31.3247,60000,12
22.1977,2006.08,13,-3.282113552093506,1187.17,30.4897,65000,13
16.9497,2543.27,14,-31.310718536376953,2985.6,30.3788,70000,14
16.1233,2152.05,15,-19.963747024536133,1469.66,29.1616,75000,15
17.3076,2079.08,16,-27.004058837890625,954.94,28.6216,80000,16
20.8701,1402.68,17,-15.374755859375,901.27,30.0129,85000,17
21.6547,1263.29,18,-35.95998001098633,978.99,30.1414,90000,18
17.6768,2432.25,19,-34.53273010253906,2858.12,29.4263,95000,19
24.471,1135.04,20,-38.088375091552734,875.58,32.1809,100000,20
20.5198,2385.81,21,-42.53034210205078,3027.39,28.9848,105000,21
20.1277,2233.2,22,-40.623870849609375,1092.38,28.2265,110000,22
15.0666,2574.73,23,-41.80784606933594,1048.16,28.2894,115000,23
14.8977,2486.78,24,-44.36688232421875,2265.2,28.797,120000,24
19.6105,2880.33,25,-54.03853988647461,2256.77,29.8139,125000,25
23.6351,1585.78,26,-61.140472412109375,2304.7,29.8661,130000,26
16.1892,2649.25,27,-62.390830993652344,3012.55,29.2434,135000,27
17.028,2660.38,28,-49.31489944458008,3167.14,28.4966,140000,28
28.8867,2135.7,29,-58.548072814941406,2930.85,28.91,145000,29
16.093,2983.05,30,-61.13638687133789,2448.04,29.4252,150000,30
36.8528,1406.74,31,-79.18651580810547,2769.72,30.2783,155000,31
13.7679,2503.26,32,-63.156925201416016,2619.01,28.7986,160000,32
20.7366,1709.78,33,-92.50007629394531,2757.21,29.7221,165000,33
32.1439,1021.88,34,-112.6038818359375,1006.71,30.9043,170000,34
24.7329,1880.39,35,-109.61370086669922,3198.87,29.403,175000,35
19.555,2597.27,36,-93.65547943115234,3132.43,28.8335,180000,36
23.6248,1620.34,37,-113.71499633789062,3161.29,28.9721,185000,37
13.4993,2967.94,38,-69.23220825195312,3148.15,27.721,190000,38
20.5788,2613.36,39,-105.77983856201172,3224.46,29.4129,195000,39
23.5509,2389.79,40,-94.5074234008789,3040.78,28.3161,200000,40
