Real Sto Return,Reward Loss,Itration,Running Update Time,Real Det Return,Running Reverse KL,Running Env Steps,Running Forward KL
304.07,476.9375305175781,0,0,362.06,246.4422,0,437.2135
309.29,175.17495727539062,1,1,311.8,298.3139,5000,448.8351
333.22,491.6446228027344,2,2,340.56,291.5351,10000,436.2355
399.57,185.0504913330078,3,3,365.03,259.594,15000,432.8232
432.3,-65.62471008300781,4,4,419.45,263.8047,20000,422.7829
439.34,-46.2031364440918,5,5,390.15,243.8443,25000,425.5665
439.55,-337.0215759277344,6,6,522.62,265.864,30000,430.1502
501.85,206.29132080078125,7,7,522.03,257.3371,35000,430.0635
464.0,-467.3311767578125,8,8,473.07,244.6229,40000,440.9916
419.88,-395.9723815917969,9,9,291.82,239.9878,45000,430.3683
517.78,-404.9028015136719,10,10,528.26,229.0156,50000,411.361
518.76,-989.9686279296875,11,11,535.64,255.7404,55000,422.7432
482.86,-1346.0875244140625,12,12,609.51,269.2305,60000,423.9607
532.28,-1592.14404296875,13,13,540.73,268.6667,65000,428.5625
501.73,-2008.8875732421875,14,14,437.27,265.8977,70000,430.608
512.12,-1796.552001953125,15,15,565.99,247.6196,75000,416.337
584.62,-1895.281005859375,16,16,699.5,255.4124,80000,412.6044
605.22,-1914.2685546875,17,17,609.97,257.0548,85000,416.3415
642.87,-2850.698974609375,18,18,666.63,244.6197,90000,403.1681
563.63,-3051.219482421875,19,19,616.92,259.715,95000,413.698
572.34,-3446.2666015625,20,20,636.54,249.6254,100000,408.3826
750.4,-3512.80810546875,21,21,777.45,248.8398,105000,403.636
599.21,-3963.15673828125,22,22,632.37,242.0935,110000,410.3711
744.79,-3857.006591796875,23,23,737.7,248.3674,115000,398.3533
744.64,-4943.3388671875,24,24,736.03,250.0435,120000,418.4826
696.37,-5037.9921875,25,25,646.86,243.1731,125000,410.7215
827.88,-5137.25390625,26,26,845.42,243.8661,130000,412.5501
738.97,-5999.6728515625,27,27,769.71,241.7234,135000,417.2088
676.43,-5346.26025390625,28,28,912.37,239.9909,140000,388.5621
907.24,-5612.51953125,29,29,778.87,259.2427,145000,407.2846
1012.97,-5646.18310546875,30,30,863.87,235.7068,150000,386.5355
1060.87,-5711.24072265625,31,31,996.68,246.7009,155000,398.8487
1049.37,-6031.34814453125,32,32,1144.88,237.9503,160000,388.8859
1031.36,-6027.70703125,33,33,1050.97,258.4137,165000,382.0227
992.67,-6882.06396484375,34,34,1124.64,254.2037,170000,396.2815
912.94,-7118.9794921875,35,35,677.54,253.8179,175000,414.4805
1115.37,-6733.58837890625,36,36,930.33,238.6967,180000,378.1483
958.02,-6907.759765625,37,37,656.82,236.4143,185000,394.4378
1185.87,-6817.91796875,38,38,1083.11,278.362,190000,383.9849
1376.55,-7767.59619140625,39,39,793.04,245.4647,195000,395.0346
1914.34,-6493.203125,40,40,1034.85,203.0882,200000,390.2989
1953.48,-6561.78369140625,41,41,1529.27,204.6445,205000,377.0094
2153.91,-6701.81640625,42,42,1263.67,225.5725,210000,372.7863
1817.43,-5835.58642578125,43,43,1147.84,202.8433,215000,365.5827
2340.18,-6527.91064453125,44,44,1311.32,197.3273,220000,371.0792
2558.45,-5997.71484375,45,45,832.01,183.2344,225000,362.8385
1996.29,-7159.93212890625,46,46,839.85,207.2476,230000,376.9007
2111.45,-7520.888671875,47,47,959.78,201.218,235000,377.2958
2972.47,-6726.8916015625,48,48,1292.19,175.2717,240000,370.1719
2184.18,-7474.7314453125,49,49,1119.65,198.513,245000,375.9806
2785.63,-6462.271484375,50,50,1809.51,186.1917,250000,369.2464
2746.52,-6866.38623046875,51,51,2196.25,186.0933,255000,370.1746
2152.51,-7714.03955078125,52,52,823.26,209.2056,260000,366.0772
2715.23,-6142.7763671875,53,53,1981.89,179.4536,265000,372.7742
3429.48,-4470.7841796875,54,54,4007.07,161.7437,270000,356.8396
2989.66,-7015.59716796875,55,55,2438.2,199.4969,275000,384.64
2763.43,-6747.74462890625,56,56,2226.21,185.3365,280000,356.3846
1495.86,-8220.6708984375,57,57,829.19,205.6711,285000,377.8487
3538.95,-6021.4140625,58,58,4614.94,175.0346,290000,363.4513
2903.66,-5495.5126953125,59,59,2923.61,178.4249,295000,379.0438
2533.37,-9434.412109375,60,60,4112.78,218.1505,300000,363.3284
2235.86,-8260.171875,61,61,1173.22,201.3658,305000,370.2807
2953.22,-7693.13671875,62,62,3583.14,194.6244,310000,356.1697
