Running Forward KL,Running Reverse KL,Real Det Return,Real Sto Return,Itration
447.3544,250.7816,290.52,350.01,0
446.9637,335.726,274.2,300.89,1
445.6938,284.3805,301.53,351.83,2
436.987,259.3892,466.38,422.99,3
439.4285,260.8804,402.17,420.62,4
426.389,270.2463,351.74,446.57,5
429.1594,268.8931,501.8,442.34,6
447.2509,266.2696,414.76,395.83,7
431.5606,269.694,456.71,475.12,8
445.7557,280.6232,385.09,419.53,9
435.9532,264.0734,559.93,523.95,10
449.9711,293.9793,435.56,437.53,11
428.879,298.0083,415.92,444.76,12
441.7251,296.4971,366.64,418.4,13
431.4779,268.8065,503.49,476.25,14
427.2082,295.6117,578.76,548.77,15
425.2793,309.7874,471.46,521.85,16
432.0562,272.6394,558.62,529.88,17
425.7322,281.0898,575.96,531.84,18
430.352,264.0682,483.43,506.32,19
438.7995,267.7939,497.73,524.3,20
427.7952,285.0229,512.34,507.33,21
427.0377,253.6892,551.85,573.53,22
428.3942,271.3167,502.27,513.18,23
428.359,253.8867,619.48,576.0,24
421.4311,242.0343,658.67,567.27,25
438.326,269.8454,667.38,575.03,26
436.6452,273.3987,521.9,579.85,27
436.79,274.805,503.73,506.61,28
431.4433,267.1414,509.54,540.5,29
428.0004,256.5029,555.08,601.06,30
427.8305,250.9625,502.11,570.2,31
422.6089,261.506,608.58,618.08,32
418.1184,250.7987,675.13,644.27,33
418.8781,245.1007,637.73,593.8,34
412.5901,243.8581,724.54,609.47,35
404.1031,248.2834,554.68,599.25,36
413.4164,233.7591,644.4,683.23,37
416.1622,236.9394,584.42,695.1,38
409.2054,229.9355,592.8,716.71,39
410.6572,226.9259,584.09,654.87,40
418.9423,227.72,519.62,622.56,41
407.7435,232.3858,551.66,715.73,42
413.3104,283.5693,565.08,724.4,43
400.8098,256.2645,689.42,836.14,44
411.0399,227.9426,624.36,722.08,45
407.0846,233.1691,671.29,713.05,46
415.7898,255.2211,651.17,771.61,47
397.224,246.0858,754.88,873.45,48
400.3248,233.9465,607.85,774.6,49
389.3037,220.7544,713.47,829.15,50
393.8006,220.0004,710.13,1028.79,51
408.3164,215.2993,733.34,839.89,52
392.8646,228.0859,903.89,949.17,53
394.5828,226.3421,787.75,882.37,54
392.223,223.9686,910.29,1103.13,55
387.7243,213.153,998.04,1024.67,56
394.8382,224.6382,926.7,925.06,57
385.8595,227.6136,681.37,940.41,58
381.1933,202.3349,693.3,1197.15,59
376.5836,210.0654,637.52,1058.74,60
385.1944,212.6634,719.32,1193.0,61
382.4726,211.7591,625.93,1086.15,62
376.1249,203.9808,1005.36,1419.97,63
380.3955,222.6,650.5,1264.08,64
370.1733,192.5224,845.84,1376.23,65
370.3279,208.851,796.02,1178.54,66
374.6945,216.6335,794.46,1414.25,67
368.6932,206.3017,796.63,1917.41,68
376.8268,209.1347,966.18,1392.43,69
361.51,191.0712,870.81,1371.91,70
374.4679,218.4972,889.63,1314.68,71
387.5026,233.175,880.79,1228.7,72
361.451,189.5815,919.0,1499.34,73
373.5536,198.2525,806.39,1462.79,74
370.2979,197.3158,736.62,1695.32,75
373.9724,197.9062,807.92,1395.83,76
371.7721,218.7254,1032.41,1542.73,77
367.4611,199.7526,873.06,1313.8,78
370.6231,196.8326,1113.17,1867.0,79
365.9572,195.6177,1087.84,2179.6,80
361.0685,171.6947,778.2,1862.11,81
365.4217,194.4305,738.66,1721.7,82
359.9524,179.5627,1339.78,1976.51,83
367.3101,197.4392,839.26,2308.79,84
354.9082,168.0555,973.38,3074.33,85
352.1925,167.5431,916.11,3029.26,86
352.9234,172.3852,1481.89,2268.39,87
343.9687,152.7352,1101.54,3413.2,88
342.5203,148.5453,990.94,3821.94,89
341.1363,154.8186,1290.14,4342.14,90
345.4406,164.5242,1075.16,3047.74,91
341.7347,147.659,892.12,3413.82,92
340.5391,145.4443,1189.21,2937.69,93
340.6495,147.6421,935.33,3288.36,94
351.2501,177.6604,862.37,2633.05,95
341.2014,153.9284,1339.57,3847.5,96
341.9397,155.1356,1158.86,2694.39,97
341.5285,150.56,1216.0,3093.06,98
348.5814,180.2566,936.55,2936.67,99
342.7044,141.8314,1242.39,4115.85,100
350.1496,173.7027,1032.06,3252.85,101
340.4854,144.6871,1230.48,4583.12,102
339.4381,148.7226,1470.52,3939.83,103
348.1111,159.4971,1561.7,3671.27,104
341.1288,142.2811,1633.48,4123.49,105
348.8997,154.1593,1482.11,4379.26,106
339.8958,149.9189,1494.23,4198.55,107
340.5982,152.7558,1277.71,3958.58,108
338.0036,149.4326,1470.96,4525.89,109
340.761,148.3791,2429.03,4095.39,110
335.4255,141.2816,1820.17,3496.04,111
340.15,147.9384,2106.98,4419.02,112
333.1952,139.1886,1516.3,4199.19,113
340.5171,150.0036,1645.2,4582.73,114
334.8738,143.7866,1576.92,3992.41,115
339.0002,154.1402,1619.72,3444.0,116
337.8468,140.5558,2119.24,3568.2,117
345.3558,157.0575,1691.59,3583.42,118
342.6553,147.0984,2156.67,4408.1,119
339.5149,147.9211,2310.05,4330.94,120
339.6691,143.1058,1542.16,4130.92,121
336.5112,141.5177,1961.01,4403.94,122
344.4418,157.1152,2101.82,4297.81,123
349.5277,152.8552,1508.54,3410.87,124
346.3597,156.4943,1502.79,3219.8,125
341.1783,150.0226,2706.54,4637.65,126
342.0017,151.7192,2147.52,4460.52,127
334.4337,142.1953,1709.64,4393.07,128
335.5283,141.7136,2147.17,4090.87,129
335.8497,139.7801,1781.51,4320.76,130
331.4165,136.7853,1657.85,3942.25,131
337.1416,140.2071,2293.15,4536.61,132
336.054,143.7431,2019.39,4209.39,133
346.5377,156.5261,2182.46,4430.02,134
338.2678,145.6555,2913.2,4296.6,135
344.3308,146.4708,1510.27,3740.36,136
331.6786,138.1139,2341.97,4289.97,137
337.1377,150.5508,2433.18,4487.23,138
337.6413,137.0173,3031.84,4388.47,139
349.5845,158.4297,1600.93,3333.6,140
338.918,146.9183,1793.57,4710.56,141
340.6919,144.8514,2387.78,4567.96,142
336.9492,137.1096,2254.57,4189.52,143
344.5963,149.2846,3272.38,4390.14,144
341.1688,146.7975,2147.44,4400.43,145
338.5553,137.9207,2284.2,4257.98,146
337.7715,143.7166,2504.57,4274.39,147
335.5611,142.3905,1914.37,4639.4,148
344.8287,157.4323,1592.07,3577.0,149
345.245,150.187,1813.08,4129.83,150
333.6476,134.797,2439.93,4609.41,151
327.9001,126.7362,1942.41,4254.76,152
340.7565,137.2025,1579.63,4429.04,153
329.8894,128.0337,2447.77,4398.25,154
340.2568,135.899,1834.28,4518.99,155
334.1103,141.2516,1810.3,4681.23,156
339.7333,143.043,1583.05,4445.93,157
331.2362,134.7144,1390.21,3903.43,158
332.1083,128.0374,2436.67,4543.29,159
347.2753,150.3558,999.58,4251.43,160
333.4951,139.4032,3252.54,4553.7,161
335.1731,141.7121,2162.3,4360.13,162
339.8451,138.0395,1814.4,4619.76,163
339.1844,140.7804,1556.91,4423.2,164
342.8977,150.8043,2755.55,4777.78,165
336.6125,141.7225,2981.24,4065.97,166
331.2298,131.8007,1694.21,4039.28,167
340.2572,147.4408,2450.42,4675.96,168
339.1828,136.6619,3283.13,4478.36,169
340.4654,135.1731,2314.8,4720.49,170
338.5848,148.0396,3410.58,4534.54,171
344.261,140.6389,3243.29,4795.64,172
337.8424,147.443,1781.3,4009.32,173
335.0365,144.3733,3582.87,4547.9,174
336.9338,135.1591,2987.86,4395.12,175
332.74,142.0985,2516.9,4052.42,176
338.6075,137.8467,3285.79,4412.2,177
337.6762,140.7309,3344.49,4801.93,178
334.8775,144.5649,3136.14,4822.38,179
342.5881,134.0487,3802.64,4511.44,180
343.995,164.0599,2867.7,3870.21,181
345.0417,152.1946,1963.73,4316.07,182
334.8478,137.29,2446.18,4730.08,183
340.7324,140.4216,3052.15,4239.04,184
337.1843,139.5484,2561.05,4451.05,185
341.3908,155.8273,3324.84,4624.2,186
336.325,129.7797,2775.57,4249.93,187
345.3344,156.3545,2587.55,4848.94,188
343.688,147.196,1554.82,4456.19,189
342.713,146.155,2799.99,4194.56,190
335.2281,144.7603,1913.5,4481.27,191
337.0614,144.4,4165.3,4235.18,192
348.7246,174.0872,4190.13,2542.44,193
350.3454,158.8547,3823.45,4861.99,194
346.4134,152.4387,2178.0,4211.38,195
346.3973,148.1314,2109.84,4511.21,196
354.5271,174.2681,2217.32,3276.34,197
336.4708,138.1944,1455.97,4615.19,198
341.1882,133.9523,3219.6,4035.56,199
345.0776,156.3539,3222.55,3694.39,200
340.7697,146.9564,2932.25,4492.41,201
331.7145,146.1609,2325.04,3512.5,202
336.3046,139.9911,4021.32,4167.66,203
343.8494,167.4299,3168.57,3167.09,204
350.9584,159.3791,2607.95,3369.98,205
333.8936,141.6399,3317.26,3996.28,206
329.4756,140.007,3093.53,3360.2,207
347.9734,169.2532,2969.85,2635.65,208
335.9508,160.6997,1894.38,3125.43,209
348.9447,177.1836,3660.52,2986.82,210
351.5923,185.7925,3800.93,2899.74,211
342.5686,168.1596,2991.97,2879.17,212
340.042,151.3579,2657.95,3435.48,213
346.0235,187.0552,3244.17,3713.98,214
346.8065,197.4322,3457.27,2464.97,215
355.5653,195.6297,4246.48,2192.64,216
346.6278,181.7955,4502.97,2801.46,217
340.1078,172.3411,4749.06,2992.41,218
341.2052,173.6745,4617.0,3590.55,219
