Running Forward KL,Running Reverse KL,Real Sto Return,Real Det Return,Itration,Running Env Steps,Running Update Time,Reward Loss
449.4388,284.976,312.83,292.08,0,0,0,135.83811950683594
449.617,328.7984,279.46,252.84,1,5000,1,-330.80438232421875
421.8169,325.2065,351.67,469.31,2,10000,2,-572.8653564453125
440.9511,289.5635,399.54,285.29,3,15000,3,-991.6113891601562
432.8338,324.446,345.27,315.45,4,20000,4,-1071.9208984375
443.775,328.5082,295.67,282.8,5,25000,5,-1580.5224609375
427.6179,297.9954,439.17,368.75,6,30000,6,-1536.5164794921875
419.3619,269.6141,501.12,436.45,7,35000,7,-1751.708740234375
417.6797,250.0492,479.34,555.32,8,40000,8,-2062.196044921875
407.1912,259.3204,493.31,491.17,9,45000,9,-2189.87451171875
414.5942,265.9755,454.57,424.11,10,50000,10,-2604.35205078125
429.1296,251.7326,519.53,559.96,11,55000,11,-2284.601806640625
410.5152,239.2532,608.51,535.4,12,60000,12,-2610.6474609375
404.5356,278.677,482.61,485.65,13,65000,13,-3468.600341796875
410.8212,296.5287,505.67,521.67,14,70000,14,-3805.452392578125
417.8676,278.3006,610.24,580.08,15,75000,15,-3943.821533203125
412.6799,248.7747,656.69,567.27,16,80000,16,-3950.705810546875
407.8761,234.6843,573.17,483.41,17,85000,17,-3895.15673828125
390.7648,238.3863,645.99,525.12,18,90000,18,-4221.45947265625
396.7345,228.7725,661.98,531.96,19,95000,19,-4404.33251953125
419.9055,248.8817,779.54,660.73,20,100000,20,-4637.9990234375
394.273,247.4152,706.82,591.07,21,105000,21,-4900.88916015625
401.5602,267.5734,815.41,607.75,22,110000,22,-5251.9873046875
400.673,262.0849,772.35,671.13,23,115000,23,-5424.34423828125
386.3315,252.2297,687.0,657.21,24,120000,24,-5512.07373046875
393.2262,237.0048,698.83,664.98,25,125000,25,-5796.57275390625
388.4595,249.4386,774.54,625.69,26,130000,26,-5959.4404296875
398.621,260.5029,830.43,629.74,27,135000,27,-6496.83837890625
399.1005,249.0171,883.36,915.58,28,140000,28,-6439.7255859375
394.2089,241.5584,880.76,673.85,29,145000,29,-6539.16650390625
385.6118,236.0724,1037.12,923.97,30,150000,30,-6481.38720703125
397.1328,245.1454,829.7,555.25,31,155000,31,-6740.60107421875
401.0927,252.4367,724.75,426.22,32,160000,32,-7284.3662109375
387.2792,241.6797,971.72,601.5,33,165000,33,-6868.2529296875
385.1661,246.9847,1163.73,567.24,34,170000,34,-7366.291015625
383.8395,229.2127,893.41,504.6,35,175000,35,-7138.27685546875
378.5786,230.3623,972.32,498.77,36,180000,36,-7430.39892578125
390.6451,237.9911,1076.94,502.41,37,185000,37,-7344.24169921875
367.2563,204.6313,1441.11,677.19,38,190000,38,-7045.1982421875
379.9076,220.1028,1121.93,711.44,39,195000,39,-7535.103515625
392.5942,221.1728,959.54,668.17,40,200000,40,-7696.0947265625
371.3999,208.9956,1405.27,591.7,41,205000,41,-7496.53369140625
362.7468,199.6639,1472.53,1210.37,42,210000,42,-7116.0830078125
384.1082,231.2323,1794.02,619.84,43,215000,43,-7997.04150390625
381.8162,220.7338,1346.57,1097.72,44,220000,44,-7867.76611328125
350.327,201.2546,2328.96,2785.44,45,225000,45,-6740.83837890625
369.6231,207.0893,1724.59,1024.87,46,230000,46,-7446.59375
361.8294,226.31,2452.24,2054.73,47,235000,47,-7936.74951171875
362.0233,204.0425,2245.36,2668.06,48,240000,48,-7173.3369140625
349.3147,184.3022,3314.8,1994.51,49,245000,49,-7023.16015625
363.328,203.3743,2859.1,2889.88,50,250000,50,-7729.7587890625
360.6633,204.5792,1821.38,1210.28,51,255000,51,-7827.61572265625
350.1789,174.5371,2758.42,4692.64,52,260000,52,-6323.1689453125
355.2537,193.7617,2004.14,1253.89,53,265000,53,-7570.80419921875
337.4766,165.9116,2871.32,1366.06,54,270000,54,-6702.634765625
339.5076,162.9743,2120.07,2617.37,55,275000,55,-6660.6669921875
359.4937,190.7558,2154.94,1840.72,56,280000,56,-8158.25927734375
338.5564,152.5694,2287.2,2400.99,57,285000,57,-5691.1376953125
330.0821,135.6911,4087.28,3296.18,58,290000,58,-4318.0849609375
338.5526,162.7197,3597.25,2332.57,59,295000,59,-5194.68701171875
331.0686,152.87,3665.65,3503.6,60,300000,60,-4374.82275390625
332.59,142.8293,3625.25,2951.46,61,305000,61,-3805.2734375
332.197,141.5349,4671.26,4046.84,62,310000,62,-4060.863037109375
356.9359,186.5704,3490.71,2078.23,63,315000,63,-5690.84912109375
359.0859,196.1713,3632.0,4452.61,64,320000,64,-5641.45849609375
350.284,189.2196,2255.45,3102.43,65,325000,65,-7931.5625
353.1667,182.9336,4234.25,4161.96,66,330000,66,-6817.1669921875
339.4428,166.1087,4124.83,4493.72,67,335000,67,-4589.4326171875
342.9366,172.954,3553.03,1708.66,68,340000,68,-5086.65673828125
355.0226,183.7684,3487.47,2716.72,69,345000,69,-6154.7470703125
345.1328,161.5217,4284.0,3081.06,70,350000,70,-4537.70751953125
349.3855,172.7676,3855.71,4103.72,71,355000,71,-5428.11083984375
334.9917,155.5475,4455.57,4665.92,72,360000,72,-4665.1416015625
346.9343,178.1572,3160.54,2892.79,73,365000,73,-4947.04443359375
347.2896,163.3161,4834.58,4932.89,74,370000,74,-5433.1083984375
350.4882,191.5156,4561.71,5083.14,75,375000,75,-4667.76953125
337.8762,186.8383,4685.41,5045.03,76,380000,76,-4663.18505859375
350.409,186.9074,4663.06,5095.4,77,385000,77,-4306.3623046875
361.5724,209.8202,4531.42,4836.27,78,390000,78,-5002.78955078125
351.4866,186.7959,4824.19,5139.45,79,395000,79,-4761.609375
365.1902,204.4348,4612.8,5090.8,80,400000,80,-7249.18115234375
351.4041,200.2458,4640.6,5008.92,81,405000,81,-5576.3759765625
344.9099,177.9405,4644.62,5184.96,82,410000,82,-5603.17578125
354.7093,211.9225,4351.5,5130.86,83,415000,83,-6416.20166015625
349.7501,188.0919,4583.76,5137.31,84,420000,84,-5186.78857421875
338.5878,167.4489,4298.7,5105.42,85,425000,85,-5473.26904296875
362.4257,216.7111,4874.9,4750.23,86,430000,86,-5615.05615234375
342.8227,168.1482,3767.42,4942.66,87,435000,87,-5749.9208984375
357.592,190.1583,4620.98,5113.21,88,440000,88,-6423.572265625
353.6464,200.6669,4497.41,5104.87,89,445000,89,-6545.416015625
345.3268,177.9756,4929.54,5127.46,90,450000,90,-6651.44921875
355.721,196.5571,4610.09,5049.92,91,455000,91,-6403.53662109375
363.9174,197.3253,4646.34,5178.01,92,460000,92,-7477.671875
357.3846,194.6539,4789.1,4740.03,93,465000,93,-6783.8486328125
360.3159,196.7814,4771.79,5113.36,94,470000,94,-7931.08154296875
352.7598,194.616,5063.44,5207.08,95,475000,95,-7210.05419921875
374.4398,212.9378,3128.79,5043.51,96,480000,96,-9316.08203125
353.1911,191.5086,4777.08,4897.06,97,485000,97,-8082.73779296875
354.085,187.7459,4770.0,5167.58,98,490000,98,-8419.0380859375
347.9583,172.1851,4952.56,4893.66,99,495000,99,-7769.82177734375
357.3286,191.0993,4819.77,5207.11,100,500000,100,-8050.001953125
365.5443,210.5274,4286.36,5156.68,101,505000,101,-9417.6982421875
362.3242,200.6171,4572.45,5108.74,102,510000,102,-8802.88671875
355.691,185.9813,4881.55,4608.44,103,515000,103,-8696.8720703125
357.1174,195.3472,5051.61,5229.01,104,520000,104,-9190.091796875
360.3822,198.2827,3885.57,5265.72,105,525000,105,-9479.083984375
368.8528,198.9151,3940.12,4836.32,106,530000,106,-10000.0537109375
369.6461,199.597,4470.37,5189.36,107,535000,107,-9770.3662109375
356.5571,192.0059,3657.32,4725.86,108,540000,108,-9708.802734375
385.5333,206.4729,3322.34,4877.49,109,545000,109,-10617.2451171875
359.08,189.9302,3724.65,3811.27,110,550000,110,-10330.3251953125
356.9619,184.9467,4235.02,5141.28,111,555000,111,-10100.2236328125
382.7298,216.325,2549.24,2680.21,112,560000,112,-11229.1318359375
365.3917,202.4401,3256.28,4881.17,113,565000,113,-11006.693359375
373.6547,204.9032,4334.45,4940.86,114,570000,114,-11139.0556640625
346.2199,186.658,3493.65,5213.55,115,575000,115,-10579.908203125
354.5545,179.4942,4619.39,5221.14,116,580000,116,-10644.4140625
360.8163,194.8306,4721.39,5176.86,117,585000,117,-11302.302734375
369.406,207.5565,3660.86,5303.81,118,590000,118,-11674.912109375
372.2703,201.7778,2899.5,4907.36,119,595000,119,-11603.041015625
358.4545,185.9549,4910.16,5194.61,120,600000,120,-11209.4462890625
358.2176,206.1785,4226.14,5237.99,121,605000,121,-11833.6298828125
364.2304,194.2654,4443.48,5153.1,122,610000,122,-11983.7265625
358.3298,201.0924,4582.02,5120.44,123,615000,123,-12070.8720703125
357.2791,194.5848,5018.29,5162.26,124,620000,124,-11770.45703125
358.5615,196.9873,5155.42,5204.09,125,625000,125,-12218.8837890625
339.0239,175.1267,4235.57,5227.72,126,630000,126,-11399.7744140625
348.7279,183.638,4568.19,5289.33,127,635000,127,-11746.1416015625
