Running Reverse KL,Running Env Steps,Running Update Time,Real Det Return,Itration,Reward Loss,Real Sto Return,Running Forward KL
11.2463,0,0,-115.98,0,247.72381591796875,-198.48,158.4555
11.6084,5000,1,46.74,1,175.8408966064453,-117.13,158.4432
11.3601,10000,2,248.03,2,36.322898864746094,16.24,158.1564
11.3057,15000,3,575.92,3,66.52127075195312,145.0,157.6902
11.2402,20000,4,756.68,4,-74.76445007324219,290.73,157.4535
11.4616,25000,5,662.02,5,-172.2291717529297,380.37,157.4158
11.7628,30000,6,854.56,6,-344.6133728027344,472.53,157.3034
12.102,35000,7,894.2,7,-533.6728515625,519.77,157.4834
12.7719,40000,8,1026.08,8,-763.5910034179688,599.46,157.7902
12.8167,45000,9,1084.69,9,-793.7459716796875,669.55,157.6032
13.8451,50000,10,1209.67,10,-915.3399047851562,808.59,157.7055
15.3246,55000,11,1430.2,11,-827.7843627929688,983.96,157.7369
15.3011,60000,12,1477.93,12,-1040.1942138671875,1026.41,157.7071
15.9266,65000,13,1592.43,13,-1063.0765380859375,1171.35,157.9062
15.7164,70000,14,1620.56,14,-1335.674560546875,1186.62,157.7316
15.6651,75000,15,1679.46,15,-1482.7030029296875,1241.52,157.6833
16.1129,80000,16,1664.53,16,-1696.248046875,1290.64,157.7327
15.8742,85000,17,1700.78,17,-1938.0582275390625,1272.73,157.7298
15.8405,90000,18,1740.52,18,-2060.015625,1322.58,157.6318
16.2631,95000,19,1811.37,19,-2208.79248046875,1376.98,157.6829
15.789,100000,20,1782.41,20,-2492.8212890625,1362.43,157.6063
16.2173,105000,21,1843.01,21,-2551.660400390625,1451.8,157.6506
16.4687,110000,22,1803.9,22,-2845.064453125,1448.53,157.942
15.993,115000,23,1897.18,23,-3019.5712890625,1456.74,157.4874
15.898,120000,24,1864.41,24,-3257.164306640625,1487.73,157.5684
15.9683,125000,25,1925.55,25,-3394.89599609375,1548.06,157.558
15.9841,130000,26,1944.49,26,-3636.44580078125,1542.64,157.6777
15.9809,135000,27,1981.1,27,-3860.4521484375,1581.6,157.4879
