Running Forward KL,Real Det Return,Running Reverse KL,Running Update Time,Real Sto Return,Itration,Running Env Steps,Reward Loss
39.6584,183.65,23.8238,0,193.47,0,0,-116.20464324951172
39.8063,222.0,27.3949,1,220.89,1,5000,-124.26705169677734
38.5594,220.52,31.1683,2,219.37,2,10000,-143.7950439453125
38.5987,220.33,34.7391,3,223.23,3,15000,-158.0650634765625
35.4978,261.85,28.4158,4,256.91,4,20000,-123.11392974853516
33.695,294.56,110.0274,5,296.05,5,25000,-136.63088989257812
36.2634,274.07,35.9372,6,271.61,6,30000,27.094558715820312
34.0981,545.91,31.7047,7,607.72,7,35000,-26.812671661376953
34.349,456.92,69.603,8,373.82,8,40000,-61.88206481933594
35.0615,609.45,62.7517,9,545.08,9,45000,-57.98640823364258
33.7959,631.35,34.8869,10,616.87,10,50000,-10.567605972290039
33.779,540.0,93.7711,11,553.55,11,55000,-119.5306625366211
33.8354,611.58,94.8863,12,613.7,12,60000,-205.0624237060547
32.9339,748.28,88.0488,13,661.36,13,65000,-154.7996368408203
33.8035,825.99,149.5438,14,793.97,14,70000,-254.56863403320312
33.8949,797.09,151.6825,15,736.1,15,75000,-277.9670104980469
32.8561,713.47,130.4644,16,703.7,16,80000,-303.7850036621094
33.4834,639.67,142.9533,17,644.69,17,85000,-313.77001953125
33.8049,769.94,139.6427,18,709.42,18,90000,-331.42962646484375
33.5363,816.38,144.6074,19,811.19,19,95000,-347.8983154296875
32.9177,909.28,114.6654,20,945.89,20,100000,-289.1707763671875
33.4735,836.91,99.2008,21,987.94,21,105000,-334.54229736328125
33.2217,801.63,74.3456,22,896.85,22,110000,-274.3751525878906
33.2438,763.25,146.831,23,765.81,23,115000,-393.9606018066406
32.5319,875.91,124.7766,24,991.84,24,120000,-388.4167175292969
33.9745,822.63,84.0618,25,960.22,25,125000,-382.7934875488281
32.2925,827.66,114.8198,26,859.54,26,130000,-412.7839660644531
33.1423,855.28,122.3532,27,883.89,27,135000,-399.0728759765625
32.8938,884.3,129.1586,28,904.07,28,140000,-437.654052734375
32.8655,646.63,57.7177,29,756.43,29,145000,-353.7431335449219
33.3308,880.49,90.0629,30,856.04,30,150000,-459.535888671875
33.0133,945.02,81.6875,31,906.11,31,155000,-387.1580810546875
32.778,940.64,126.656,32,907.9,32,160000,-501.2164001464844
32.8938,1073.39,86.8296,33,1101.53,33,165000,-452.8213195800781
32.1149,1074.48,51.0532,34,1044.06,34,170000,-393.8330993652344
32.0365,3023.52,28.0061,35,2883.34,35,175000,-177.3565216064453
31.1264,3139.42,30.5329,36,2615.12,36,180000,-177.00279235839844
31.7849,3185.14,27.3264,37,1899.73,37,185000,-344.7603454589844
32.0428,3100.95,25.3737,38,2735.68,38,190000,-122.9690933227539
32.1101,1615.6,55.9307,39,1170.08,39,195000,-463.59130859375
31.5431,2299.66,29.8539,40,1455.95,40,200000,-396.7372741699219
31.2396,2620.8,33.2265,41,1239.02,41,205000,-393.2659606933594
30.9583,3148.8,22.9321,42,2650.65,42,210000,-161.25685119628906
31.8891,1179.73,41.2041,43,1989.49,43,215000,-415.0715026855469
30.8915,3215.32,19.8008,44,2669.17,44,220000,-247.0658416748047
31.9598,3218.08,41.8349,45,1686.84,45,225000,-314.3838195800781
