Real Det Return,Itration,Running Update Time,Running Reverse KL,Real Sto Return,Reward Loss,Running Env Steps,Running Forward KL
318.84,0,0,12.5315,372.41,91.1210708618164,0,49.3805
231.54,1,1,14.1727,312.47,78.42704772949219,5000,49.9081
269.28,2,2,17.6807,280.28,69.65662384033203,10000,49.9688
407.24,3,3,12.3314,343.46,92.45471954345703,15000,49.4446
382.27,4,4,15.792,346.64,-34.51455307006836,20000,49.4543
355.69,5,5,18.4279,309.09,-16.979143142700195,25000,49.7665
487.71,6,6,12.904,421.25,34.62971878051758,30000,49.517
450.2,7,7,14.7274,319.39,4.1994452476501465,35000,48.9175
1013.31,8,8,16.7073,647.29,-24.65154266357422,40000,49.0706
242.04,9,9,42.3675,164.6,-68.8370132446289,45000,51.8469
449.77,10,10,70.1311,424.57,-127.66325378417969,50000,50.4104
202.1,11,11,22.6055,255.95,-88.73877716064453,55000,50.5773
-11.32,12,12,48.6685,-10.9,-96.6096420288086,60000,55.8987
487.51,13,13,18.1525,482.95,-99.58112335205078,65000,50.5403
-3.91,14,14,88.7912,-5.34,-211.62879943847656,70000,56.5145
350.06,15,15,19.9636,248.36,-46.92302703857422,75000,53.2179
350.92,16,16,32.2827,291.69,-165.11004638671875,80000,50.3795
-10.65,17,17,44.5896,56.09,-141.628173828125,85000,50.196
531.16,18,18,24.6647,803.05,-176.22186279296875,90000,49.5894
337.37,19,19,45.8345,348.24,-156.95404052734375,95000,50.173
282.86,20,20,25.8933,395.48,-154.7158966064453,100000,50.0259
402.69,21,21,36.0827,468.42,-156.63482666015625,105000,50.3272
1057.97,22,22,17.497,914.87,-134.82223510742188,110000,49.2854
930.36,23,23,24.01,898.1,-191.79354858398438,115000,50.4003
970.62,24,24,24.0758,707.83,-165.51492309570312,120000,51.8593
431.78,25,25,47.6641,498.14,-225.28048706054688,125000,50.7892
419.69,26,26,58.7481,457.53,-260.6028747558594,130000,49.4285
287.39,27,27,69.931,324.68,-304.2280578613281,135000,49.8306
1048.53,28,28,48.3769,1045.25,-345.6249694824219,140000,53.7575
562.62,29,29,43.8596,576.7,-321.4501953125,145000,52.4549
-177.29,30,30,32.1254,-148.34,-214.46885681152344,150000,55.6546
944.49,31,31,38.3565,933.58,-343.5184326171875,155000,55.4278
986.17,32,32,29.6679,882.78,-266.4497985839844,160000,53.288
393.43,33,33,49.8097,393.53,-368.6904296875,165000,51.1075
1012.38,34,34,31.5716,1006.3,-287.4881896972656,170000,54.3844
1151.45,35,35,29.992,1061.03,-315.3907470703125,175000,49.4907
942.04,36,36,23.395,749.14,-303.2263488769531,180000,50.5318
566.86,37,37,21.523,541.03,-267.8935852050781,185000,50.26
-10.59,38,38,45.4921,-5.96,-402.82855224609375,190000,54.9532
42.06,39,39,25.3293,53.29,-167.81581115722656,195000,52.5139
988.73,40,40,44.1151,920.72,-406.2258605957031,200000,56.113
848.38,41,41,31.4965,287.37,-407.495361328125,205000,51.9225
797.06,42,42,30.7803,789.82,-308.4200744628906,210000,54.2447
