Reward Loss,Running Reverse KL,Real Det Return,Real Sto Return,Running Env Steps,Running Update Time,Itration,Running Forward KL
-1270.2095947265625,17.5711,222.23,215.93,0,0,0,34.009
-1146.95068359375,44.6089,234.82,238.62,5000,1,1,31.4248
-1348.277587890625,13.5684,222.65,230.04,10000,2,2,31.2428
-1190.42578125,14.9003,269.2,276.48,15000,3,3,30.2754
-1432.0596923828125,16.6179,332.65,334.39,20000,4,4,32.4141
-1516.47900390625,24.1057,315.7,311.14,25000,5,5,31.7071
-1428.267578125,16.0839,316.74,313.64,30000,6,6,30.8408
-1500.2386474609375,17.7867,322.8,318.99,35000,7,7,30.9527
-1549.875,16.7573,322.22,320.33,40000,8,8,30.8744
-1681.1309814453125,28.3396,317.1,316.33,45000,9,9,30.6603
-1652.496826171875,17.4311,317.42,317.72,50000,10,10,30.4969
-1592.10205078125,14.8131,320.29,312.25,55000,11,11,29.9873
-1835.9007568359375,16.7198,321.18,320.18,60000,12,12,30.7482
-1866.8585205078125,15.0554,321.8,318.08,65000,13,13,30.5874
-1902.126953125,15.5953,326.32,321.36,70000,14,14,30.2765
-1879.0692138671875,14.9855,325.51,323.18,75000,15,15,30.6909
-2036.328125,15.5159,317.13,313.82,80000,16,16,29.835
-2096.996826171875,15.8356,325.63,322.83,85000,17,17,30.6386
-2173.500244140625,21.5792,324.65,320.69,90000,18,18,30.6867
-2211.086669921875,16.8801,327.81,324.81,95000,19,19,30.9037
-2240.325439453125,16.5554,329.38,323.1,100000,20,20,30.6442
-2284.768798828125,17.3162,327.61,322.7,105000,21,21,30.9654
-2296.347412109375,16.4333,326.84,323.58,110000,22,22,30.6565
-2401.923828125,19.5712,327.02,329.71,115000,23,23,30.5129
-2452.721435546875,18.8452,325.77,325.67,120000,24,24,30.7119
-2470.913330078125,18.4689,323.47,325.94,125000,25,25,30.4435
-2542.787109375,19.2422,325.54,325.07,130000,26,26,30.2847
-2541.236572265625,18.1705,329.44,324.62,135000,27,27,30.2767
-2611.8154296875,22.2275,352.21,341.76,140000,28,28,30.1649
-2699.275634765625,26.0858,340.15,348.54,145000,29,29,30.1149
-2597.518310546875,19.3745,370.85,378.01,150000,30,30,27.8482
-2611.93359375,15.4391,473.3,472.6,155000,31,31,27.354
-2634.077392578125,19.4061,484.68,468.42,160000,32,32,27.7084
-2312.12744140625,12.0632,415.27,506.0,165000,33,33,26.5585
-2077.415771484375,11.7879,586.2,586.32,170000,34,34,27.3139
