Itration,Running Forward KL,Reward Loss,Running Env Steps,Real Det Return,Real Sto Return,Running Reverse KL,Running Update Time
0,49.8219,781.7705078125,0,397.46,147.11,12.8529,0
1,48.7454,769.4593505859375,5000,398.44,356.11,13.7542,1
2,49.1182,549.9296875,10000,456.32,406.24,12.1402,2
3,49.4435,632.0997314453125,15000,375.35,363.41,12.9772,3
4,49.2316,490.080810546875,20000,363.5,414.44,13.3428,4
5,49.3863,446.92181396484375,25000,444.82,413.46,12.7789,5
6,48.9601,422.16839599609375,30000,410.79,437.89,12.6336,6
7,48.2133,370.45452880859375,35000,535.74,544.08,12.5787,7
8,48.0629,319.5422668457031,40000,531.7,602.65,13.0189,8
9,47.9341,305.7139892578125,45000,605.81,596.85,13.818,9
10,47.5615,252.99949645996094,50000,644.3,627.25,12.4566,10
11,47.788,264.1039733886719,55000,691.97,588.25,13.0574,11
12,47.3865,226.37879943847656,60000,581.91,591.64,12.8299,12
13,47.8263,151.7163543701172,65000,462.02,542.67,12.673,13
14,47.7741,44.96664810180664,70000,577.0,602.46,12.876,14
15,47.3501,71.62764739990234,75000,611.03,697.39,12.8211,15
16,47.3746,-26.245941162109375,80000,610.68,650.93,12.8577,16
17,46.8168,-160.6588134765625,85000,711.49,631.5,12.4789,17
18,47.5725,-101.66946411132812,90000,755.92,752.28,12.4936,18
19,47.5332,-112.55232238769531,95000,1422.55,784.36,13.184,19
20,46.3245,-211.07896423339844,100000,769.53,764.92,13.1484,20
21,47.2215,-260.681396484375,105000,924.08,901.55,14.6244,21
22,46.3763,-195.4491729736328,110000,1145.07,1182.54,14.6415,22
23,46.3899,-263.8556213378906,115000,1522.78,1974.63,14.9807,23
24,46.3068,-477.39227294921875,120000,1669.05,1768.51,16.2897,24
25,47.5346,-549.912841796875,125000,852.44,984.1,15.2967,25
26,45.1151,-379.35150146484375,130000,1344.46,2058.73,16.4344,26
27,45.7181,-421.09619140625,135000,2045.0,1798.7,16.8837,27
28,45.1388,-383.6576232910156,140000,2315.98,1986.81,21.3758,28
29,45.359,-504.4926452636719,145000,2122.29,2609.97,17.5843,29
30,45.6774,-485.9310302734375,150000,1256.97,2229.15,22.4533,30
31,45.5283,-514.481689453125,155000,3043.13,2941.75,18.9777,31
32,45.3227,-600.553466796875,160000,3141.67,3127.3,16.9695,32
33,45.9262,-598.668212890625,165000,3308.16,3251.93,18.5056,33
34,45.3712,-622.5777587890625,170000,3294.49,3281.2,18.5461,34
35,44.6062,-697.4094848632812,175000,3134.98,3120.18,16.0303,35
36,45.4802,-675.8207397460938,180000,3157.3,3193.55,18.0927,36
37,45.0564,-746.3015747070312,185000,3440.75,3405.14,18.0083,37
38,44.2001,-707.8265380859375,190000,3620.14,3596.93,17.4409,38
39,44.4893,-794.4302978515625,195000,3712.07,3624.96,18.9372,39
40,45.4246,-865.3118896484375,200000,3538.25,3518.05,19.8888,40
41,43.9089,-857.115234375,205000,3808.15,3780.8,19.3334,41
42,45.1907,-885.3242797851562,210000,3601.54,3612.08,20.0355,42
43,43.9188,-852.2630004882812,215000,3717.63,3701.11,18.3325,43
44,44.8053,-967.3350219726562,220000,3676.15,3644.77,18.4572,44
45,44.5178,-968.0983276367188,225000,3854.75,3804.04,19.3647,45
46,44.5877,-1069.454833984375,230000,3685.26,3650.18,18.8952,46
47,44.6217,-1035.3634033203125,235000,3866.01,3875.38,21.0416,47
48,43.6636,-1086.7564697265625,240000,3849.27,3831.51,18.6165,48
49,43.6005,-1073.4854736328125,245000,3835.85,3782.86,17.9081,49
50,43.5191,-1160.586669921875,250000,3857.76,3824.54,17.9645,50
51,44.6904,-1177.2667236328125,255000,3727.86,3739.18,18.899,51
52,43.6891,-1248.7281494140625,260000,3854.9,3834.82,19.2087,52
53,43.4289,-1245.2486572265625,265000,3890.78,3726.26,17.2543,53
54,43.8715,-1292.1925048828125,270000,3885.46,3863.66,17.6326,54
55,43.81,-1253.468994140625,275000,3843.21,3827.29,16.9907,55
56,43.6313,-1399.89111328125,280000,3181.83,3882.6,18.3268,56
57,43.7947,-1482.1722412109375,285000,3954.25,3583.41,18.4258,57
58,43.229,-1489.3851318359375,290000,3837.12,3348.46,17.0374,58
59,43.0767,-1636.3890380859375,295000,4034.52,3489.73,15.8317,59
60,44.1072,-1568.3292236328125,300000,3448.88,3720.61,18.4201,60
61,43.2731,-1597.8492431640625,305000,3997.95,3910.16,16.9512,61
62,44.1596,-1658.3818359375,310000,3738.33,3524.76,16.9198,62
63,43.2577,-1634.2208251953125,315000,3977.22,3738.47,16.9683,63
64,43.6629,-1690.1748046875,320000,3986.1,3984.54,17.4158,64
65,43.3341,-1695.952392578125,325000,3916.98,3942.43,17.9182,65
66,44.1309,-1719.1771240234375,330000,3988.43,3875.21,17.8355,66
67,43.698,-1739.240234375,335000,3959.07,3941.43,17.0391,67
68,43.488,-1848.6646728515625,340000,3902.48,3538.66,18.3979,68
69,43.8593,-1839.7742919921875,345000,4060.99,3934.52,17.5911,69
70,43.0173,-1848.8258056640625,350000,3886.91,3954.75,17.525,70
71,43.5297,-1927.4259033203125,355000,3860.37,3818.04,17.385,71
72,42.6316,-1944.3350830078125,360000,4021.97,3939.56,16.057,72
73,43.3193,-1944.860595703125,365000,4056.29,4005.71,17.2347,73
74,42.8014,-2022.7044677734375,370000,4032.96,4024.51,16.4847,74
75,43.5793,-2149.3447265625,375000,3895.59,3954.64,16.9415,75
76,43.2572,-2150.852783203125,380000,3807.23,3929.89,16.99,76
77,43.6285,-2117.270263671875,385000,4036.18,3931.78,17.12,77
78,43.3878,-2169.076171875,390000,3814.54,3899.48,16.3029,78
79,43.2936,-2227.437744140625,395000,4116.01,3957.59,17.939,79
80,42.9059,-2229.093505859375,400000,3941.23,4015.15,16.9031,80
81,42.6752,-2250.2470703125,405000,3931.55,3908.24,16.0478,81
82,43.5819,-2311.5,410000,3940.95,3975.98,18.4142,82
83,42.7763,-2313.21337890625,415000,4021.59,3863.79,15.5353,83
84,43.1272,-2368.353515625,420000,3914.19,4003.62,17.1734,84
85,43.081,-2346.487548828125,425000,4051.76,4039.38,16.8531,85
86,43.2201,-2489.259033203125,430000,4001.56,4021.11,17.5308,86
87,42.9602,-2430.2900390625,435000,3932.7,4028.17,16.2008,87
88,42.343,-2469.917724609375,440000,3827.75,3926.3,15.6892,88
89,43.0457,-2587.52490234375,445000,3902.73,4002.77,16.7263,89
90,43.2975,-2606.989013671875,450000,3983.41,3978.53,16.7845,90
91,42.9184,-2635.4736328125,455000,3968.05,4035.63,16.6883,91
92,42.7775,-2574.67919921875,460000,3916.62,3980.68,16.3119,92
93,42.9207,-2646.155029296875,465000,3952.54,4011.94,17.3605,93
94,43.3172,-2750.845947265625,470000,3848.49,3994.36,16.6456,94
95,42.9299,-2767.03515625,475000,3950.76,4023.01,16.004,95
96,43.0451,-2868.0498046875,480000,4076.67,3913.58,16.7143,96
97,42.8628,-2878.234619140625,485000,3940.94,3964.58,16.6142,97
98,43.2909,-2908.65087890625,490000,3951.17,3994.61,17.3607,98
99,43.183,-2873.3955078125,495000,3868.09,3944.52,16.2172,99
100,42.7856,-2934.669677734375,500000,3938.3,3992.21,16.2589,100
101,42.5668,-2967.981201171875,505000,4001.68,3812.71,16.1298,101
102,42.9135,-3034.513427734375,510000,3928.17,4019.44,16.0141,102
103,42.781,-3128.81201171875,515000,3968.12,4019.67,17.9697,103
104,42.6195,-3069.6533203125,520000,4044.89,4066.02,16.4445,104
105,42.6803,-3080.806396484375,525000,3989.27,3965.16,16.1258,105
106,42.9077,-3128.828369140625,530000,4024.37,3918.98,15.8755,106
107,42.8191,-3227.272216796875,535000,4056.76,4064.59,15.969,107
108,42.8806,-3344.90771484375,540000,4035.34,4012.59,16.457,108
109,42.723,-3341.20458984375,545000,3988.99,3919.46,15.9091,109
110,42.6307,-3350.99658203125,550000,4073.48,3898.53,15.8661,110
111,42.9805,-3623.210205078125,555000,4103.03,3103.98,14.8818,111
112,42.4065,-3362.6796875,560000,3953.69,3862.4,15.9739,112
113,42.5547,-3392.877685546875,565000,4084.98,4055.99,16.2221,113
114,42.7552,-3737.951416015625,570000,4009.0,3444.96,14.3721,114
115,42.7201,-3685.622802734375,575000,3965.73,3876.29,15.8837,115
116,42.2587,-3465.354248046875,580000,3911.59,4005.89,15.7744,116
117,42.3773,-3501.933349609375,585000,4086.95,4080.35,15.6669,117
118,42.2888,-3618.353759765625,590000,3909.57,3988.42,15.9668,118
119,42.6905,-3767.50244140625,595000,3930.6,4008.73,16.0147,119
120,42.4778,-3722.80126953125,600000,3950.9,3996.79,15.8352,120
121,42.1387,-3689.988037109375,605000,3968.34,4023.86,15.542,121
122,42.1615,-3753.232421875,610000,4000.21,3992.26,14.991,122
123,42.0516,-3888.546142578125,615000,3949.09,3934.2,15.4628,123
124,41.7992,-3711.83740234375,620000,3982.18,4029.68,15.1527,124
125,41.8463,-3867.2802734375,625000,4004.59,4067.02,15.5158,125
126,42.3933,-3849.77001953125,630000,4072.46,4056.79,15.4379,126
127,42.3947,-4067.8310546875,635000,3926.81,3953.92,15.1522,127
128,42.2392,-4030.561767578125,640000,3955.9,4025.59,15.7706,128
129,41.7523,-4000.084716796875,645000,4083.92,4091.87,15.2562,129
130,42.5769,-4075.169677734375,650000,4012.06,4030.09,16.305,130
131,41.8905,-4085.522216796875,655000,4001.08,4041.33,14.9841,131
132,42.3908,-4202.7529296875,660000,3991.89,4012.28,16.4225,132
133,42.4652,-4217.005859375,665000,4077.04,3947.05,15.7118,133
134,42.4789,-4293.82080078125,670000,3984.48,3930.39,14.7906,134
135,41.9513,-4131.087890625,675000,4066.04,4080.23,15.9634,135
136,42.8292,-4311.5068359375,680000,3979.86,4005.93,15.2799,136
137,42.4275,-4419.33984375,685000,4038.83,3938.53,15.4242,137
138,42.344,-4529.84423828125,690000,3997.52,4040.82,15.6552,138
139,42.2978,-4383.228515625,695000,4025.53,4038.81,15.5886,139
140,41.6247,-4310.8212890625,700000,4081.91,4105.81,14.6822,140
141,42.2868,-4398.27587890625,705000,3999.36,4031.62,16.2056,141
142,42.0169,-4540.9111328125,710000,3932.0,4003.22,15.4203,142
143,42.4038,-4699.28271484375,715000,3944.04,3954.8,15.2694,143
144,41.8155,-4556.755859375,720000,4026.46,4057.17,14.8671,144
145,41.9447,-4584.5576171875,725000,4017.52,4058.65,15.7628,145
146,42.0751,-4698.77490234375,730000,3945.13,4033.27,15.1716,146
147,42.3928,-4825.08984375,735000,4021.93,4023.84,14.5303,147
148,42.8568,-4843.80517578125,740000,4098.2,4127.84,16.205,148
149,42.1883,-4855.35693359375,745000,4076.61,4056.87,15.4406,149
150,42.1293,-5118.08203125,750000,3926.26,3990.48,14.8283,150
151,43.1492,-5018.7119140625,755000,3985.43,4046.96,15.2568,151
152,42.156,-5318.64111328125,760000,4012.09,3771.27,14.2948,152
153,42.1678,-5133.67138671875,765000,3950.39,4038.09,15.7884,153
154,42.2454,-5154.083984375,770000,4080.8,4085.95,14.7876,154
155,42.4222,-5192.08154296875,775000,4002.01,4037.5,15.2891,155
156,42.5169,-5251.84814453125,780000,4105.11,4002.96,16.0431,156
157,41.6869,-5232.17822265625,785000,4028.58,4060.97,15.0566,157
158,42.5054,-5267.76513671875,790000,3974.16,3977.54,15.6277,158
159,42.1542,-5522.2783203125,795000,3994.05,4047.15,15.0806,159
160,42.5315,-5422.5419921875,800000,3985.43,4067.27,15.4688,160
161,42.7851,-5646.7939453125,805000,4012.92,4055.1,15.8034,161
162,41.725,-5400.9091796875,810000,4029.13,4098.21,15.1137,162
163,42.2346,-5593.49755859375,815000,3996.87,4019.51,15.123,163
164,42.1146,-5746.0078125,820000,3959.12,3895.27,15.1203,164
165,42.663,-6078.6171875,825000,3994.11,3821.14,15.1308,165
166,41.5954,-5625.818359375,830000,4135.82,4128.39,14.878,166
167,41.5037,-5770.33837890625,835000,4027.06,4058.19,14.8533,167
168,42.7171,-5789.64501953125,840000,4028.99,4077.73,15.8636,168
169,41.7402,-5717.74267578125,845000,4153.44,4137.67,15.5209,169
170,41.9253,-6013.4951171875,850000,4048.56,3831.33,14.8198,170
171,42.613,-6052.8427734375,855000,3951.73,4047.98,14.9497,171
172,42.2562,-5987.9853515625,860000,3993.69,4013.42,15.7267,172
173,41.8395,-6063.50830078125,865000,4076.43,4126.0,14.784,173
174,42.1239,-6163.4501953125,870000,4105.22,4046.93,14.5827,174
175,41.7459,-6205.92578125,875000,4003.87,4077.02,14.4602,175
176,42.2864,-6230.95458984375,880000,4056.51,4091.34,14.7733,176
177,41.4236,-5930.974609375,885000,3989.25,3986.91,14.1841,177
178,42.3573,-6360.79248046875,890000,4141.36,4100.3,14.7559,178
179,42.3534,-6402.9453125,895000,3976.23,4039.88,15.7328,179
180,42.3672,-6562.41455078125,900000,4039.55,4066.53,15.1823,180
181,41.8008,-6358.22607421875,905000,4053.38,4085.92,15.1113,181
182,41.693,-6526.99267578125,910000,4116.74,4093.34,14.2914,182
