Running Forward KL,Running Reverse KL,Reward Loss,Running Update Time,Real Det Return,Real Sto Return,Itration,Running Env Steps
49.3727,12.5981,161.04176330566406,0,380.25,255.68,0,0
50.6458,18.8104,-12.813478469848633,1,298.11,319.94,1,5000
50.392,16.3166,19.530624389648438,2,550.99,383.4,2,10000
49.5015,18.9235,246.1592559814453,3,433.93,336.11,3,15000
49.1494,17.1691,-42.84077835083008,4,480.84,433.51,4,20000
49.1205,16.9863,-24.17144203186035,5,371.52,370.52,5,25000
49.2696,15.4543,146.66653442382812,6,321.81,354.83,6,30000
48.865,14.8141,141.6083221435547,7,424.57,406.99,7,35000
48.2762,21.0524,86.98871612548828,8,424.12,390.24,8,40000
47.7909,15.3161,69.46441650390625,9,498.18,513.28,9,45000
48.6054,13.5212,98.7921371459961,10,464.88,441.25,10,50000
48.1594,13.0665,126.01792907714844,11,454.79,510.44,11,55000
47.0388,15.1677,131.97055053710938,12,528.0,486.19,12,60000
47.4237,14.4306,57.63253402709961,13,721.66,672.45,13,65000
47.5897,15.2104,76.09960174560547,14,663.46,675.66,14,70000
47.0137,18.3353,9.408771514892578,15,958.37,749.74,15,75000
47.4384,25.4341,-0.7817745208740234,16,756.03,611.49,16,80000
47.5866,23.7909,-110.31743621826172,17,1494.61,840.12,17,85000
47.4022,37.2094,-91.15213012695312,18,1624.48,1048.05,18,90000
46.4969,14.4098,4.939019680023193,19,1613.99,987.67,19,95000
47.0389,17.02,16.739219665527344,20,1378.73,1224.38,20,100000
46.9966,13.8427,-70.93244934082031,21,1141.43,1013.33,21,105000
46.1078,15.8433,-103.28546142578125,22,2285.44,1865.36,22,110000
47.4144,14.4989,-99.68757629394531,23,2303.49,1346.85,23,115000
46.5636,18.6313,-168.32333374023438,24,1154.66,1457.32,24,120000
46.6734,14.7223,-148.9259033203125,25,1021.21,1016.8,25,125000
47.295,15.949,-257.5942077636719,26,2496.97,2358.33,26,130000
46.3277,17.7035,-218.56114196777344,27,3211.67,1611.61,27,135000
46.0788,14.6435,-180.0822296142578,28,1211.95,2010.86,28,140000
47.026,19.1628,-303.9645690917969,29,2817.0,2656.19,29,145000
45.5939,16.2489,-217.19419860839844,30,3176.05,1952.75,30,150000
45.9306,19.7216,-309.4524841308594,31,3036.11,2714.58,31,155000
46.272,16.2632,-297.5579528808594,32,2735.86,2851.2,32,160000
